scenario_id,timestamp_s,ue_id,user_index,cqi_now,previous_quality,distance_m,mean_resource_cost
simu5g_00000490,25.8,3,0,14,2,110.90152389692895,3.166667
simu5g_00000490,25.8,4,1,12,2,142.8964549446913,3.333333
simu5g_00000490,25.8,5,2,14,2,157.1132400895479,3.166667
simu5g_00000490,25.8,6,3,14,1,164.1614763022189,3.166667
simu5g_00000492,25.9,3,0,15,2,110.3319155618829,3.166667
simu5g_00000492,25.9,4,1,12,2,142.4899331075467,3.333333
simu5g_00000492,25.9,5,2,14,2,156.81200498294535,3.166667
simu5g_00000492,25.9,6,3,14,2,164.12457697878693,3.166667
simu5g_00000494,26.0,3,0,15,2,109.76632911836236,3.166667
simu5g_00000494,26.0,4,1,12,2,142.07848289192756,3.333333
simu5g_00000494,26.0,5,2,14,2,156.50445481509144,3.166667
simu5g_00000494,26.0,6,3,14,2,164.08179357753534,3.166667
simu5g_00000496,26.1,3,0,15,2,109.20345935236072,3.166667
simu5g_00000496,26.1,4,1,12,2,141.66218490009715,3.333333
simu5g_00000496,26.1,5,2,14,2,156.1930317310069,3.166667
simu5g_00000496,26.1,6,3,14,2,164.0352662062716,3.166667
simu5g_00000498,26.2,3,0,14,2,108.645929050545,3.333333
simu5g_00000498,26.2,4,1,12,2,141.2423424035339,3.333333
simu5g_00000498,26.2,5,2,14,2,155.87833438011026,3.166667
simu5g_00000498,26.2,6,3,14,2,163.98348201104648,3.166667
simu5g_00000500,26.3,3,0,14,2,108.09211271426011,3.333333
simu5g_00000500,26.3,4,1,13,2,140.8187751615947,3.333333
simu5g_00000500,26.3,5,2,14,2,155.5600954810448,3.166667
simu5g_00000500,26.3,6,3,14,2,163.92751151181474,3.166667
simu5g_00000502,26.4,3,0,14,2,107.54367534971364,3.333333
simu5g_00000502,26.4,4,1,13,2,140.3937660695366,3.333333
simu5g_00000502,26.4,5,2,14,2,155.23653033907095,3.166667
simu5g_00000502,26.4,6,3,14,2,163.86726766111443,3.166667
simu5g_00000504,26.5,3,0,14,2,107.00066582082287,3.166667
simu5g_00000504,26.5,4,1,13,2,139.96667248160946,3.333333
simu5g_00000504,26.5,5,2,14,2,154.908466162629,3.166667
simu5g_00000504,26.5,6,3,14,2,163.80396568463647,3.166667
simu5g_00000506,26.6,3,0,14,2,106.46267987300877,3.166667
simu5g_00000506,26.6,4,1,13,2,139.53534454198285,3.333333
simu5g_00000506,26.6,5,2,14,2,154.57630476320577,3.166667
simu5g_00000506,26.6,6,3,14,2,163.73419927217492,3.166667
simu5g_00000508,26.7,3,0,14,2,105.93103805649818,3.166667
simu5g_00000508,26.7,4,1,13,2,139.1028569573584,3.333333
simu5g_00000508,26.7,5,2,14,2,154.2370605351152,3.166667
simu5g_00000508,26.7,6,3,14,2,163.66060640038242,3.166667
simu5g_00000510,26.8,3,0,15,2,105.40398213268628,3.166667
simu5g_00000510,26.8,4,1,13,2,138.66732208931063,3.333333
simu5g_00000510,26.8,5,2,14,2,153.89354797504592,3.166667
simu5g_00000510,26.8,6,3,14,2,163.5823633462964,3.166667
simu5g_00000512,26.9,3,0,15,2,104.88354128142814,3.166667
simu5g_00000512,26.9,4,1,13,2,138.22910201998525,3.333333
simu5g_00000512,26.9,5,2,14,2,153.5449332006775,3.166667
simu5g_00000512,26.9,6,3,14,2,163.5002165755735,3.166667
simu5g_00000514,27.0,3,0,15,2,104.37008927489624,3.166667
simu5g_00000514,27.0,4,1,13,2,137.78727714710558,3.333333
simu5g_00000514,27.0,5,2,14,2,153.1912017756206,3.166667
simu5g_00000514,27.0,6,3,14,2,163.4146068326385,3.166667
simu5g_00000516,27.1,3,0,15,2,103.86223022007266,3.166667
simu5g_00000516,27.1,4,1,13,2,137.3442644170822,3.333333
simu5g_00000516,27.1,5,2,14,2,152.83215035899383,3.166667
simu5g_00000516,27.1,6,3,14,2,163.3251439508258,3.166667
simu5g_00000518,27.2,3,0,15,2,103.36247986542179,3.166667
simu5g_00000518,27.2,4,1,13,2,136.897948975805,3.333333
simu5g_00000518,27.2,5,2,14,2,152.46963533064297,3.166667
simu5g_00000518,27.2,6,3,14,2,163.23066193198161,3.166667
simu5g_00000520,27.3,3,0,15,2,102.87019468697916,3.166667
simu5g_00000520,27.3,4,1,13,2,136.45072267564623,3.333333
simu5g_00000520,27.3,5,2,14,2,152.10357562481437,3.166667
simu5g_00000520,27.3,6,3,14,2,163.1317556360429,3.166667
simu5g_00000522,27.4,3,0,14,2,102.38476899827398,3.166667
simu5g_00000522,27.4,4,1,13,2,136.0004503515337,3.333333
simu5g_00000522,27.4,5,2,13,2,151.73290617734025,3.333333
simu5g_00000522,27.4,6,3,14,2,163.02737298746,3.166667
simu5g_00000524,27.5,3,0,14,2,101.9068779454543,3.166667
simu5g_00000524,27.5,4,1,13,2,135.54783200144163,3.333333
simu5g_00000524,27.5,5,2,13,2,151.35922717763975,3.333333
simu5g_00000524,27.5,6,3,14,2,162.91771157000161,3.166667
simu5g_00000526,27.6,3,0,14,2,101.4376141808304,3.166667
simu5g_00000526,27.6,4,1,13,2,135.09322823195015,3.333333
simu5g_00000526,27.6,5,2,13,2,150.9798526562259,3.333333
simu5g_00000526,27.6,6,3,13,2,162.80321945419166,3.333333
simu5g_00000528,27.7,3,0,15,2,100.97714425892171,3.166667
simu5g_00000528,27.7,4,1,13,2,134.63436601983122,3.333333
simu5g_00000528,27.7,5,2,13,2,150.59743241257019,3.333333
simu5g_00000528,27.7,6,3,13,2,162.68284434917973,3.333333
simu5g_00000530,27.8,3,0,15,2,100.52558949060374,3.166667
simu5g_00000530,27.8,4,1,13,2,134.174023655868,3.333333
simu5g_00000530,27.8,5,2,13,2,150.20810311315512,3.333333
simu5g_00000530,27.8,6,3,13,2,162.55881697094597,3.333333
simu5g_00000532,27.9,3,0,15,2,100.0836925332233,3.166667
simu5g_00000532,27.9,4,1,12,2,133.71099804612922,3.333333
simu5g_00000532,27.9,5,2,13,2,149.81296623504696,3.333333
simu5g_00000532,27.9,6,3,13,2,162.4307502987292,3.333333
simu5g_00000534,28.0,3,0,15,2,99.65255682348639,3.166667
simu5g_00000534,28.0,4,1,12,2,133.24587737316926,3.333333
simu5g_00000534,28.0,5,2,11,2,149.41377061825455,3.500000
simu5g_00000534,28.0,6,3,13,2,162.2998139775809,3.333333
simu5g_00000536,28.1,3,0,15,2,99.23161611596302,3.166667
simu5g_00000536,28.1,4,1,12,2,132.77949471134386,3.333333
simu5g_00000536,28.1,5,2,11,2,149.00887612188603,3.500000
simu5g_00000536,28.1,6,3,13,2,162.1641540856314,3.333333
simu5g_00000538,28.2,3,0,15,2,98.82119543978988,3.166667
simu5g_00000538,28.2,4,1,12,2,132.3097692114879,3.333333
simu5g_00000538,28.2,5,2,11,2,148.598153238178,3.500000
simu5g_00000538,28.2,6,3,13,2,162.02544556697077,3.333333
simu5g_00000540,28.3,3,0,14,2,98.42248224978039,3.166667
simu5g_00000540,28.3,4,1,12,2,131.8371679729553,3.333333
simu5g_00000540,28.3,5,2,11,2,148.18354677863192,3.500000
simu5g_00000540,28.3,6,3,13,2,161.8825431708412,3.333333
simu5g_00000542,28.4,3,0,14,2,98.03552301831988,3.166667
simu5g_00000542,28.4,4,1,14,2,131.36260162719194,3.166667
simu5g_00000542,28.4,5,2,11,2,147.76437988042986,3.500000
simu5g_00000542,28.4,6,3,13,2,161.73532673634392,3.333333
simu5g_00000544,28.5,3,0,14,2,97.6608139790171,3.166667
