scenario_id,timestamp_s,teacher_group_count,teacher_groups,teacher_gain_vs_single,cqi_range,resource_cost_range,previous_quality_range,rb_available
simu5g_00000562,29.4,1,"[[0, 1, 2, 3]]",0.0,6,0.8333333333333335,0,7
simu5g_00000564,29.5,1,"[[0, 1, 2, 3]]",0.0,6,0.8333333333333335,0,7
simu5g_00000566,29.6,1,"[[0, 1, 2, 3]]",0.0,6,0.8333333333333335,0,7
simu5g_00000558,29.2,1,"[[0, 1, 2, 3]]",0.0,5,0.8333333333333335,0,7
simu5g_00000560,29.3,1,"[[0, 1, 2, 3]]",0.0,5,0.8333333333333335,0,7
simu5g_00000568,29.7,1,"[[0, 1, 2, 3]]",0.0,5,0.8333333333333335,0,7
simu5g_00000570,29.8,1,"[[0, 1, 2, 3]]",0.0,5,0.8333333333333335,0,7
simu5g_00000572,29.9,1,"[[0, 1, 2, 3]]",0.0,4,0.8333333333333335,0,7
simu5g_00000534,28.0,1,"[[0, 1, 2, 3]]",0.0,4,0.3333333333333335,0,7
simu5g_00000536,28.1,1,"[[0, 1, 2, 3]]",0.0,4,0.3333333333333335,0,7
