scenario_id,timestamp_s,teacher_group_count,teacher_groups,teacher_gain_vs_single,cqi_range,resource_cost_range,previous_quality_range,rb_available
simu5g_00000612,31.9,1,"[[0, 1, 2, 3]]",0.0,2,0.16666666666666696,0,7
simu5g_00000614,32.0,1,"[[0, 1, 2, 3]]",0.0,2,0.16666666666666696,0,7
simu5g_00000616,32.1,1,"[[0, 1, 2, 3]]",0.0,2,0.16666666666666696,0,7
simu5g_00000620,32.3,1,"[[0, 1, 2, 3]]",0.0,2,0.16666666666666696,0,7
simu5g_00000622,32.4,1,"[[0, 1, 2, 3]]",0.0,2,0.16666666666666696,0,7
simu5g_00000624,32.5,1,"[[0, 1, 2, 3]]",0.0,2,0.16666666666666696,0,7
simu5g_00000626,32.6,1,"[[0, 1, 2, 3]]",0.0,2,0.16666666666666696,0,7
simu5g_00000618,32.2,1,"[[0, 1, 2, 3]]",0.0,2,0.0,0,7
simu5g_00000630,32.8,1,"[[0, 1, 2, 3]]",0.0,2,0.0,0,7
simu5g_00000632,32.9,1,"[[0, 1, 2, 3]]",0.0,2,0.0,0,7
