scenario_id,timestamp_s,teacher_group_count,teacher_groups,teacher_gain_vs_single,cqi_range,resource_cost_range,previous_quality_range,rb_available
simu5g_00000434,23.0,1,"[[0, 1, 2, 3]]",0.0,1,0.0,1,7
simu5g_00000436,23.1,1,"[[0, 1, 2, 3]]",0.0,1,0.0,0,7
simu5g_00000438,23.2,1,"[[0, 1, 2, 3]]",0.0,1,0.0,0,7
simu5g_00000440,23.3,1,"[[0, 1, 2, 3]]",0.0,3,0.3333333333333335,0,7
simu5g_00000442,23.4,1,"[[0, 1, 2, 3]]",0.0,3,0.3333333333333335,0,7
simu5g_00000444,23.5,1,"[[0, 1, 2, 3]]",0.0,3,0.3333333333333335,0,7
simu5g_00000446,23.6,1,"[[0, 1, 2, 3]]",0.0,3,0.3333333333333335,0,7
simu5g_00000448,23.7,1,"[[0, 1, 2, 3]]",0.0,4,0.5,0,7
simu5g_00000450,23.8,1,"[[0, 1, 2, 3]]",0.0,4,0.5,0,7
simu5g_00000452,23.9,1,"[[0, 1, 2, 3]]",0.0,4,0.5,0,7
