scenario_id,timestamp_s,ue_id,user_index,cqi_now,previous_quality,distance_m,mean_resource_cost
simu5g_00000434,23.0,1,0,14,2,94.69284933386591,3.166667
simu5g_00000434,23.0,2,1,14,2,99.78232624207703,3.166667
simu5g_00000434,23.0,4,2,14,2,152.93781034366785,3.166667
simu5g_00000434,23.0,5,3,15,1,163.30561526785624,3.166667
simu5g_00000436,23.1,1,0,14,2,94.53491209366274,3.166667
simu5g_00000436,23.1,2,1,14,2,99.4080803402208,3.166667
simu5g_00000436,23.1,4,2,14,2,152.63377205434406,3.166667
simu5g_00000436,23.1,5,3,15,2,163.16123611978756,3.166667
simu5g_00000438,23.2,1,0,14,2,94.38678626232573,3.166667
simu5g_00000438,23.2,2,1,14,2,99.04494796606708,3.166667
simu5g_00000438,23.2,4,2,14,2,152.32551375636444,3.166667
simu5g_00000438,23.2,5,3,15,2,163.00966986034723,3.166667
simu5g_00000440,23.3,1,0,14,2,94.2480509210859,3.166667
simu5g_00000440,23.3,2,1,12,2,98.69394690875491,3.500000
simu5g_00000440,23.3,4,2,14,2,152.01270665496565,3.166667
simu5g_00000440,23.3,5,3,15,2,162.851522805792,3.166667
simu5g_00000442,23.4,1,0,14,2,94.11898224130465,3.166667
simu5g_00000442,23.4,2,1,12,2,98.35381179553671,3.500000
simu5g_00000442,23.4,4,2,14,2,151.6963625215936,3.166667
simu5g_00000442,23.4,5,3,15,2,162.68821079972264,3.166667
simu5g_00000444,23.5,1,0,14,2,93.99992221899431,3.166667
simu5g_00000444,23.5,2,1,12,2,98.0245374769153,3.500000
simu5g_00000444,23.5,4,2,14,2,151.3769362144695,3.166667
simu5g_00000444,23.5,5,3,15,2,162.5211067963253,3.166667
simu5g_00000446,23.6,1,0,14,2,93.89074413829815,3.166667
simu5g_00000446,23.6,2,1,12,2,97.7069149010294,3.500000
simu5g_00000446,23.6,4,2,14,2,151.05272133440357,3.166667
simu5g_00000446,23.6,5,3,15,2,162.34743985945468,3.166667
simu5g_00000448,23.7,1,0,14,2,93.7919203940177,3.166667
simu5g_00000448,23.7,2,1,12,2,97.39995646974472,3.500000
simu5g_00000448,23.7,4,2,11,2,150.72382059574417,3.666667
simu5g_00000448,23.7,5,3,15,2,162.16663764928333,3.166667
simu5g_00000450,23.8,1,0,14,2,93.70276504659765,3.166667
simu5g_00000450,23.8,2,1,12,2,97.10407443201295,3.500000
simu5g_00000450,23.8,4,2,11,2,150.3908309399557,3.666667
simu5g_00000450,23.8,5,3,15,2,161.97958452882955,3.166667
simu5g_00000452,23.9,1,0,14,2,93.62342462028694,3.166667
simu5g_00000452,23.9,2,1,13,2,96.82011316185218,3.333333
simu5g_00000452,23.9,4,2,11,2,150.0534209298518,3.666667
simu5g_00000452,23.9,5,3,15,2,161.7881942005603,3.166667
