scenario_id,timestamp_s,serving_gnb,user_count,ue_ids
simu5g_00000574,30.0,gnb_2,2,31|6
simu5g_00000590,30.8,gnb_2,3,31|6|7
simu5g_00000606,31.6,gnb_2,3,31|6|7
simu5g_00000622,32.4,gnb_2,3,31|6|7
simu5g_00000636,33.1,gnb_2,3,31|6|7
simu5g_00000652,33.9,gnb_2,3,31|6|7
simu5g_00000668,34.7,gnb_2,3,31|6|7
simu5g_00000684,35.5,gnb_2,3,31|6|7
simu5g_00000700,36.3,gnb_2,3,31|6|7
simu5g_00000716,37.1,gnb_2,3,31|6|7
simu5g_00000730,37.8,gnb_2,3,31|6|7
simu5g_00000746,38.6,gnb_2,3,31|6|7
simu5g_00000762,39.4,gnb_2,3,31|6|7
simu5g_00000778,40.2,gnb_2,2,6|7
simu5g_00000794,41.0,gnb_2,2,6|7
simu5g_00000810,41.8,gnb_2,2,6|7
simu5g_00000824,42.5,gnb_2,2,6|7
simu5g_00000840,43.3,gnb_2,2,6|7
simu5g_00000856,44.1,gnb_2,2,6|7
simu5g_00000872,44.9,gnb_2,2,6|7
simu5g_00000847,43.7,gnb_1,7,0|1|15|2|3|4|5
simu5g_00000849,43.8,gnb_1,7,0|1|15|2|3|4|5
simu5g_00000847,43.7,gnb_1,7,0|1|15|2|3|4|5
simu5g_00000849,43.8,gnb_1,7,0|1|15|2|3|4|5
