scenario_id,timestamp_s,serving_gnb,user_count,ue_ids
simu5g_00000574,30.0,gnb_2,2,31|6
simu5g_00000578,30.2,gnb_2,2,31|6
simu5g_00000582,30.4,gnb_2,2,31|6
simu5g_00000586,30.6,gnb_2,3,31|6|7
simu5g_00000590,30.8,gnb_2,3,31|6|7
simu5g_00000592,30.9,gnb_2,3,31|6|7
simu5g_00000596,31.1,gnb_2,3,31|6|7
simu5g_00000600,31.3,gnb_2,3,31|6|7
simu5g_00000604,31.5,gnb_2,3,31|6|7
simu5g_00000608,31.7,gnb_2,3,31|6|7
simu5g_00000612,31.9,gnb_2,3,31|6|7
simu5g_00000616,32.1,gnb_2,3,31|6|7
simu5g_00000620,32.3,gnb_2,3,31|6|7
simu5g_00000624,32.5,gnb_2,3,31|6|7
simu5g_00000626,32.6,gnb_2,3,31|6|7
simu5g_00000630,32.8,gnb_2,3,31|6|7
simu5g_00000634,33.0,gnb_2,3,31|6|7
simu5g_00000638,33.2,gnb_2,3,31|6|7
simu5g_00000642,33.4,gnb_2,3,31|6|7
simu5g_00000646,33.6,gnb_2,3,31|6|7
simu5g_00000650,33.8,gnb_2,3,31|6|7
simu5g_00000654,34.0,gnb_2,3,31|6|7
simu5g_00000656,34.1,gnb_2,3,31|6|7
simu5g_00000660,34.3,gnb_2,3,31|6|7
simu5g_00000664,34.5,gnb_2,3,31|6|7
simu5g_00000668,34.7,gnb_2,3,31|6|7
simu5g_00000672,34.9,gnb_2,3,31|6|7
simu5g_00000676,35.1,gnb_2,3,31|6|7
simu5g_00000680,35.3,gnb_2,3,31|6|7
simu5g_00000684,35.5,gnb_2,3,31|6|7
simu5g_00000688,35.7,gnb_2,3,31|6|7
simu5g_00000690,35.8,gnb_2,3,31|6|7
simu5g_00000694,36.0,gnb_2,3,31|6|7
simu5g_00000698,36.2,gnb_2,3,31|6|7
simu5g_00000702,36.4,gnb_2,3,31|6|7
simu5g_00000706,36.6,gnb_2,3,31|6|7
simu5g_00000710,36.8,gnb_2,3,31|6|7
simu5g_00000714,37.0,gnb_2,3,31|6|7
simu5g_00000718,37.2,gnb_2,3,31|6|7
simu5g_00000722,37.4,gnb_2,3,31|6|7
simu5g_00000724,37.5,gnb_2,3,31|6|7
simu5g_00000728,37.7,gnb_2,3,31|6|7
simu5g_00000732,37.9,gnb_2,3,31|6|7
simu5g_00000736,38.1,gnb_2,3,31|6|7
simu5g_00000740,38.3,gnb_2,3,31|6|7
simu5g_00000744,38.5,gnb_2,3,31|6|7
simu5g_00000748,38.7,gnb_2,3,31|6|7
simu5g_00000752,38.9,gnb_2,3,31|6|7
simu5g_00000756,39.1,gnb_2,3,31|6|7
simu5g_00000758,39.2,gnb_2,3,31|6|7
simu5g_00000762,39.4,gnb_2,3,31|6|7
simu5g_00000766,39.6,gnb_2,3,31|6|7
simu5g_00000770,39.8,gnb_2,2,6|7
simu5g_00000774,40.0,gnb_2,2,6|7
simu5g_00000778,40.2,gnb_2,2,6|7
simu5g_00000782,40.4,gnb_2,2,6|7
simu5g_00000786,40.6,gnb_2,2,6|7
simu5g_00000790,40.8,gnb_2,2,6|7
simu5g_00000792,40.9,gnb_2,2,6|7
simu5g_00000796,41.1,gnb_2,2,6|7
simu5g_00000800,41.3,gnb_2,2,6|7
simu5g_00000804,41.5,gnb_2,2,6|7
simu5g_00000808,41.7,gnb_2,2,6|7
simu5g_00000812,41.9,gnb_2,2,6|7
simu5g_00000816,42.1,gnb_2,2,6|7
simu5g_00000820,42.3,gnb_2,2,6|7
simu5g_00000822,42.4,gnb_2,2,6|7
simu5g_00000826,42.6,gnb_2,2,6|7
simu5g_00000830,42.8,gnb_2,2,6|7
simu5g_00000834,43.0,gnb_2,2,6|7
simu5g_00000838,43.2,gnb_2,2,6|7
simu5g_00000842,43.4,gnb_2,2,6|7
simu5g_00000846,43.6,gnb_2,2,6|7
simu5g_00000850,43.8,gnb_2,2,6|7
simu5g_00000854,44.0,gnb_2,2,6|7
simu5g_00000856,44.1,gnb_2,2,6|7
simu5g_00000860,44.3,gnb_2,2,6|7
simu5g_00000864,44.5,gnb_2,2,6|7
simu5g_00000868,44.7,gnb_2,2,6|7
simu5g_00000872,44.9,gnb_2,2,6|7
simu5g_00000847,43.7,gnb_1,7,0|1|15|2|3|4|5
simu5g_00000849,43.8,gnb_1,7,0|1|15|2|3|4|5
simu5g_00000847,43.7,gnb_1,7,0|1|15|2|3|4|5
simu5g_00000849,43.8,gnb_1,7,0|1|15|2|3|4|5
