scenario_id,timestamp_s,teacher_group_count,teacher_groups,teacher_gain_vs_single,cqi_range,resource_cost_range,previous_quality_range,rb_available
simu5g_00000733,38.0,1,"[[0, 1, 2, 3, 4, 5, 6]]",0.0,1,0.0,1,7
simu5g_00000735,38.1,1,"[[0, 1, 2, 3, 4, 5, 6]]",0.0,1,0.0,0,7
simu5g_00000737,38.2,1,"[[0, 1, 2, 3, 4, 5, 6]]",0.0,1,0.0,0,7
simu5g_00000739,38.3,1,"[[0, 1, 2, 3, 4, 5, 6]]",0.0,2,0.0,0,7
simu5g_00000741,38.4,1,"[[0, 1, 2, 3, 4, 5, 6]]",0.0,1,0.0,0,7
simu5g_00000743,38.5,1,"[[0, 1, 2, 3, 4, 5, 6]]",0.0,1,0.0,0,7
simu5g_00000745,38.6,1,"[[0, 1, 2, 3, 4, 5, 6]]",0.0,1,0.0,0,7
simu5g_00000747,38.7,1,"[[0, 1, 2, 3, 4, 5, 6]]",0.0,1,0.0,0,7
simu5g_00000749,38.8,1,"[[0, 1, 2, 3, 4, 5, 6]]",0.0,1,0.0,0,7
simu5g_00000751,38.9,1,"[[0, 1, 2, 3, 4, 5, 6]]",0.0,1,0.0,0,7
simu5g_00000753,39.0,1,"[[0, 1, 2, 3, 4, 5, 6]]",0.0,1,0.0,0,7
simu5g_00000755,39.1,1,"[[0, 1, 2, 3, 4, 5, 6]]",0.0,1,0.0,0,7
simu5g_00000757,39.2,1,"[[0, 1, 2, 3, 4, 5, 6]]",0.0,1,0.0,0,7
simu5g_00000759,39.3,1,"[[0, 1, 2, 3, 4, 5, 6]]",0.0,1,0.0,0,7
simu5g_00000761,39.4,1,"[[0, 1, 2, 3, 4, 5, 6]]",0.0,1,0.0,0,7
simu5g_00000763,39.5,1,"[[0, 1, 2, 3, 4, 5, 6]]",0.0,1,0.0,0,7
simu5g_00000765,39.6,1,"[[0, 1, 2, 3, 4, 5, 6]]",0.0,1,0.0,0,7
simu5g_00000767,39.7,1,"[[0, 1, 2, 3, 4, 5, 6]]",0.0,1,0.0,0,7
simu5g_00000769,39.8,1,"[[0, 1, 2, 3, 4, 5, 6]]",0.0,1,0.0,0,7
simu5g_00000771,39.9,1,"[[0, 1, 2, 3, 4, 5, 6]]",0.0,1,0.0,0,7
simu5g_00000773,40.0,1,"[[0, 1, 2, 3, 4, 5, 6]]",0.0,2,0.0,0,7
simu5g_00000775,40.1,1,"[[0, 1, 2, 3, 4, 5, 6]]",0.0,2,0.0,0,7
simu5g_00000777,40.2,1,"[[0, 1, 2, 3, 4, 5, 6]]",0.0,2,0.0,0,7
simu5g_00000779,40.3,1,"[[0, 1, 2, 3, 4, 5, 6]]",0.0,1,0.0,0,7
simu5g_00000781,40.4,1,"[[0, 1, 2, 3, 4, 5, 6]]",0.0,1,0.0,0,7
simu5g_00000783,40.5,1,"[[0, 1, 2, 3, 4, 5, 6]]",0.0,1,0.0,0,7
simu5g_00000785,40.6,1,"[[0, 1, 2, 3, 4, 5, 6]]",0.0,1,0.0,0,7
simu5g_00000787,40.7,1,"[[0, 1, 2, 3, 4, 5, 6]]",0.0,1,0.0,0,7
simu5g_00000789,40.8,1,"[[0, 1, 2, 3, 4, 5, 6]]",0.0,1,0.0,0,7
simu5g_00000791,40.9,1,"[[0, 1, 2, 3, 4, 5, 6]]",0.0,1,0.0,0,7
simu5g_00000793,41.0,1,"[[0, 1, 2, 3, 4, 5, 6]]",0.0,1,0.0,0,7
simu5g_00000795,41.1,1,"[[0, 1, 2, 3, 4, 5, 6]]",0.0,1,0.0,0,7
simu5g_00000797,41.2,1,"[[0, 1, 2, 3, 4, 5, 6]]",0.0,1,0.0,0,7
simu5g_00000799,41.3,1,"[[0, 1, 2, 3, 4, 5, 6]]",0.0,1,0.0,0,7
simu5g_00000801,41.4,1,"[[0, 1, 2, 3, 4, 5, 6]]",0.0,1,0.0,0,7
simu5g_00000803,41.5,1,"[[0, 1, 2, 3, 4, 5, 6]]",0.0,1,0.0,0,7
simu5g_00000805,41.6,1,"[[0, 1, 2, 3, 4, 5, 6]]",0.0,1,0.0,0,7
simu5g_00000807,41.7,1,"[[0, 1, 2, 3, 4, 5, 6]]",0.0,1,0.0,0,7
simu5g_00000809,41.8,1,"[[0, 1, 2, 3, 4, 5, 6]]",0.0,1,0.0,0,7
simu5g_00000811,41.9,1,"[[0, 1, 2, 3, 4, 5, 6]]",0.0,1,0.0,0,7
simu5g_00000813,42.0,1,"[[0, 1, 2, 3, 4, 5, 6]]",0.0,1,0.0,0,7
simu5g_00000815,42.1,1,"[[0, 1, 2, 3, 4, 5, 6]]",0.0,1,0.0,0,7
simu5g_00000817,42.2,1,"[[0, 1, 2, 3, 4, 5, 6]]",0.0,1,0.0,0,7
simu5g_00000819,42.3,1,"[[0, 1, 2, 3, 4, 5, 6]]",0.0,0,0.0,0,7
simu5g_00000821,42.4,1,"[[0, 1, 2, 3, 4, 5, 6]]",0.0,0,0.0,0,7
simu5g_00000823,42.5,1,"[[0, 1, 2, 3, 4, 5, 6]]",0.0,0,0.0,0,7
simu5g_00000825,42.6,1,"[[0, 1, 2, 3, 4, 5, 6]]",0.0,1,0.0,0,7
simu5g_00000827,42.7,1,"[[0, 1, 2, 3, 4, 5, 6]]",0.0,1,0.0,0,7
simu5g_00000829,42.8,1,"[[0, 1, 2, 3, 4, 5, 6]]",0.0,1,0.0,0,7
simu5g_00000831,42.9,1,"[[0, 1, 2, 3, 4, 5, 6]]",0.0,1,0.0,0,7
simu5g_00000833,43.0,1,"[[0, 1, 2, 3, 4, 5, 6]]",0.0,1,0.0,0,7
simu5g_00000835,43.1,1,"[[0, 1, 2, 3, 4, 5, 6]]",0.0,1,0.0,0,7
simu5g_00000837,43.2,1,"[[0, 1, 2, 3, 4, 5, 6]]",0.0,1,0.0,0,7
simu5g_00000839,43.3,1,"[[0, 1, 2, 3, 4, 5, 6]]",0.0,1,0.0,0,7
simu5g_00000841,43.4,1,"[[0, 1, 2, 3, 4, 5, 6]]",0.0,3,0.3333333333333335,0,7
simu5g_00000843,43.5,1,"[[0, 1, 2, 3, 4, 5, 6]]",0.0,3,0.3333333333333335,0,7
simu5g_00000845,43.6,1,"[[0, 1, 2, 3, 4, 5, 6]]",0.0,3,0.3333333333333335,0,7
simu5g_00000847,43.7,2,"[[0, 1, 3, 4, 6], [2, 5]]",0.03242487072117384,8,2.1666666666666665,0,7
simu5g_00000849,43.8,2,"[[0, 1, 3, 4, 6], [2, 5]]",0.03242487072117384,8,2.1666666666666665,0,7
simu5g_00000851,43.9,2,"[[0, 1, 3, 4, 6], [2, 5]]",0.03242487072117384,8,2.3333333333333335,0,7
