scenario_id,timestamp_s,teacher_group_count,teacher_groups,teacher_gain_vs_single,cqi_range,resource_cost_range,previous_quality_range,rb_available
simu5g_00000851,43.9,2,"[[0, 1, 3, 4, 6], [2, 5]]",0.03242487072117384,8,2.3333333333333335,0,7
simu5g_00000845,43.6,2,"[[0, 1, 3, 4, 5, 6], [2]]",0.03189892710967246,7,2.3333333333333335,0,7
simu5g_00000847,43.7,2,"[[0, 1, 3, 4, 6], [2, 5]]",0.03242487072117384,8,2.1666666666666665,0,7
simu5g_00000849,43.8,2,"[[0, 1, 3, 4, 6], [2, 5]]",0.03242487072117384,8,2.1666666666666665,0,7
simu5g_00000841,43.4,1,"[[0, 1, 2, 3, 4, 5, 6]]",0.0,3,0.3333333333333335,0,7
simu5g_00000843,43.5,1,"[[0, 1, 2, 3, 4, 5, 6]]",0.0,3,0.3333333333333335,0,7
simu5g_00000739,38.3,1,"[[0, 1, 2, 3, 4, 5, 6]]",0.0,2,0.0,0,7
simu5g_00000773,40.0,1,"[[0, 1, 2, 3, 4, 5, 6]]",0.0,2,0.0,0,7
simu5g_00000775,40.1,1,"[[0, 1, 2, 3, 4, 5, 6]]",0.0,2,0.0,0,7
simu5g_00000777,40.2,1,"[[0, 1, 2, 3, 4, 5, 6]]",0.0,2,0.0,0,7
