scenario_id,timestamp_s,serving_gnb,user_count,ue_ids
simu5g_00000574,30.0,gnb_2,2,31|6
simu5g_00000576,30.1,gnb_2,2,31|6
simu5g_00000578,30.2,gnb_2,2,31|6
simu5g_00000580,30.3,gnb_2,2,31|6
simu5g_00000582,30.4,gnb_2,2,31|6
simu5g_00000584,30.5,gnb_2,3,31|6|7
simu5g_00000586,30.6,gnb_2,3,31|6|7
simu5g_00000588,30.7,gnb_2,3,31|6|7
simu5g_00000590,30.8,gnb_2,3,31|6|7
simu5g_00000592,30.9,gnb_2,3,31|6|7
simu5g_00000594,31.0,gnb_2,3,31|6|7
simu5g_00000596,31.1,gnb_2,3,31|6|7
simu5g_00000598,31.2,gnb_2,3,31|6|7
simu5g_00000600,31.3,gnb_2,3,31|6|7
simu5g_00000602,31.4,gnb_2,3,31|6|7
simu5g_00000604,31.5,gnb_2,3,31|6|7
simu5g_00000606,31.6,gnb_2,3,31|6|7
simu5g_00000608,31.7,gnb_2,3,31|6|7
simu5g_00000610,31.8,gnb_2,3,31|6|7
simu5g_00000612,31.9,gnb_2,3,31|6|7
simu5g_00000614,32.0,gnb_2,3,31|6|7
simu5g_00000616,32.1,gnb_2,3,31|6|7
simu5g_00000618,32.2,gnb_2,3,31|6|7
simu5g_00000620,32.3,gnb_2,3,31|6|7
simu5g_00000622,32.4,gnb_2,3,31|6|7
simu5g_00000624,32.5,gnb_2,3,31|6|7
simu5g_00000626,32.6,gnb_2,3,31|6|7
simu5g_00000628,32.7,gnb_2,3,31|6|7
simu5g_00000630,32.8,gnb_2,3,31|6|7
simu5g_00000632,32.9,gnb_2,3,31|6|7
simu5g_00000634,33.0,gnb_2,3,31|6|7
simu5g_00000636,33.1,gnb_2,3,31|6|7
simu5g_00000638,33.2,gnb_2,3,31|6|7
simu5g_00000640,33.3,gnb_2,3,31|6|7
simu5g_00000642,33.4,gnb_2,3,31|6|7
simu5g_00000644,33.5,gnb_2,3,31|6|7
simu5g_00000646,33.6,gnb_2,3,31|6|7
simu5g_00000648,33.7,gnb_2,3,31|6|7
simu5g_00000650,33.8,gnb_2,3,31|6|7
simu5g_00000652,33.9,gnb_2,3,31|6|7
simu5g_00000654,34.0,gnb_2,3,31|6|7
simu5g_00000656,34.1,gnb_2,3,31|6|7
simu5g_00000658,34.2,gnb_2,3,31|6|7
simu5g_00000660,34.3,gnb_2,3,31|6|7
simu5g_00000662,34.4,gnb_2,3,31|6|7
simu5g_00000664,34.5,gnb_2,3,31|6|7
simu5g_00000666,34.6,gnb_2,3,31|6|7
simu5g_00000668,34.7,gnb_2,3,31|6|7
simu5g_00000670,34.8,gnb_2,3,31|6|7
simu5g_00000672,34.9,gnb_2,3,31|6|7
simu5g_00000674,35.0,gnb_2,3,31|6|7
simu5g_00000676,35.1,gnb_2,3,31|6|7
simu5g_00000678,35.2,gnb_2,3,31|6|7
simu5g_00000680,35.3,gnb_2,3,31|6|7
simu5g_00000682,35.4,gnb_2,3,31|6|7
simu5g_00000684,35.5,gnb_2,3,31|6|7
simu5g_00000686,35.6,gnb_2,3,31|6|7
simu5g_00000688,35.7,gnb_2,3,31|6|7
simu5g_00000690,35.8,gnb_2,3,31|6|7
simu5g_00000692,35.9,gnb_2,3,31|6|7
simu5g_00000694,36.0,gnb_2,3,31|6|7
simu5g_00000696,36.1,gnb_2,3,31|6|7
simu5g_00000698,36.2,gnb_2,3,31|6|7
simu5g_00000700,36.3,gnb_2,3,31|6|7
simu5g_00000702,36.4,gnb_2,3,31|6|7
simu5g_00000704,36.5,gnb_2,3,31|6|7
simu5g_00000706,36.6,gnb_2,3,31|6|7
simu5g_00000708,36.7,gnb_2,3,31|6|7
simu5g_00000710,36.8,gnb_2,3,31|6|7
simu5g_00000712,36.9,gnb_2,3,31|6|7
simu5g_00000714,37.0,gnb_2,3,31|6|7
simu5g_00000716,37.1,gnb_2,3,31|6|7
simu5g_00000718,37.2,gnb_2,3,31|6|7
simu5g_00000720,37.3,gnb_2,3,31|6|7
simu5g_00000722,37.4,gnb_2,3,31|6|7
simu5g_00000724,37.5,gnb_2,3,31|6|7
simu5g_00000726,37.6,gnb_2,3,31|6|7
simu5g_00000728,37.7,gnb_2,3,31|6|7
simu5g_00000730,37.8,gnb_2,3,31|6|7
simu5g_00000732,37.9,gnb_2,3,31|6|7
simu5g_00000734,38.0,gnb_2,3,31|6|7
simu5g_00000736,38.1,gnb_2,3,31|6|7
simu5g_00000738,38.2,gnb_2,3,31|6|7
simu5g_00000740,38.3,gnb_2,3,31|6|7
simu5g_00000742,38.4,gnb_2,3,31|6|7
simu5g_00000744,38.5,gnb_2,3,31|6|7
simu5g_00000746,38.6,gnb_2,3,31|6|7
simu5g_00000748,38.7,gnb_2,3,31|6|7
simu5g_00000750,38.8,gnb_2,3,31|6|7
simu5g_00000752,38.9,gnb_2,3,31|6|7
