segment_id,ue_ids,serving_gnb,segment_start_s,segment_end_s,suggested_split_s,focus_train_scenarios,focus_test_scenarios,focus_train_positive_gain_count,focus_test_positive_gain_count
seg_01,3|4|5|6,gnb_2,25.8,27.8,26.7,10,11,10,11
seg_01,3|4|5|6,gnb_2,25.8,27.8,26.8,11,10,11,10
seg_01,3|4|5|6,gnb_2,25.8,27.8,26.6,9,12,9,12
seg_01,3|4|5|6,gnb_2,25.8,27.8,26.9,12,9,12,9
seg_01,3|4|5|6,gnb_2,25.8,27.8,26.5,8,13,8,13
seg_01,3|4|5|6,gnb_2,25.8,27.8,27.0,13,8,13,8
seg_01,3|4|5|6,gnb_2,25.8,27.8,26.4,7,14,7,14
seg_01,3|4|5|6,gnb_2,25.8,27.8,27.1,14,7,14,7
seg_01,3|4|5|6,gnb_2,25.8,27.8,26.3,6,15,6,15
seg_01,3|4|5|6,gnb_2,25.8,27.8,27.2,15,6,15,6
seg_01,3|4|5|6,gnb_2,25.8,27.8,26.2,5,16,5,16
seg_01,3|4|5|6,gnb_2,25.8,27.8,27.3,16,5,16,5
seg_01,3|4|5|6,gnb_2,25.8,27.8,26.1,4,17,4,17
seg_01,3|4|5|6,gnb_2,25.8,27.8,27.4,17,4,17,4
seg_01,3|4|5|6,gnb_2,25.8,27.8,26.0,3,18,3,18
seg_01,3|4|5|6,gnb_2,25.8,27.8,27.5,18,3,18,3
seg_01,3|4|5|6,gnb_2,25.8,27.8,25.9,2,19,2,19
seg_01,3|4|5|6,gnb_2,25.8,27.8,27.6,19,2,19,2
seg_01,3|4|5|6,gnb_2,25.8,27.8,25.8,1,20,1,20
seg_01,3|4|5|6,gnb_2,25.8,27.8,27.7,20,1,20,1
