segment_id,ue_ids,serving_gnb,segment_start_s,segment_end_s,suggested_split_s,focus_train_scenarios,focus_test_scenarios,focus_train_positive_gain_count,focus_test_positive_gain_count
seg_01,3|4|5|6,gnb_2,25.8,28.8,27.2,15,16,15,16
seg_01,3|4|5|6,gnb_2,25.8,28.8,27.3,16,15,16,15
seg_01,3|4|5|6,gnb_2,25.8,28.8,27.1,14,17,14,17
seg_01,3|4|5|6,gnb_2,25.8,28.8,27.4,17,14,17,14
seg_01,3|4|5|6,gnb_2,25.8,28.8,27.0,13,18,13,18
seg_01,3|4|5|6,gnb_2,25.8,28.8,27.5,18,13,18,13
seg_01,3|4|5|6,gnb_2,25.8,28.8,26.9,12,19,12,19
seg_01,3|4|5|6,gnb_2,25.8,28.8,27.6,19,12,19,12
seg_01,3|4|5|6,gnb_2,25.8,28.8,26.8,11,20,11,20
seg_01,3|4|5|6,gnb_2,25.8,28.8,27.7,20,11,20,11
seg_01,3|4|5|6,gnb_2,25.8,28.8,26.7,10,21,10,21
seg_01,3|4|5|6,gnb_2,25.8,28.8,27.8,21,10,21,10
seg_01,3|4|5|6,gnb_2,25.8,28.8,26.6,9,22,9,22
seg_01,3|4|5|6,gnb_2,25.8,28.8,27.9,22,9,22,9
seg_01,3|4|5|6,gnb_2,25.8,28.8,26.5,8,23,8,23
seg_01,3|4|5|6,gnb_2,25.8,28.8,28.0,23,8,23,8
seg_01,3|4|5|6,gnb_2,25.8,28.8,26.4,7,24,7,24
seg_01,3|4|5|6,gnb_2,25.8,28.8,28.1,24,7,24,7
seg_01,3|4|5|6,gnb_2,25.8,28.8,26.3,6,25,6,25
seg_01,3|4|5|6,gnb_2,25.8,28.8,28.2,25,6,25,6
seg_01,3|4|5|6,gnb_2,25.8,28.8,26.2,5,26,5,26
seg_01,3|4|5|6,gnb_2,25.8,28.8,28.3,26,5,26,5
seg_01,3|4|5|6,gnb_2,25.8,28.8,26.1,4,27,4,27
seg_01,3|4|5|6,gnb_2,25.8,28.8,28.4,27,4,27,4
seg_01,3|4|5|6,gnb_2,25.8,28.8,26.0,3,28,3,28
seg_01,3|4|5|6,gnb_2,25.8,28.8,28.5,28,3,28,3
seg_01,3|4|5|6,gnb_2,25.8,28.8,25.9,2,29,2,29
seg_01,3|4|5|6,gnb_2,25.8,28.8,28.6,29,2,29,2
seg_01,3|4|5|6,gnb_2,25.8,28.8,25.8,1,30,1,30
seg_01,3|4|5|6,gnb_2,25.8,28.8,28.7,30,1,30,1
