segment_id,ue_ids,serving_gnb,segment_start_s,segment_end_s,suggested_split_s,focus_train_scenarios,focus_test_scenarios,focus_train_positive_gain_count,focus_test_positive_gain_count
seg_01,3|4|5|6,gnb_2,25.8,29.9,27.8,21,21,21,21
seg_01,3|4|5|6,gnb_2,25.8,29.9,27.7,20,22,20,22
seg_01,3|4|5|6,gnb_2,25.8,29.9,27.9,22,20,22,20
seg_01,3|4|5|6,gnb_2,25.8,29.9,27.6,19,23,19,23
seg_01,3|4|5|6,gnb_2,25.8,29.9,28.0,23,19,23,19
seg_01,3|4|5|6,gnb_2,25.8,29.9,27.5,18,24,18,24
seg_01,3|4|5|6,gnb_2,25.8,29.9,28.1,24,18,24,18
seg_01,3|4|5|6,gnb_2,25.8,29.9,27.4,17,25,17,25
seg_01,3|4|5|6,gnb_2,25.8,29.9,28.2,25,17,25,17
seg_01,3|4|5|6,gnb_2,25.8,29.9,27.3,16,26,16,26
seg_01,3|4|5|6,gnb_2,25.8,29.9,28.3,26,16,26,16
seg_01,3|4|5|6,gnb_2,25.8,29.9,27.2,15,27,15,27
seg_01,3|4|5|6,gnb_2,25.8,29.9,28.4,27,15,27,15
seg_01,3|4|5|6,gnb_2,25.8,29.9,27.1,14,28,14,28
seg_01,3|4|5|6,gnb_2,25.8,29.9,28.5,28,14,28,14
seg_01,3|4|5|6,gnb_2,25.8,29.9,27.0,13,29,13,29
seg_01,3|4|5|6,gnb_2,25.8,29.9,28.6,29,13,29,13
seg_01,3|4|5|6,gnb_2,25.8,29.9,26.9,12,30,12,30
seg_01,3|4|5|6,gnb_2,25.8,29.9,28.7,30,12,30,12
seg_01,3|4|5|6,gnb_2,25.8,29.9,26.8,11,31,11,31
seg_01,3|4|5|6,gnb_2,25.8,29.9,28.8,31,11,31,11
seg_01,3|4|5|6,gnb_2,25.8,29.9,26.7,10,32,10,32
seg_01,3|4|5|6,gnb_2,25.8,29.9,28.9,32,10,32,10
seg_01,3|4|5|6,gnb_2,25.8,29.9,26.6,9,33,9,33
seg_01,3|4|5|6,gnb_2,25.8,29.9,29.0,33,9,33,9
seg_01,3|4|5|6,gnb_2,25.8,29.9,26.5,8,34,8,34
seg_01,3|4|5|6,gnb_2,25.8,29.9,29.1,34,8,34,8
seg_01,3|4|5|6,gnb_2,25.8,29.9,26.4,7,35,7,35
seg_01,3|4|5|6,gnb_2,25.8,29.9,29.2,35,7,35,7
seg_01,3|4|5|6,gnb_2,25.8,29.9,26.3,6,36,6,36
seg_01,3|4|5|6,gnb_2,25.8,29.9,29.3,36,6,36,6
seg_01,3|4|5|6,gnb_2,25.8,29.9,26.2,5,37,5,37
seg_01,3|4|5|6,gnb_2,25.8,29.9,29.4,37,5,37,5
seg_01,3|4|5|6,gnb_2,25.8,29.9,26.1,4,38,4,38
seg_01,3|4|5|6,gnb_2,25.8,29.9,29.5,38,4,38,4
seg_01,3|4|5|6,gnb_2,25.8,29.9,26.0,3,39,3,39
seg_01,3|4|5|6,gnb_2,25.8,29.9,29.6,39,3,39,3
seg_01,3|4|5|6,gnb_2,25.8,29.9,25.9,2,40,2,40
seg_01,3|4|5|6,gnb_2,25.8,29.9,29.7,40,2,40,2
seg_01,3|4|5|6,gnb_2,25.8,29.9,25.8,1,41,1,41
seg_01,3|4|5|6,gnb_2,25.8,29.9,29.8,41,1,41,1
