scenario_mode,load_level,rb_budget_ratio,seed,test_index,kmax,feature_mode,method,pairwise_accuracy,ari,nmi,teacher_groups,predicted_groups
coupled_temporal_focus,coupled_trace_rb_28_temporal_focus,0.28,7,0,3,history_cost_quality,Multi-feature k-means,1.0,1.0,1.0,2,2
coupled_temporal_focus,coupled_trace_rb_28_temporal_focus,0.28,7,0,3,history_cost_quality,LE-GRA MVP,1.0,1.0,1.0,2,2
coupled_temporal_focus,coupled_trace_rb_28_temporal_focus,0.28,7,1,3,history_cost_quality,Multi-feature k-means,1.0,1.0,1.0,2,2
coupled_temporal_focus,coupled_trace_rb_28_temporal_focus,0.28,7,1,3,history_cost_quality,LE-GRA MVP,1.0,1.0,1.0,2,2
coupled_temporal_focus,coupled_trace_rb_28_temporal_focus,0.28,7,2,3,history_cost_quality,Multi-feature k-means,1.0,1.0,1.0,2,2
coupled_temporal_focus,coupled_trace_rb_28_temporal_focus,0.28,7,2,3,history_cost_quality,LE-GRA MVP,1.0,1.0,1.0,2,2
coupled_temporal_focus,coupled_trace_rb_28_temporal_focus,0.28,7,3,3,history_cost_quality,Multi-feature k-means,1.0,1.0,1.0,2,2
coupled_temporal_focus,coupled_trace_rb_28_temporal_focus,0.28,7,3,3,history_cost_quality,LE-GRA MVP,1.0,1.0,1.0,2,2
coupled_temporal_focus,coupled_trace_rb_28_temporal_focus,0.28,7,4,3,history_cost_quality,Multi-feature k-means,1.0,1.0,1.0,2,2
coupled_temporal_focus,coupled_trace_rb_28_temporal_focus,0.28,7,4,3,history_cost_quality,LE-GRA MVP,1.0,1.0,1.0,2,2
coupled_temporal_focus,coupled_trace_rb_28_temporal_focus,0.28,7,5,3,history_cost_quality,Multi-feature k-means,1.0,1.0,1.0,2,2
coupled_temporal_focus,coupled_trace_rb_28_temporal_focus,0.28,7,5,3,history_cost_quality,LE-GRA MVP,1.0,1.0,1.0,2,2
coupled_temporal_focus,coupled_trace_rb_28_temporal_focus,0.28,7,6,3,history_cost_quality,Multi-feature k-means,1.0,1.0,1.0,2,2
coupled_temporal_focus,coupled_trace_rb_28_temporal_focus,0.28,7,6,3,history_cost_quality,LE-GRA MVP,1.0,1.0,1.0,2,2
coupled_temporal_focus,coupled_trace_rb_28_temporal_focus,0.28,7,7,3,history_cost_quality,Multi-feature k-means,1.0,1.0,1.0,2,2
coupled_temporal_focus,coupled_trace_rb_28_temporal_focus,0.28,7,7,3,history_cost_quality,LE-GRA MVP,1.0,1.0,1.0,2,2
coupled_temporal_focus,coupled_trace_rb_28_temporal_focus,0.28,7,8,3,history_cost_quality,Multi-feature k-means,1.0,1.0,1.0,2,2
coupled_temporal_focus,coupled_trace_rb_28_temporal_focus,0.28,7,8,3,history_cost_quality,LE-GRA MVP,1.0,1.0,1.0,2,2
coupled_temporal_focus,coupled_trace_rb_28_temporal_focus,0.28,7,9,3,history_cost_quality,Multi-feature k-means,1.0,1.0,1.0,2,2
coupled_temporal_focus,coupled_trace_rb_28_temporal_focus,0.28,7,9,3,history_cost_quality,LE-GRA MVP,1.0,1.0,1.0,2,2
coupled_temporal_focus,coupled_trace_rb_28_temporal_focus,0.28,7,10,3,history_cost_quality,Multi-feature k-means,1.0,1.0,1.0,2,2
coupled_temporal_focus,coupled_trace_rb_28_temporal_focus,0.28,7,10,3,history_cost_quality,LE-GRA MVP,1.0,1.0,1.0,2,2
coupled_temporal_focus,coupled_trace_rb_28_temporal_focus,0.28,7,11,3,history_cost_quality,Multi-feature k-means,1.0,1.0,1.0,2,2
coupled_temporal_focus,coupled_trace_rb_28_temporal_focus,0.28,7,11,3,history_cost_quality,LE-GRA MVP,1.0,1.0,1.0,2,2
coupled_temporal_focus,coupled_trace_rb_28_temporal_focus,0.28,7,12,3,history_cost_quality,Multi-feature k-means,1.0,1.0,1.0,2,2
coupled_temporal_focus,coupled_trace_rb_28_temporal_focus,0.28,7,12,3,history_cost_quality,LE-GRA MVP,1.0,1.0,1.0,2,2
coupled_temporal_focus,coupled_trace_rb_28_temporal_focus,0.28,7,13,3,history_cost_quality,Multi-feature k-means,1.0,1.0,1.0,2,2
coupled_temporal_focus,coupled_trace_rb_28_temporal_focus,0.28,7,13,3,history_cost_quality,LE-GRA MVP,1.0,1.0,1.0,2,2
coupled_temporal_focus,coupled_trace_rb_28_temporal_focus,0.28,7,14,3,history_cost_quality,Multi-feature k-means,1.0,1.0,1.0,2,2
coupled_temporal_focus,coupled_trace_rb_28_temporal_focus,0.28,7,14,3,history_cost_quality,LE-GRA MVP,1.0,1.0,1.0,2,2
coupled_temporal_focus,coupled_trace_rb_28_temporal_focus,0.28,7,15,3,history_cost_quality,Multi-feature k-means,1.0,1.0,1.0,2,2
coupled_temporal_focus,coupled_trace_rb_28_temporal_focus,0.28,7,15,3,history_cost_quality,LE-GRA MVP,1.0,1.0,1.0,2,2
coupled_temporal_focus,coupled_trace_rb_28_temporal_focus,0.28,7,16,3,history_cost_quality,Multi-feature k-means,1.0,1.0,1.0,2,2
coupled_temporal_focus,coupled_trace_rb_28_temporal_focus,0.28,7,16,3,history_cost_quality,LE-GRA MVP,1.0,1.0,1.0,2,2
coupled_temporal_focus,coupled_trace_rb_28_temporal_focus,0.28,7,17,3,history_cost_quality,Multi-feature k-means,1.0,1.0,1.0,2,2
coupled_temporal_focus,coupled_trace_rb_28_temporal_focus,0.28,7,17,3,history_cost_quality,LE-GRA MVP,1.0,1.0,1.0,2,2
coupled_temporal_focus,coupled_trace_rb_28_temporal_focus,0.28,7,18,3,history_cost_quality,Multi-feature k-means,1.0,1.0,1.0,2,2
coupled_temporal_focus,coupled_trace_rb_28_temporal_focus,0.28,7,18,3,history_cost_quality,LE-GRA MVP,1.0,1.0,1.0,2,2
