scenario_id,timestamp_s,teacher_group_count,teacher_groups,teacher_gain_vs_single,cqi_range,resource_cost_range,previous_quality_range,rb_available
simu5g_00000454,24.0,1,"[[0, 1, 2, 3]]",0.0,3,0.5,0,7
simu5g_00000456,24.1,1,"[[0, 1, 2, 3]]",0.0,3,0.5,0,7
simu5g_00000458,24.2,1,"[[0, 1, 2, 3]]",0.0,4,0.5,0,7
simu5g_00000460,24.3,1,"[[0, 1, 2, 3]]",0.0,4,0.5,0,7
simu5g_00000462,24.4,1,"[[0, 1, 2, 3]]",0.0,3,0.16666666666666696,0,7
simu5g_00000464,24.5,1,"[[0, 1, 2, 3]]",0.0,3,0.16666666666666696,0,7
simu5g_00000466,24.6,1,"[[0, 1, 2, 3]]",0.0,3,0.16666666666666696,0,7
simu5g_00000468,24.7,1,"[[0, 1, 2, 3]]",0.0,3,0.16666666666666696,0,7
simu5g_00000470,24.8,1,"[[0, 1, 2, 3]]",0.0,3,0.16666666666666696,0,7
simu5g_00000472,24.9,1,"[[0, 1, 2, 3]]",0.0,3,0.16666666666666696,0,7
