scenario_id,timestamp_s,ue_id,user_index,cqi_now,previous_quality,distance_m,mean_resource_cost
simu5g_00000314,17.0,0,0,14,2,109.59063095603076,3.166667
simu5g_00000314,17.0,1,1,14,2,118.25412357414416,3.166667
simu5g_00000314,17.0,2,2,14,2,135.52577066918965,3.166667
simu5g_00000314,17.0,3,3,14,2,155.81910574239393,3.166667
simu5g_00000314,17.0,4,4,11,1,163.98327151405485,3.500000
simu5g_00000316,17.1,0,0,14,1,109.11424505089077,3.166667
simu5g_00000316,17.1,1,1,14,2,117.722217333945,3.166667
simu5g_00000316,17.1,2,2,14,2,134.92656370517804,3.166667
simu5g_00000316,17.1,3,3,14,1,155.48277674212108,3.166667
simu5g_00000316,17.1,4,4,11,1,163.92604292449084,3.500000
simu5g_00000318,17.2,0,0,14,1,108.64088809952769,3.166667
simu5g_00000318,17.2,1,1,14,2,117.19054609708776,3.166667
simu5g_00000318,17.2,2,2,15,2,134.3225762409067,3.166667
simu5g_00000318,17.2,3,3,14,1,155.14173490765614,3.166667
simu5g_00000318,17.2,4,4,11,1,163.86243172450793,3.500000
simu5g_00000320,17.3,0,0,14,1,108.17083337960109,3.166667
simu5g_00000320,17.3,1,1,14,2,116.66076189178044,3.166667
simu5g_00000320,17.3,2,2,15,2,133.71386563709567,3.166667
simu5g_00000320,17.3,3,3,14,1,154.79552216287507,3.166667
simu5g_00000320,17.3,4,4,11,1,163.79618195307648,3.500000
simu5g_00000322,17.4,0,0,14,1,107.70322260849404,3.166667
simu5g_00000322,17.4,1,1,14,2,116.13167661866493,3.166667
simu5g_00000322,17.4,2,2,15,2,133.10143004873808,3.166667
simu5g_00000322,17.4,3,3,14,1,154.44377064747502,3.166667
simu5g_00000322,17.4,4,4,11,1,163.72674544056167,3.500000
simu5g_00000324,17.5,0,0,14,1,107.24001626779393,3.166667
simu5g_00000324,17.5,1,1,14,2,115.6029848718883,3.166667
simu5g_00000324,17.5,2,2,15,2,132.48434183274136,3.166667
simu5g_00000324,17.5,3,3,14,1,154.08858620398576,3.166667
simu5g_00000324,17.5,4,4,11,1,163.6548087098851,3.500000
simu5g_00000326,17.6,0,0,14,1,106.77930313283049,3.166667
simu5g_00000326,17.6,1,1,13,2,115.0784283955825,3.333333
simu5g_00000326,17.6,2,2,14,2,131.8644583071434,3.166667
simu5g_00000326,17.6,3,3,14,1,153.7267091252841,3.166667
simu5g_00000326,17.6,4,4,11,1,163.58030874867373,3.500000
simu5g_00000328,17.7,0,0,13,1,106.32286134780013,3.166667
simu5g_00000328,17.7,1,1,13,2,114.55417628410824,3.333333
simu5g_00000328,17.7,2,2,14,2,131.24146043848117,3.166667
simu5g_00000328,17.7,3,3,14,1,153.3588627366752,3.166667
simu5g_00000328,17.7,4,4,11,1,163.5009446665895,3.500000
simu5g_00000330,17.8,0,0,13,1,105.87089587740024,3.166667
simu5g_00000330,17.8,1,1,13,2,114.02978296781049,3.333333
simu5g_00000330,17.8,2,2,14,2,130.61321153552274,3.166667
simu5g_00000330,17.8,3,3,14,1,152.98762220439778,3.166667
simu5g_00000330,17.8,4,4,11,1,163.4150615177465,3.500000
simu5g_00000332,17.9,0,0,13,1,105.42220428472277,3.166667
simu5g_00000332,17.9,1,1,13,2,113.50923161212553,3.333333
simu5g_00000332,17.9,2,2,14,2,129.98113309862532,3.166667
simu5g_00000332,17.9,3,3,14,1,152.61006251047354,3.166667
simu5g_00000332,17.9,4,4,11,1,163.3265252203858,3.500000
simu5g_00000334,18.0,0,0,13,1,104.97881007349314,3.166667
simu5g_00000334,18.0,1,1,13,2,112.98835276370714,3.333333
simu5g_00000334,18.0,2,2,15,2,129.34535875367098,3.166667
simu5g_00000334,18.0,3,3,14,1,152.22762221085122,3.166667
simu5g_00000334,18.0,4,4,11,1,163.2328537534075,3.500000
simu5g_00000336,18.1,0,0,12,1,104.53951976194654,3.333333
simu5g_00000336,18.1,1,1,13,2,112.47170408953932,3.333333
simu5g_00000336,18.1,2,2,15,2,128.70809640656168,3.166667
simu5g_00000336,18.1,3,3,12,1,151.84092467989694,3.500000
simu5g_00000336,18.1,4,4,11,1,163.13629005574015,3.500000
simu5g_00000338,18.2,0,0,12,1,104.1055419227975,3.333333
simu5g_00000338,18.2,1,1,13,2,111.9575751646842,3.333333
simu5g_00000338,18.2,2,2,15,2,128.0677801826037,3.166667
simu5g_00000338,18.2,3,3,12,1,151.45005975524336,3.500000
simu5g_00000338,18.2,4,4,11,1,163.03321570185216,3.500000
simu5g_00000340,18.3,0,0,12,1,103.67640087034866,3.333333
simu5g_00000340,18.3,1,1,13,2,111.44499768272993,3.333333
simu5g_00000340,18.3,2,2,15,2,127.42520351070738,3.166667
simu5g_00000340,18.3,3,3,12,1,151.05209268832215,3.500000
simu5g_00000340,18.3,4,4,11,1,162.92644742226125,3.500000
simu5g_00000342,18.4,0,0,12,1,103.25598465988884,3.333333
simu5g_00000342,18.4,1,1,15,2,110.93612473745682,3.166667
simu5g_00000342,18.4,2,2,14,2,126.7784390817738,3.166667
simu5g_00000342,18.4,3,3,12,1,150.65053009417053,3.500000
simu5g_00000342,18.4,4,4,13,1,162.81355189817182,3.333333
simu5g_00000344,18.5,0,0,13,1,102.84261721404904,3.333333
simu5g_00000344,18.5,1,1,15,2,110.4339192660758,3.166667
simu5g_00000344,18.5,2,2,14,2,126.13066436064604,3.166667
simu5g_00000344,18.5,3,3,12,1,150.24505778065128,3.500000
simu5g_00000344,18.5,4,4,13,1,162.69673567897718,3.333333
simu5g_00000346,18.6,0,0,13,1,102.43718428384796,3.333333
simu5g_00000346,18.6,1,1,15,2,109.93412477153363,3.166667
simu5g_00000346,18.6,2,2,14,2,125.47945519431727,3.166667
simu5g_00000346,18.6,3,3,12,1,149.83377328875187,3.500000
simu5g_00000346,18.6,4,4,13,2,162.5754987744384,3.333333
simu5g_00000348,18.7,0,0,13,1,102.03765985775428,3.333333
simu5g_00000348,18.7,1,1,15,2,109.4421061763091,3.166667
simu5g_00000348,18.7,2,2,14,2,124.82450909232318,3.166667
simu5g_00000348,18.7,3,3,9,1,149.4196150392586,4.166667
simu5g_00000348,18.7,4,4,13,2,162.448756081255,3.333333
simu5g_00000350,18.8,0,0,13,1,101.64623569354798,3.333333
simu5g_00000350,18.8,1,1,14,2,108.95270841057614,3.166667
simu5g_00000350,18.8,2,2,14,2,124.16786674491708,3.166667
simu5g_00000350,18.8,3,3,9,1,149.00095137173642,4.166667
simu5g_00000350,18.8,4,4,13,2,162.31709479596037,3.333333
simu5g_00000352,18.9,0,0,13,1,101.26260897751675,3.333333
simu5g_00000352,18.9,1,1,14,2,108.46941411902885,3.166667
simu5g_00000352,18.9,2,2,14,2,123.50863135994017,3.166667
simu5g_00000352,18.9,3,3,9,1,148.5755218865966,4.166667
simu5g_00000352,18.9,4,4,13,2,162.18084688589266,3.333333
simu5g_00000354,19.0,0,0,13,1,100.88800452641858,3.333333
simu5g_00000354,19.0,1,1,14,2,107.99021811233962,3.166667
simu5g_00000354,19.0,2,2,14,2,122.84690631952981,3.166667
simu5g_00000354,19.0,3,3,9,1,148.1434285161246,4.166667
simu5g_00000354,19.0,4,4,13,2,162.04220178870744,3.333333
simu5g_00000356,19.1,0,0,13,1,100.5209573962062,3.333333
simu5g_00000356,19.1,1,1,14,2,107.51774934090022,3.166667
simu5g_00000356,19.1,2,2,15,2,122.18347150440349,3.166667
simu5g_00000356,19.1,3,3,9,1,147.70672618173182,4.166667
simu5g_00000356,19.1,4,4,13,2,161.8983624057433,3.333333
simu5g_00000358,19.2,0,0,13,1,100.16237255026431,3.333333
simu5g_00000358,19.2,1,1,14,2,107.05028699294473,3.333333
simu5g_00000358,19.2,2,2,15,2,121.51745242944627,3.166667
simu5g_00000358,19.2,3,3,9,1,147.264028582528,4.166667
simu5g_00000358,19.2,4,4,13,2,161.75075270411466,3.333333
simu5g_00000360,19.3,0,0,14,1,99.81267107166913,3.166667
simu5g_00000360,19.3,1,1,14,2,106.58804653364986,3.333333
simu5g_00000360,19.3,2,2,15,2,120.8500430377655,3.166667
simu5g_00000360,19.3,3,3,14,1,146.81580614797912,3.333333
simu5g_00000360,19.3,4,4,13,2,161.59956097367362,3.333333
simu5g_00000362,19.4,0,0,14,1,99.4707378366495,3.166667
simu5g_00000362,19.4,1,1,14,2,106.13299730723341,3.166667
simu5g_00000362,19.4,2,2,14,2,120.18118255625794,3.166667
simu5g_00000362,19.4,3,3,14,1,146.3625419107517,3.333333
simu5g_00000362,19.4,4,4,13,2,161.4433926913603,3.333333
