scenario_id,timestamp_s,teacher_group_count,teacher_groups,teacher_gain_vs_single,cqi_range,resource_cost_range,previous_quality_range,rb_available
simu5g_00000348,18.7,2,"[[0, 1, 2, 4], [3]]",0.011900924527038947,6,1.0000000000000004,1,7
simu5g_00000356,19.1,2,"[[0, 1, 2, 4], [3]]",0.011900924527038947,6,1.0000000000000004,1,7
simu5g_00000358,19.2,2,"[[0, 1, 2, 4], [3]]",0.011900924527038947,6,1.0000000000000004,1,7
simu5g_00000350,18.8,2,"[[0, 1, 2, 4], [3]]",0.011900924527038947,5,1.0000000000000004,1,7
simu5g_00000352,18.9,2,"[[0, 1, 2, 4], [3]]",0.011900924527038947,5,1.0000000000000004,1,7
simu5g_00000354,19.0,2,"[[0, 1, 2, 4], [3]]",0.011900924527038947,5,1.0000000000000004,1,7
simu5g_00000318,17.2,1,"[[0, 1, 2, 3, 4]]",0.0,4,0.3333333333333335,1,7
simu5g_00000320,17.3,1,"[[0, 1, 2, 3, 4]]",0.0,4,0.3333333333333335,1,7
simu5g_00000322,17.4,1,"[[0, 1, 2, 3, 4]]",0.0,4,0.3333333333333335,1,7
simu5g_00000324,17.5,1,"[[0, 1, 2, 3, 4]]",0.0,4,0.3333333333333335,1,7
