scenario_id,timestamp_s,serving_gnb,user_count,ue_ids
simu5g_00000015,2.1,gnb_1,2,15|31
simu5g_00000023,2.5,gnb_1,2,15|31
simu5g_00000029,2.8,gnb_1,2,15|31
simu5g_00000037,3.2,gnb_1,2,15|31
simu5g_00000045,3.6,gnb_1,2,15|31
simu5g_00000051,3.9,gnb_1,2,15|31
simu5g_00000059,4.3,gnb_1,2,15|31
simu5g_00000067,4.7,gnb_1,2,15|31
simu5g_00000075,5.1,gnb_1,2,15|31
simu5g_00000081,5.4,gnb_1,2,15|31
simu5g_00000089,5.8,gnb_1,2,15|31
simu5g_00000097,6.2,gnb_1,2,15|31
simu5g_00000103,6.5,gnb_1,2,15|31
simu5g_00000111,6.9,gnb_1,2,15|31
simu5g_00000119,7.3,gnb_1,2,15|31
simu5g_00000125,7.6,gnb_1,2,15|31
simu5g_00000133,8.0,gnb_1,2,15|31
simu5g_00000141,8.4,gnb_1,2,15|31
simu5g_00000149,8.8,gnb_1,2,15|31
simu5g_00000155,9.1,gnb_1,2,15|31
simu5g_00000163,9.5,gnb_1,2,15|31
simu5g_00000171,9.9,gnb_1,2,15|31
simu5g_00000177,10.2,gnb_1,2,15|31
simu5g_00000185,10.6,gnb_1,2,15|31
simu5g_00000193,11.0,gnb_1,2,15|31
simu5g_00000199,11.3,gnb_1,2,15|31
simu5g_00000207,11.7,gnb_1,2,15|31
simu5g_00000215,12.1,gnb_1,2,15|31
simu5g_00000223,12.5,gnb_1,2,15|31
simu5g_00000229,12.8,gnb_1,2,15|31
simu5g_00000237,13.2,gnb_1,2,15|31
simu5g_00000245,13.6,gnb_1,2,15|31
simu5g_00000251,13.9,gnb_1,2,15|31
simu5g_00000259,14.3,gnb_1,2,15|31
simu5g_00000267,14.7,gnb_1,2,15|31
simu5g_00000273,15.0,gnb_1,2,15|31
simu5g_00000281,15.4,gnb_1,2,15|31
simu5g_00000289,15.8,gnb_1,2,15|31
simu5g_00000297,16.2,gnb_1,2,15|31
simu5g_00000303,16.5,gnb_1,2,15|31
simu5g_00000311,16.9,gnb_1,2,15|31
simu5g_00000319,17.3,gnb_1,2,15|31
simu5g_00000325,17.6,gnb_1,2,15|31
simu5g_00000333,18.0,gnb_1,2,15|31
simu5g_00000341,18.4,gnb_1,2,15|31
simu5g_00000347,18.7,gnb_1,2,15|31
simu5g_00000355,19.1,gnb_1,2,15|31
simu5g_00000363,19.5,gnb_1,2,15|31
simu5g_00000371,19.9,gnb_1,2,15|31
simu5g_00000377,20.2,gnb_1,2,15|31
simu5g_00000385,20.6,gnb_1,2,15|31
simu5g_00000393,21.0,gnb_1,2,15|31
simu5g_00000399,21.3,gnb_1,2,15|31
simu5g_00000407,21.7,gnb_1,2,15|31
simu5g_00000415,22.1,gnb_1,2,15|31
simu5g_00000421,22.4,gnb_1,2,15|31
simu5g_00000429,22.8,gnb_1,2,15|31
simu5g_00000437,23.2,gnb_1,2,15|31
simu5g_00000443,23.5,gnb_1,2,15|31
simu5g_00000451,23.9,gnb_1,2,15|31
simu5g_00000459,24.3,gnb_1,2,15|31
simu5g_00000467,24.7,gnb_1,2,15|31
simu5g_00000473,25.0,gnb_1,2,15|31
simu5g_00000481,25.4,gnb_1,2,15|31
simu5g_00000489,25.8,gnb_1,2,15|31
simu5g_00000492,25.9,gnb_2,2,5|6
simu5g_00000496,26.1,gnb_2,2,5|6
simu5g_00000500,26.3,gnb_2,2,5|6
simu5g_00000503,26.5,gnb_1,2,15|31
simu5g_00000507,26.7,gnb_1,2,15|31
simu5g_00000511,26.9,gnb_1,2,15|31
simu5g_00000515,27.1,gnb_1,2,15|31
simu5g_00000518,27.2,gnb_2,2,5|6
simu5g_00000522,27.4,gnb_2,2,5|6
simu5g_00000526,27.6,gnb_2,2,5|6
simu5g_00000529,27.8,gnb_1,2,15|31
simu5g_00000533,28.0,gnb_1,2,15|31
simu5g_00000537,28.2,gnb_1,2,15|31
simu5g_00000540,28.3,gnb_2,2,5|6
simu5g_00000544,28.5,gnb_2,2,5|6
simu5g_00000548,28.7,gnb_2,2,5|6
simu5g_00000552,28.9,gnb_2,2,5|6
simu5g_00000555,29.1,gnb_1,2,15|31
simu5g_00000559,29.3,gnb_1,2,15|31
simu5g_00000563,29.5,gnb_1,2,15|31
simu5g_00000566,29.6,gnb_2,2,5|6
simu5g_00000570,29.8,gnb_2,2,5|6
simu5g_00000576,30.1,gnb_2,3,31|5|6
simu5g_00000582,30.4,gnb_2,3,31|5|6
simu5g_00000590,30.8,gnb_2,4,31|5|6|7
simu5g_00000595,31.1,gnb_1,2,15|5
simu5g_00000599,31.3,gnb_1,2,15|5
simu5g_00000602,31.4,gnb_2,3,31|6|7
simu5g_00000606,31.6,gnb_2,3,31|6|7
simu5g_00000610,31.8,gnb_2,3,31|6|7
simu5g_00000613,32.0,gnb_1,2,15|5
simu5g_00000617,32.2,gnb_1,2,15|5
simu5g_00000621,32.4,gnb_1,2,15|5
simu5g_00000624,32.5,gnb_2,3,31|6|7
simu5g_00000628,32.7,gnb_2,3,31|6|7
simu5g_00000632,32.9,gnb_2,3,31|6|7
simu5g_00000638,33.2,gnb_2,4,31|5|6|7
simu5g_00000646,33.6,gnb_2,4,31|5|6|7
simu5g_00000654,34.0,gnb_2,4,31|5|6|7
simu5g_00000662,34.4,gnb_2,4,31|5|6|7
simu5g_00000668,34.7,gnb_2,4,31|5|6|7
simu5g_00000676,35.1,gnb_2,4,31|5|6|7
simu5g_00000684,35.5,gnb_2,4,31|5|6|7
simu5g_00000690,35.8,gnb_2,4,31|5|6|7
simu5g_00000698,36.2,gnb_2,4,31|5|6|7
simu5g_00000706,36.6,gnb_2,4,31|5|6|7
simu5g_00000712,36.9,gnb_2,4,31|5|6|7
simu5g_00000720,37.3,gnb_2,4,31|5|6|7
simu5g_00000728,37.7,gnb_2,4,31|5|6|7
simu5g_00000734,38.0,gnb_2,3,31|6|7
simu5g_00000737,38.2,gnb_1,2,15|5
simu5g_00000741,38.4,gnb_1,2,15|5
simu5g_00000745,38.6,gnb_1,2,15|5
simu5g_00000748,38.7,gnb_2,3,31|6|7
simu5g_00000752,38.9,gnb_2,3,31|6|7
simu5g_00000756,39.1,gnb_2,3,31|6|7
simu5g_00000759,39.3,gnb_1,2,15|5
simu5g_00000763,39.5,gnb_1,2,15|5
simu5g_00000767,39.7,gnb_1,2,15|5
simu5g_00000771,39.9,gnb_1,2,15|5
simu5g_00000774,40.0,gnb_2,2,6|7
simu5g_00000778,40.2,gnb_2,2,6|7
simu5g_00000782,40.4,gnb_2,2,6|7
simu5g_00000785,40.6,gnb_1,2,15|5
simu5g_00000789,40.8,gnb_1,2,15|5
simu5g_00000793,41.0,gnb_1,2,15|5
simu5g_00000796,41.1,gnb_2,2,6|7
simu5g_00000800,41.3,gnb_2,2,6|7
simu5g_00000804,41.5,gnb_2,2,6|7
simu5g_00000808,41.7,gnb_2,2,6|7
simu5g_00000811,41.9,gnb_1,2,15|5
simu5g_00000815,42.1,gnb_1,2,15|5
simu5g_00000819,42.3,gnb_1,2,15|5
simu5g_00000822,42.4,gnb_2,2,6|7
simu5g_00000826,42.6,gnb_2,2,6|7
simu5g_00000830,42.8,gnb_2,2,6|7
simu5g_00000833,43.0,gnb_1,2,15|5
simu5g_00000837,43.2,gnb_1,2,15|5
simu5g_00000841,43.4,gnb_1,2,15|5
simu5g_00000845,43.6,gnb_1,2,15|5
simu5g_00000848,43.7,gnb_2,2,6|7
simu5g_00000852,43.9,gnb_2,2,6|7
simu5g_00000860,44.3,gnb_2,3,15|6|7
simu5g_00000866,44.6,gnb_2,3,15|6|7
simu5g_00000874,45,gnb_2,2,15|6
simu5g_00000076,5.1,gnb_2,2,0|1
simu5g_00000078,5.2,gnb_2,2,0|1
simu5g_00000080,5.3,gnb_2,2,0|1
simu5g_00000082,5.4,gnb_2,2,0|1
simu5g_00000084,5.5,gnb_2,2,0|1
simu5g_00000086,5.6,gnb_2,2,0|1
simu5g_00000088,5.7,gnb_2,2,0|1
simu5g_00000090,5.8,gnb_2,2,0|1
simu5g_00000092,5.9,gnb_2,2,0|1
simu5g_00000094,6.0,gnb_2,2,0|1
simu5g_00000096,6.1,gnb_2,2,0|1
simu5g_00000098,6.2,gnb_2,2,0|1
simu5g_00000100,6.3,gnb_2,2,0|1
simu5g_00000102,6.4,gnb_2,2,0|1
simu5g_00000104,6.5,gnb_2,2,0|1
simu5g_00000106,6.6,gnb_2,2,0|1
simu5g_00000108,6.7,gnb_2,2,0|1
simu5g_00000110,6.8,gnb_2,2,0|1
simu5g_00000112,6.9,gnb_2,2,0|1
simu5g_00000114,7.0,gnb_2,2,0|1
simu5g_00000116,7.1,gnb_2,2,0|1
simu5g_00000118,7.2,gnb_2,2,0|1
simu5g_00000120,7.3,gnb_2,2,0|1
simu5g_00000122,7.4,gnb_2,2,0|1
simu5g_00000124,7.5,gnb_2,2,0|1
simu5g_00000126,7.6,gnb_2,2,0|1
simu5g_00000128,7.7,gnb_2,2,0|1
simu5g_00000130,7.8,gnb_2,2,0|1
simu5g_00000132,7.9,gnb_2,2,0|1
simu5g_00000134,8.0,gnb_2,2,0|1
simu5g_00000136,8.1,gnb_2,2,0|1
simu5g_00000138,8.2,gnb_2,2,0|1
simu5g_00000140,8.3,gnb_2,2,0|1
simu5g_00000142,8.4,gnb_2,2,0|1
simu5g_00000144,8.5,gnb_2,2,0|1
simu5g_00000146,8.6,gnb_2,3,0|1|2
simu5g_00000148,8.7,gnb_2,3,0|1|2
simu5g_00000150,8.8,gnb_2,3,0|1|2
simu5g_00000152,8.9,gnb_2,3,0|1|2
simu5g_00000154,9.0,gnb_2,3,0|1|2
simu5g_00000156,9.1,gnb_2,3,0|1|2
simu5g_00000158,9.2,gnb_2,3,0|1|2
simu5g_00000160,9.3,gnb_2,3,0|1|2
simu5g_00000162,9.4,gnb_2,3,0|1|2
simu5g_00000164,9.5,gnb_2,3,0|1|2
