regime,test_window,bridge_mode,source_run,teacher_utility,legra_utility,utility_gap,teacher_signature,predicted_signature,mean_pairwise_accuracy,mean_ari,mean_nmi,notes
o8,18.7,kmeans_embedding,p3_6o8c_ultrashort_kmeans_diag,0.6198214236671593,0.6071841780840183,-0.0126372455831410,0|1|2 / 3|4,0|1|2|3|4,0.4,0.0,0.0,Top-k weak pair is correct but final grouping collapses to single-group on one probe.
o8,18.7,membership_order,p3_6o8d_ultrashort_membership_diag,0.6198214236671593,0.6198214236671593,0.0,0|1|2 / 3|4,3|4 / 0|1|2,1.0,1.0,1.0,Bridge recovers teacher exactly on the cleanest single-point probe.
o8,18.7,hybrid_membership_kmeans,p3_6o8e_ultrashort_hybrid_bridge,0.6198214236671593,0.6198214236671593,0.0,0|1|2 / 3|4,3|4 / 0|1|2,1.0,1.0,1.0,Hybrid bridge matches teacher and confirms bridge-level repair.
m4b,43.7-43.9,kmeans_embedding,p3_6m26_m4b_localized_hard_negative_v1,0.5796090488051922,0.5790831051936908,-0.0005259436115014,0|1|2|3|5 / 15|4,0|1|2|3|4|5 / 15,0.7142857142857143,0.4166666666666667,0.4281401781196992,Train-side signal is improved but old bridge still misses the true dual-weak split.
m4b,43.7-43.9,membership_order,p3_6m26b_m4b_localized_hard_negative_membership_order,0.5796090488051922,0.5796090488051922,0.0,0|1|2|3|5 / 15|4,15|4 / 0|1|2|3|5,1.0,1.0,1.0,Bridge exposes repaired frontier and fully matches teacher.
m4b,43.7-43.9,hybrid_membership_kmeans,p3_6p1_m4b_hybrid_bridge,0.5796090488051922,0.5796090488051922,0.0,0|1|2|3|5 / 15|4,15|4 / 0|1|2|3|5,1.0,1.0,1.0,Hybrid bridge transfers cleanly on the hardest current focused regime.
m2,43.8-43.9,kmeans_embedding,p3_6m18_m2_normalized_selector_multistart,0.5796090488051922,0.5790831051936908,-0.0005259436115014,0|1|2|3|5 / 15|4,0|1|2|3|4|5 / 15,0.7142857142857143,0.4166666666666667,0.4281401781196992,Older focused protocol; useful as evidence that m2 is not the same kind of bridge bottleneck as m4b but not a pure bridge-only A/B.
m2,43.8-43.9,membership_order,p3_6m28_m2_localized_hard_negative_membership_order,0.5796090488051922,0.5796090488051922,0.0,0|1|2|3|5 / 15|4,15|4 / 0|1|2|3|5,1.0,1.0,1.0,Localized hard negative plus membership-order bridge matches teacher exactly.
m2,43.8-43.9,hybrid_membership_kmeans,p3_6p2_m2_hybrid_bridge,0.5796090488051922,0.5796090488051922,0.0,0|1|2|3|5 / 15|4,15|4 / 0|1|2|3|5,1.0,1.0,1.0,Hybrid bridge also matches teacher on the m2 sibling regime.
n3,27.9-29.9,hybrid_membership_kmeans,p3_6p4_n3_hybrid_sanity,0.4603881335630136,0.4603881335630136,0.0,3|4|6 / 5,5 / 3|4|6,1.0,1.0,1.0,Minimal sanity check confirms hybrid bridge does not regress on an already-solvable regime.
