scenario_mode,load_level,rb_budget_ratio,seed,test_index,kmax,feature_mode,method,pairwise_accuracy,ari,nmi,teacher_groups,predicted_groups,teacher_group_signature,predicted_group_signature,teacher_group_json,predicted_group_json,teacher_utility,predicted_utility,utility_gap_vs_teacher
coupled_temporal_focus,coupled_trace_rb_28_temporal_focus,0.28,11,0,3,history_cost_quality,Multi-feature k-means,0.6666666666666666,0.3478260869565217,0.4098997222992108,2,2,1|3|4|5 / 2|6,2 / 1|3|4|5|6,"[[0, 2, 3, 4], [5, 1]]","[[1], [0, 2, 3, 4, 5]]",0.583434915953508,0.5691723261457139,-0.014262589807794157
coupled_temporal_focus,coupled_trace_rb_28_temporal_focus,0.28,11,0,3,history_cost_quality,LE-GRA MVP,1.0,1.0,1.0,2,2,1|3|4|5 / 2|6,2|6 / 1|3|4|5,"[[0, 2, 3, 4], [5, 1]]","[[1, 5], [0, 2, 3, 4]]",0.583434915953508,0.583434915953508,0.0
coupled_temporal_focus,coupled_trace_rb_28_temporal_focus,0.28,11,1,3,history_cost_quality,Multi-feature k-means,0.4666666666666667,0.0,0.0,2,1,1|3|4|5 / 2|6,1|2|3|4|5|6,"[[0, 2, 3, 4], [5, 1]]","[[0, 1, 2, 3, 4, 5]]",0.6457564299182466,0.613850844750685,-0.03190558516756159
coupled_temporal_focus,coupled_trace_rb_28_temporal_focus,0.28,11,1,3,history_cost_quality,LE-GRA MVP,1.0,1.0,1.0,2,2,1|3|4|5 / 2|6,2|6 / 1|3|4|5,"[[0, 2, 3, 4], [5, 1]]","[[1, 5], [0, 2, 3, 4]]",0.6457564299182466,0.6457564299182466,0.0
coupled_temporal_focus,coupled_trace_rb_28_temporal_focus,0.28,11,2,3,history_cost_quality,Multi-feature k-means,0.4666666666666667,0.0,0.0,2,1,1|3|4|5 / 2|6,1|2|3|4|5|6,"[[0, 2, 3, 4], [5, 1]]","[[0, 1, 2, 3, 4, 5]]",0.6457564299182466,0.613850844750685,-0.03190558516756159
coupled_temporal_focus,coupled_trace_rb_28_temporal_focus,0.28,11,2,3,history_cost_quality,LE-GRA MVP,1.0,1.0,1.0,2,2,1|3|4|5 / 2|6,2|6 / 1|3|4|5,"[[0, 2, 3, 4], [5, 1]]","[[1, 5], [0, 2, 3, 4]]",0.6457564299182466,0.6457564299182466,0.0
coupled_temporal_focus,coupled_trace_rb_28_temporal_focus,0.28,11,3,3,history_cost_quality,Multi-feature k-means,0.4666666666666667,0.0,0.0,2,1,1|3|4|5 / 2|6,1|2|3|4|5|6,"[[0, 2, 3, 4], [5, 1]]","[[0, 1, 2, 3, 4, 5]]",0.6457564299182466,0.613850844750685,-0.03190558516756159
coupled_temporal_focus,coupled_trace_rb_28_temporal_focus,0.28,11,3,3,history_cost_quality,LE-GRA MVP,1.0,1.0,1.0,2,2,1|3|4|5 / 2|6,2|6 / 1|3|4|5,"[[0, 2, 3, 4], [5, 1]]","[[1, 5], [0, 2, 3, 4]]",0.6457564299182466,0.6457564299182466,0.0
coupled_temporal_focus,coupled_trace_rb_28_temporal_focus,0.28,11,4,3,history_cost_quality,Multi-feature k-means,0.4666666666666667,0.0,0.0,2,1,1|3|4|5 / 2|6,1|2|3|4|5|6,"[[0, 2, 3, 4], [5, 1]]","[[0, 1, 2, 3, 4, 5]]",0.6457564299182466,0.613850844750685,-0.03190558516756159
coupled_temporal_focus,coupled_trace_rb_28_temporal_focus,0.28,11,4,3,history_cost_quality,LE-GRA MVP,1.0,1.0,1.0,2,2,1|3|4|5 / 2|6,2|6 / 1|3|4|5,"[[0, 2, 3, 4], [5, 1]]","[[1, 5], [0, 2, 3, 4]]",0.6457564299182466,0.6457564299182466,0.0
coupled_temporal_focus,coupled_trace_rb_28_temporal_focus,0.28,11,5,3,history_cost_quality,Multi-feature k-means,0.4666666666666667,0.0,0.0,2,1,1|3|4|5 / 2|6,1|2|3|4|5|6,"[[0, 2, 3, 4], [5, 1]]","[[0, 1, 2, 3, 4, 5]]",0.6457564299182466,0.613850844750685,-0.03190558516756159
coupled_temporal_focus,coupled_trace_rb_28_temporal_focus,0.28,11,5,3,history_cost_quality,LE-GRA MVP,1.0,1.0,1.0,2,2,1|3|4|5 / 2|6,2|6 / 1|3|4|5,"[[0, 2, 3, 4], [5, 1]]","[[1, 5], [0, 2, 3, 4]]",0.6457564299182466,0.6457564299182466,0.0
coupled_temporal_focus,coupled_trace_rb_28_temporal_focus,0.28,11,6,3,history_cost_quality,Multi-feature k-means,0.4666666666666667,0.0,0.0,2,1,1|3|4|5 / 2|6,1|2|3|4|5|6,"[[0, 2, 3, 4], [5, 1]]","[[0, 1, 2, 3, 4, 5]]",0.6457564299182466,0.613850844750685,-0.03190558516756159
coupled_temporal_focus,coupled_trace_rb_28_temporal_focus,0.28,11,6,3,history_cost_quality,LE-GRA MVP,1.0,1.0,1.0,2,2,1|3|4|5 / 2|6,2|6 / 1|3|4|5,"[[0, 2, 3, 4], [5, 1]]","[[1, 5], [0, 2, 3, 4]]",0.6457564299182466,0.6457564299182466,0.0
