scenario_id,ue_id,user_index,cqi_t_minus_4,cqi_t_minus_3,cqi_t_minus_2,cqi_t_minus_1,cqi_now_raw,cqi_now,previous_quality,distance_m,speed_mps,direction_to_gnb,x_m,y_m,rsrp_dbm,rsrq_db,wideband_sinr_db,mcs
simu5g_00000298,0,0,13.76,13.76,13.76,14.16,14.16,14,2,125.32343923590403,6.23032155625999,0.6672066865018143,226.65,363.616636633599,,,,
simu5g_00000298,1,1,15.0,15.0,15.0,15.0,15.0,15,2,135.5031016730449,6.53242044215145,0.7248429731576264,226.65,378.21847108877,,,,
simu5g_00000298,2,2,12.12,12.12,12.12,12.12,14.24,14,2,147.21376393637627,6.62081589538727,0.7732412912229152,226.65,393.831760911949,,,,
simu5g_00000298,3,3,8.8,8.8,8.8,7.96,7.96,8,1,162.70696255495062,1.20454746949829,0.8190439179047486,226.65,413.264148081388,,,,
simu5g_00000300,0,0,13.76,13.76,14.16,14.16,14.16,14,2,124.90596422252136,6.27014400708919,0.6644168094731093,226.65,362.98962223289,,,,
simu5g_00000300,1,1,15.0,15.0,15.0,15.0,15.0,15,2,135.02880690765122,6.55382807885441,0.7225353649729738,226.65,377.563088280885,,,,
simu5g_00000300,2,2,12.12,12.12,12.12,14.24,14.24,14,2,146.69259748402288,6.74809483371099,0.771388286589598,226.65,393.156951428578,,,,
simu5g_00000300,3,3,8.8,8.8,7.96,7.96,7.96,8,1,162.60536361324293,1.24064801427646,0.818792691221643,226.65,413.140083279961,,,,
simu5g_00000302,0,0,13.76,14.16,14.16,14.16,14.16,14,2,124.48908979751472,6.2876394077657,0.661590974968782,226.65,362.360858292114,,,,
simu5g_00000302,1,1,15.0,15.0,15.0,15.0,15.0,15,2,134.55691465576143,6.54157930386035,0.7202077321587099,226.65,376.908930350499,,,,
simu5g_00000302,2,2,12.12,12.12,14.24,14.24,14.24,14,2,146.1628082415557,6.8764889202838,0.7694796226867562,226.65,392.469302536549,,,,
simu5g_00000302,3,3,8.8,7.96,7.96,7.96,7.96,8,1,162.50131174330588,1.27099634396604,0.8185348303875668,226.65,413.012983645564,,,,
simu5g_00000520,1,0,14.76,14.86,14.96,14.96,14.96,15,3,93.6943261254626,9.9480459887712,0.08565327344026889,226.65,288.025225735426,,,,
simu5g_00000520,2,1,10.20,9.80,9.40,9.00,8.80,9,0,96.21511518823993,9.61620333701553,0.2422182984091831,226.65,303.305061482139,,,,
simu5g_00000520,3,2,14.82,14.82,14.92,14.92,14.92,15,4,133.1373648280733,5.57640585876181,0.7130083579629217,226.65,374.928053879575,,,,
simu5g_00000520,4,3,13.20,13.10,13.00,12.90,13.10,13,2,144.2943719698418,5.74965488063355,0.7625397379776866,226.65,390.030192593538,,,,
simu5g_00000520,5,4,14.64,14.64,14.64,14.54,14.64,15,4,156.498557595443,4.56802944807393,0.8026196751808051,226.65,405.608821463519,,,,
simu5g_00000520,6,5,13.70,13.50,13.40,13.30,13.20,13,2,164.14513191885655,0.373850530690201,0.8225422254153409,226.65,415.016302099631,,,,
simu5g_00000522,1,0,14.76,14.86,14.96,14.96,14.96,15,3,93.61421176493556,9.96844387619504,0.0750781448168917,226.65,287.028381347807,,,,
simu5g_00000522,2,1,10.00,9.60,9.20,8.80,8.80,9,0,95.98533146997774,9.67618535340618,0.2327172559047285,226.65,302.337442946799,,,,
simu5g_00000522,3,2,14.82,14.82,14.92,14.92,14.92,15,4,132.73910345642025,5.59377474667149,0.7109335075167983,226.65,374.368676404908,,,,
simu5g_00000522,4,3,12.32,12.22,12.12,12.02,12.32,12,2,143.85308851822546,5.79342545526053,0.7608515825097849,226.65,389.450850048012,,,,
simu5g_00000522,5,4,12.80,12.70,12.60,12.50,12.40,12,4,156.12275654500877,4.68529745734586,0.8015506162402866,226.65,405.140291717784,,,,
simu5g_00000522,6,5,12.80,12.50,12.20,12.00,11.80,12,1,164.10918866035712,0.437000547684671,0.8224560924751348,226.65,414.972602044862,,,,
simu5g_00000524,1,0,14.76,14.86,14.96,14.96,14.96,15,3,93.54451101658535,9.99033013861111,0.06445432520222401,226.65,286.029348333946,,,,
simu5g_00000524,2,1,10.00,9.60,9.20,8.80,8.80,9,0,95.7639230828065,9.71431053848925,0.2231112845541522,226.65,301.36601189295,,,,
simu5g_00000524,3,2,14.82,14.82,14.92,14.92,14.92,15,4,132.34008396950756,5.62091747666727,0.7088297199422661,226.65,373.806584657242,,,,
simu5g_00000524,4,3,12.32,12.22,12.12,12.02,12.32,12,2,143.4055112716188,5.88927581639445,0.7591195171026647,226.65,388.861922466372,,,,
simu5g_00000524,5,4,12.80,12.70,12.60,12.50,12.40,12,4,155.73869528070054,4.79477073667511,0.8004485617362509,226.65,404.660814644117,,,,
simu5g_00000524,6,5,12.80,12.50,12.20,12.00,11.80,12,1,164.06841042828543,0.49583992106156,0.8223582937175531,226.65,414.923018052756,,,,
simu5g_00000526,1,0,14.72,14.82,14.92,14.92,14.92,15,3,93.48491698572347,10.0867070760736,0.05370575049133039,226.65,285.020677626338,,,,
simu5g_00000526,2,1,10.00,9.60,9.20,8.80,8.80,9,0,95.55204282445865,9.70659777157095,0.21344757802051265,226.65,300.395352115793,,,,
simu5g_00000526,3,2,14.82,14.82,14.92,14.92,14.92,15,4,131.93791423035265,5.68230363228539,0.706683555200263,226.65,373.238354294013,,,,
simu5g_00000526,4,3,12.32,12.22,12.12,12.02,12.32,12,2,142.95174666275278,5.98450445880598,0.7573427715850419,226.65,388.263472020492,,,,
simu5g_00000526,5,4,12.80,12.70,12.60,12.50,12.40,12,4,155.34926366374816,4.86859158802485,0.7993211718987432,226.65,404.173955485314,,,,
simu5g_00000526,6,5,12.80,12.50,12.20,12.00,11.80,12,1,164.0255739073755,0.520931072960936,0.8222554674408332,226.65,414.87092494546,,,,
simu5g_00000528,1,0,14.72,14.82,14.92,14.92,14.92,15,3,93.43603282618359,10.1197081544969,0.04290322148357123,226.65,284.008706810888,,,,
simu5g_00000528,2,1,9.80,9.40,9.00,8.60,8.40,8,0,95.34781454284193,9.79295922626712,0.20363399293690096,226.65,299.416056193166,,,,
simu5g_00000528,3,2,14.82,14.82,14.92,14.92,14.92,15,4,131.53628142915784,5.69207151014678,0.7045139647870254,226.65,372.669147142998,,,,
simu5g_00000528,4,3,12.60,12.40,12.30,12.20,12.20,12,2,142.49355824657655,6.05719667164094,0.7555271527926388,226.65,387.657752353328,,,,
simu5g_00000528,5,4,12.40,12.20,12.00,11.90,11.80,12,4,154.9551770840481,4.93381403736478,0.7981700025065529,226.65,403.680574081578,,,,
simu5g_00000528,6,5,12.40,12.00,11.70,11.40,11.20,11,1,163.97865267868738,0.57067963628828,0.822142728822122,226.65,414.813856981831,,,,
simu5g_00000530,1,0,14.72,14.82,14.92,14.92,14.92,15,3,93.39807148751409,10.1249961064449,0.03207996859597401,226.65,282.996207200244,,,,
simu5g_00000530,2,1,9.80,9.40,9.00,8.60,8.40,8,0,95.1521851567806,9.84674256092698,0.19370424238501663,226.65,298.431381937073,,,,
simu5g_00000530,3,2,14.82,14.82,14.92,14.92,14.92,15,4,131.1322504638045,5.74388270943117,0.7023044182214756,226.65,372.094758872055,,,,
simu5g_00000530,4,3,12.60,12.40,12.30,12.20,12.20,12,2,142.03069859942005,6.13383773568735,0.7536706475102567,226.65,387.044368579759,,,,
simu5g_00000530,5,4,12.40,12.20,12.00,11.90,11.80,12,4,154.55613077729473,5.00319735159805,0.7969936470777254,226.65,403.180254346418,,,,
