scenario_id,timestamp_s,serving_gnb,ue_id,trajectory_step,x_m,y_m,speed_mps,angle_deg,distance_m,direction_to_gnb,lane_id,lane_position_m,slope_deg,vehicle_type,user_index
sumo_coupled_00000306,16.2,gnb_2,0,160,226.65,363.616636633599,6.23032155625999,180.0,125.32343923590403,0.6672066865018143,,,,SUMO/TraCI,0
sumo_coupled_00000306,16.2,gnb_2,1,106,226.65,378.21847108877,6.53242044215145,180.0,135.5031016730449,0.7248429731576264,,,,SUMO/TraCI,1
sumo_coupled_00000306,16.2,gnb_2,2,64,226.65,393.831760911949,6.62081589538727,180.0,147.21376393637627,0.7732412912229152,,,,SUMO/TraCI,2
sumo_coupled_00000306,16.2,gnb_2,3,26,226.65,413.264148081388,1.20454746949829,180.0,162.70696255495062,0.8190439179047486,,,,SUMO/TraCI,3
sumo_coupled_00000308,16.3,gnb_2,0,161,226.65,362.98962223289,6.27014400708919,180.0,124.90596422252136,0.6644168094731093,,,,SUMO/TraCI,0
sumo_coupled_00000308,16.3,gnb_2,1,107,226.65,377.563088280885,6.55382807885441,180.0,135.02880690765122,0.7225353649729738,,,,SUMO/TraCI,1
sumo_coupled_00000308,16.3,gnb_2,2,65,226.65,393.156951428578,6.74809483371099,180.0,146.69259748402288,0.771388286589598,,,,SUMO/TraCI,2
sumo_coupled_00000308,16.3,gnb_2,3,27,226.65,413.140083279961,1.24064801427646,180.0,162.60536361324293,0.818792691221643,,,,SUMO/TraCI,3
sumo_coupled_00000310,16.4,gnb_2,0,162,226.65,362.360858292114,6.2876394077657,180.0,124.48908979751472,0.661590974968782,,,,SUMO/TraCI,0
sumo_coupled_00000310,16.4,gnb_2,1,108,226.65,376.908930350499,6.54157930386035,180.0,134.55691465576143,0.7202077321587099,,,,SUMO/TraCI,1
sumo_coupled_00000310,16.4,gnb_2,2,66,226.65,392.469302536549,6.8764889202838,180.0,146.1628082415557,0.7694796226867562,,,,SUMO/TraCI,2
sumo_coupled_00000310,16.4,gnb_2,3,28,226.65,413.012983645564,1.27099634396604,180.0,162.50131174330588,0.8185348303875668,,,,SUMO/TraCI,3
sumo_coupled_00000528,27.3,gnb_2,1,217,226.65,288.025225735426,9.9480459887712,180.0,93.6943261254626,0.08565327344026889,,,,SUMO/TraCI,1
sumo_coupled_00000528,27.3,gnb_2,2,175,226.65,303.305061482139,9.61620333701553,180.0,96.21511518823993,0.2422182984091831,,,,SUMO/TraCI,2
sumo_coupled_00000528,27.3,gnb_2,3,137,226.65,374.928053879575,5.57640585876181,180.0,133.1373648280733,0.7130083579629217,,,,SUMO/TraCI,3
sumo_coupled_00000528,27.3,gnb_2,4,84,226.65,390.030192593538,5.74965488063355,180.0,144.2943719698418,0.7625397379776866,,,,SUMO/TraCI,5
sumo_coupled_00000528,27.3,gnb_2,5,44,226.65,405.608821463519,4.56802944807393,180.0,156.498557595443,0.8026196751808051,,,,SUMO/TraCI,6
sumo_coupled_00000528,27.3,gnb_2,6,5,226.65,415.016302099631,0.373850530690201,180.0,164.14513191885655,0.8225422254153409,,,,SUMO/TraCI,7
sumo_coupled_00000530,27.4,gnb_2,1,218,226.65,287.028381347807,9.96844387619504,180.0,93.61421176493556,0.0750781448168917,,,,SUMO/TraCI,1
sumo_coupled_00000530,27.4,gnb_2,2,176,226.65,302.337442946799,9.67618535340618,180.0,95.98533146997774,0.2327172559047285,,,,SUMO/TraCI,2
sumo_coupled_00000530,27.4,gnb_2,3,138,226.65,374.368676404908,5.59377474667149,180.0,132.73910345642025,0.7109335075167983,,,,SUMO/TraCI,3
sumo_coupled_00000530,27.4,gnb_2,4,85,226.65,389.450850048012,5.79342545526053,180.0,143.85308851822546,0.7608515825097849,,,,SUMO/TraCI,5
sumo_coupled_00000530,27.4,gnb_2,5,45,226.65,405.140291717784,4.68529745734586,180.0,156.12275654500877,0.8015506162402866,,,,SUMO/TraCI,6
sumo_coupled_00000530,27.4,gnb_2,6,6,226.65,414.972602044862,0.437000547684671,180.0,164.10918866035712,0.8224560924751348,,,,SUMO/TraCI,7
sumo_coupled_00000532,27.5,gnb_2,1,219,226.65,286.029348333946,9.99033013861111,180.0,93.54451101658535,0.06445432520222401,,,,SUMO/TraCI,1
sumo_coupled_00000532,27.5,gnb_2,2,177,226.65,301.36601189295,9.71431053848925,180.0,95.7639230828065,0.2231112845541522,,,,SUMO/TraCI,2
sumo_coupled_00000532,27.5,gnb_2,3,139,226.65,373.806584657242,5.62091747666727,180.0,132.34008396950756,0.7088297199422661,,,,SUMO/TraCI,3
sumo_coupled_00000532,27.5,gnb_2,4,86,226.65,388.861922466372,5.88927581639445,180.0,143.4055112716188,0.7591195171026647,,,,SUMO/TraCI,5
sumo_coupled_00000532,27.5,gnb_2,5,46,226.65,404.660814644117,4.79477073667511,180.0,155.73869528070054,0.8004485617362509,,,,SUMO/TraCI,6
sumo_coupled_00000532,27.5,gnb_2,6,7,226.65,414.923018052756,0.49583992106156,180.0,164.06841042828543,0.8223582937175531,,,,SUMO/TraCI,7
sumo_coupled_00000534,27.6,gnb_2,1,220,226.65,285.020677626338,10.0867070760736,180.0,93.48491698572347,0.05370575049133039,,,,SUMO/TraCI,1
sumo_coupled_00000534,27.6,gnb_2,2,178,226.65,300.395352115793,9.70659777157095,180.0,95.55204282445865,0.21344757802051265,,,,SUMO/TraCI,2
sumo_coupled_00000534,27.6,gnb_2,3,140,226.65,373.238354294013,5.68230363228539,180.0,131.93791423035265,0.706683555200263,,,,SUMO/TraCI,3
sumo_coupled_00000534,27.6,gnb_2,4,87,226.65,388.263472020492,5.98450445880598,180.0,142.95174666275278,0.7573427715850419,,,,SUMO/TraCI,5
sumo_coupled_00000534,27.6,gnb_2,5,47,226.65,404.173955485314,4.86859158802485,180.0,155.34926366374816,0.7993211718987432,,,,SUMO/TraCI,6
sumo_coupled_00000534,27.6,gnb_2,6,8,226.65,414.87092494546,0.520931072960936,180.0,164.0255739073755,0.8222554674408332,,,,SUMO/TraCI,7
sumo_coupled_00000536,27.7,gnb_2,1,221,226.65,284.008706810888,10.1197081544969,180.0,93.43603282618359,0.04290322148357123,,,,SUMO/TraCI,1
sumo_coupled_00000536,27.7,gnb_2,2,179,226.65,299.416056193166,9.79295922626712,180.0,95.34781454284193,0.20363399293690096,,,,SUMO/TraCI,2
sumo_coupled_00000536,27.7,gnb_2,3,141,226.65,372.669147142998,5.69207151014678,180.0,131.53628142915784,0.7045139647870254,,,,SUMO/TraCI,3
sumo_coupled_00000536,27.7,gnb_2,4,88,226.65,387.657752353328,6.05719667164094,180.0,142.49355824657655,0.7555271527926388,,,,SUMO/TraCI,5
sumo_coupled_00000536,27.7,gnb_2,5,48,226.65,403.680574081578,4.93381403736478,180.0,154.9551770840481,0.7981700025065529,,,,SUMO/TraCI,6
sumo_coupled_00000536,27.7,gnb_2,6,9,226.65,414.813856981831,0.57067963628828,180.0,163.97865267868738,0.822142728822122,,,,SUMO/TraCI,7
sumo_coupled_00000538,27.8,gnb_2,1,222,226.65,282.996207200244,10.1249961064449,180.0,93.39807148751409,0.03207996859597401,,,,SUMO/TraCI,1
sumo_coupled_00000538,27.8,gnb_2,2,180,226.65,298.431381937073,9.84674256092698,180.0,95.1521851567806,0.19370424238501663,,,,SUMO/TraCI,2
sumo_coupled_00000538,27.8,gnb_2,3,142,226.65,372.094758872055,5.74388270943117,180.0,131.1322504638045,0.7023044182214756,,,,SUMO/TraCI,3
sumo_coupled_00000538,27.8,gnb_2,4,89,226.65,387.044368579759,6.13383773568735,180.0,142.03069859942005,0.7536706475102567,,,,SUMO/TraCI,5
sumo_coupled_00000538,27.8,gnb_2,5,49,226.65,403.180254346418,5.00319735159805,180.0,154.55613077729473,0.7969936470777254,,,,SUMO/TraCI,6
sumo_coupled_00000538,27.8,gnb_2,6,10,226.65,414.753410560827,0.604464210039743,180.0,163.92896070485776,0.8220232104285755,,,,SUMO/TraCI,7
sumo_coupled_00000540,27.9,gnb_2,1,223,226.65,281.977624721886,10.1858247835824,180.0,93.37094569265437,0.02118030086570693,,,,SUMO/TraCI,1
sumo_coupled_00000540,27.9,gnb_2,2,181,226.65,297.448103157178,9.83278779895162,180.0,94.96661941852793,0.1837288013831722,,,,SUMO/TraCI,2
sumo_coupled_00000540,27.9,gnb_2,3,143,226.65,371.51830790987,5.76450962185342,180.0,130.72805048147,0.7000663405658467,,,,SUMO/TraCI,3
sumo_coupled_00000540,27.9,gnb_2,4,90,226.65,386.427359558336,6.17009021423009,180.0,141.5662578532022,0.7517847908976752,,,,SUMO/TraCI,5
sumo_coupled_00000540,27.9,gnb_2,5,50,226.65,402.670333341842,5.099210045762,180.0,154.15003464871046,0.795785311507669,,,,SUMO/TraCI,6
sumo_coupled_00000540,27.9,gnb_2,6,11,226.65,414.689387892087,0.640226687401121,180.0,163.87633664060553,0.821896502284354,,,,SUMO/TraCI,7
sumo_coupled_00000542,28,gnb_2,1,224,226.65,280.957723169102,10.199015527834,180.0,93.35491274522532,0.010258947718324328,,,,SUMO/TraCI,1
sumo_coupled_00000542,28,gnb_2,2,182,226.65,296.453694811595,9.94408345583181,180.0,94.78895807504747,0.17358239974078105,,,,SUMO/TraCI,2
sumo_coupled_00000542,28,gnb_2,3,144,226.65,370.939305140259,5.79002769610909,180.0,130.32336597630197,0.6977973938825018,,,,SUMO/TraCI,3
sumo_coupled_00000542,28,gnb_2,4,91,226.65,385.805516136313,6.21843422022365,180.0,141.09936124898505,0.7498653090966707,,,,SUMO/TraCI,5
sumo_coupled_00000542,28,gnb_2,5,51,226.65,402.152002826844,5.18330514997883,180.0,153.73787527674924,0.7945472292169622,,,,SUMO/TraCI,6
sumo_coupled_00000542,28,gnb_2,6,12,226.65,414.623532996704,0.658548953825428,180.0,163.8222150274945,0.8217660405465153,,,,SUMO/TraCI,7
sumo_coupled_00000544,28.1,gnb_2,1,225,226.65,279.934802476868,10.2292069223387,180.0,93.35002276762991,-0.0006984200024704563,,,,SUMO/TraCI,1
sumo_coupled_00000544,28.1,gnb_2,2,183,226.65,295.459677327417,9.94017484177911,180.0,94.62147812768437,0.16338444117894008,,,,SUMO/TraCI,2
sumo_coupled_00000544,28.1,gnb_2,3,145,226.65,370.356137000533,5.83168139725452,180.0,129.91710431524822,0.6954906936755673,,,,SUMO/TraCI,3
sumo_coupled_00000544,28.1,gnb_2,4,92,226.65,385.174886484301,6.30629652012788,180.0,140.62709286259744,0.747899173220229,,,,SUMO/TraCI,5
sumo_coupled_00000544,28.1,gnb_2,5,52,226.65,401.625828750176,5.26174076667578,180.0,153.32013800922286,0.7932801935180865,,,,SUMO/TraCI,6
sumo_coupled_00000544,28.1,gnb_2,6,13,226.65,414.550820099436,0.727128972679662,180.0,163.7624672793824,0.8216218425061301,,,,SUMO/TraCI,7
sumo_coupled_00000546,28.2,gnb_2,1,226,226.65,278.914699200064,10.2010327680396,180.0,93.35630872001282,-0.01162536110110109,,,,SUMO/TraCI,1
sumo_coupled_00000546,28.2,gnb_2,2,184,226.65,294.462458325717,9.97219001699818,180.0,94.46367132831065,0.15310074362293646,,,,SUMO/TraCI,2
sumo_coupled_00000546,28.2,gnb_2,3,146,226.65,369.771245018099,5.84891982434289,180.0,129.51099927071664,0.6931553730849558,,,,SUMO/TraCI,3
sumo_coupled_00000546,28.2,gnb_2,4,93,226.65,384.540963934625,6.33922549675635,180.0,140.15361443923078,0.7459027321764357,,,,SUMO/TraCI,5
sumo_coupled_00000546,28.2,gnb_2,5,53,226.65,401.087350179254,5.38478570922218,180.0,152.89332514349107,0.7919727696785517,,,,SUMO/TraCI,6
sumo_coupled_00000546,28.2,gnb_2,6,14,226.65,414.475134357849,0.756857415874542,180.0,163.7002879061657,0.8214715812529984,,,,SUMO/TraCI,7
sumo_coupled_00000604,31.1,gnb_2,3,175,226.65,351.018696120737,6.9870516559877,180.0,117.29397980582628,0.6054760545963614,,,,SUMO/TraCI,3
sumo_coupled_00000604,31.1,gnb_2,31,294,301.348835697108,226.65,13.8849714410584,90.0,56.51626694902516,0.3300140881511945,,,,SUMO/TraCI,4
sumo_coupled_00000604,31.1,gnb_2,4,122,226.65,365.407300267258,6.90013353562262,180.0,126.52521266111971,0.6750219855074232,,,,SUMO/TraCI,5
sumo_coupled_00000604,31.1,gnb_2,5,82,226.65,381.606113411698,7.99762485642159,180.0,137.97834896327336,0.7363917177958347,,,,SUMO/TraCI,6
sumo_coupled_00000604,31.1,gnb_2,6,43,226.65,410.574299502931,1.85908635781245,180.0,160.51127745638664,0.8134898779209457,,,,SUMO/TraCI,7
sumo_coupled_00000606,31.2,gnb_2,3,176,226.65,350.317674184353,7.01021936383652,180.0,116.87085951038789,0.6016698643180846,,,,SUMO/TraCI,3
sumo_coupled_00000606,31.2,gnb_2,31,295,302.736964758948,226.65,13.8812906184001,90.0,56.07347756055267,0.30786453760443167,,,,SUMO/TraCI,4
sumo_coupled_00000606,31.2,gnb_2,4,123,226.65,364.71772773609,6.89572531168562,180.0,126.06076270103348,0.6720388320750298,,,,SUMO/TraCI,5
sumo_coupled_00000606,31.2,gnb_2,5,83,226.65,380.793420870013,8.12692541684779,180.0,137.38098918947836,0.733678083588384,,,,SUMO/TraCI,6
sumo_coupled_00000606,31.2,gnb_2,6,44,226.65,410.385371884428,1.88927618502784,180.0,160.35762439447834,0.8130911914963342,,,,SUMO/TraCI,7
