timestamp_s,ue_id,demand_class,serving_gnb,active_ues_same_gnb,raw_feedback_timestamp_s,achievable_kbps_if_all_budget_assigned,effective_capacity_kbps,ewma_capacity_kbps,buffer_s,previous_quality,next_quality,stalled
16.2,0,conservative,gnb_2,4,16.296,8120.000000,2030.000000,2027.388385,12.000000,2,2,0
16.3,0,conservative,gnb_2,4,16.398,8120.000000,2030.000000,2027.962940,12.000000,2,2,0
16.4,0,conservative,gnb_2,4,16.494,8120.000000,2030.000000,2028.411094,12.000000,2,2,0
16.2,1,balanced,gnb_2,4,16.296,8120.000000,2030.000000,2030.006012,9.420788,2,2,0
16.3,1,balanced,gnb_2,4,16.398,8120.000000,2030.000000,2030.003908,9.456121,2,2,0
16.4,1,balanced,gnb_2,4,16.494,8120.000000,2030.000000,2030.002540,9.491455,2,2,0
27.3,1,balanced,gnb_2,6,27.396,8120.000000,1353.333333,1316.765569,12.000000,1,1,0
27.4,1,balanced,gnb_2,6,27.498,8120.000000,1353.333333,1329.564287,12.000000,1,1,0
27.5,1,balanced,gnb_2,6,27.594,8120.000000,1353.333333,1337.883453,12.000000,1,1,0
27.6,1,balanced,gnb_2,6,27.696,8120.000000,1353.333333,1343.290911,12.000000,1,1,0
27.7,1,balanced,gnb_2,6,27.798,8120.000000,1353.333333,1346.805759,12.000000,1,1,0
27.8,1,balanced,gnb_2,6,27.894,8120.000000,1353.333333,1349.090410,12.000000,1,1,0
27.9,1,balanced,gnb_2,6,27.996,8056.000000,1342.666667,1346.842100,12.000000,1,1,0
28.0,1,balanced,gnb_2,6,28.098,8056.000000,1342.666667,1345.380698,12.000000,1,1,0
28.1,1,balanced,gnb_2,6,28.194,8056.000000,1342.666667,1344.430787,12.000000,1,1,0
28.2,1,balanced,gnb_2,6,28.296,8120.000000,1353.333333,1347.546678,12.000000,1,1,0
16.2,2,aggressive,gnb_2,4,16.296,8120.000000,2030.000000,1944.852485,6.023818,2,2,0
16.3,2,aggressive,gnb_2,4,16.398,8120.000000,2030.000000,1984.020342,6.059152,2,2,0
16.4,2,aggressive,gnb_2,4,16.494,8120.000000,2030.000000,2005.170985,6.094485,2,2,0
