timestamp_s,ue_id,serving_gnb,rb_index,rate_kbps,sinr_db,cqi
16.2,0,gnb_2,0,1160.000000,,15
16.2,0,gnb_2,1,608.000000,,9
16.2,0,gnb_2,2,1160.000000,,15
16.2,0,gnb_2,3,984.000000,,13
16.2,0,gnb_2,4,1160.000000,,15
16.2,0,gnb_2,5,984.000000,,13
16.2,0,gnb_2,6,1128.000000,,14
16.2,0,gnb_2,7,1160.000000,,15
16.2,0,gnb_2,8,888.000000,,12
16.2,0,gnb_2,9,1128.000000,,14
16.2,0,gnb_2,10,1160.000000,,15
16.2,0,gnb_2,11,1160.000000,,15
16.2,0,gnb_2,12,1160.000000,,15
16.2,0,gnb_2,13,1128.000000,,14
16.2,0,gnb_2,14,1160.000000,,15
16.2,0,gnb_2,15,1160.000000,,15
16.2,0,gnb_2,16,1128.000000,,14
16.2,0,gnb_2,17,1160.000000,,15
16.2,0,gnb_2,18,1160.000000,,15
16.2,0,gnb_2,19,1128.000000,,14
16.2,0,gnb_2,20,1160.000000,,15
16.2,0,gnb_2,21,984.000000,,13
16.2,0,gnb_2,22,1160.000000,,15
16.2,0,gnb_2,23,1160.000000,,15
16.2,0,gnb_2,24,1128.000000,,14
16.2,1,gnb_2,0,1160.000000,,15
16.2,1,gnb_2,1,1160.000000,,15
16.2,1,gnb_2,2,1160.000000,,15
16.2,1,gnb_2,3,1160.000000,,15
16.2,1,gnb_2,4,1160.000000,,15
16.2,1,gnb_2,5,1160.000000,,15
16.2,1,gnb_2,6,1160.000000,,15
16.2,1,gnb_2,7,1160.000000,,15
16.2,1,gnb_2,8,1160.000000,,15
16.2,1,gnb_2,9,1160.000000,,15
16.2,1,gnb_2,10,1160.000000,,15
16.2,1,gnb_2,11,1160.000000,,15
16.2,1,gnb_2,12,1160.000000,,15
16.2,1,gnb_2,13,1160.000000,,15
16.2,1,gnb_2,14,1160.000000,,15
16.2,1,gnb_2,15,1160.000000,,15
16.2,1,gnb_2,16,1160.000000,,15
16.2,1,gnb_2,17,1160.000000,,15
