timestamp_s,ue_id,serving_gnb,wideband_cqi,previous_quality,total_rbs,rb_available,wideband_sinr_db,rsrp_dbm,rsrq_db,mcs
16.2,0,gnb_2,14.160000,2,25,7,,,,
16.2,1,gnb_2,15.000000,2,25,7,,,,
16.2,2,gnb_2,14.240000,2,25,7,,,,
16.2,3,gnb_2,7.960000,1,25,7,,,,
16.3,0,gnb_2,14.160000,2,25,7,,,,
16.3,1,gnb_2,15.000000,2,25,7,,,,
16.3,2,gnb_2,14.240000,2,25,7,,,,
16.3,3,gnb_2,7.960000,1,25,7,,,,
16.4,0,gnb_2,14.160000,2,25,7,,,,
16.4,1,gnb_2,15.000000,2,25,7,,,,
16.4,2,gnb_2,14.240000,2,25,7,,,,
16.4,3,gnb_2,7.960000,1,25,7,,,,
27.3,1,gnb_2,14.960000,1,25,7,,,,
27.3,2,gnb_2,8.800000,1,25,7,,,,
27.3,3,gnb_2,14.920000,1,25,7,,,,
27.3,4,gnb_2,13.400000,1,25,7,,,,
27.3,5,gnb_2,14.840000,1,25,7,,,,
27.3,6,gnb_2,14.080000,1,25,7,,,,
27.4,1,gnb_2,14.960000,1,25,7,,,,
27.4,2,gnb_2,8.800000,1,25,7,,,,
27.4,3,gnb_2,14.920000,1,25,7,,,,
27.4,4,gnb_2,12.720000,1,25,7,,,,
27.4,5,gnb_2,14.840000,1,25,7,,,,
27.4,6,gnb_2,14.080000,1,25,7,,,,
27.5,1,gnb_2,14.960000,1,25,7,,,,
27.5,2,gnb_2,8.800000,1,25,7,,,,
27.5,3,gnb_2,14.920000,1,25,7,,,,
27.5,4,gnb_2,12.720000,1,25,7,,,,
27.5,5,gnb_2,14.920000,1,25,7,,,,
27.5,6,gnb_2,14.080000,1,25,7,,,,
27.6,1,gnb_2,14.920000,1,25,7,,,,
27.6,2,gnb_2,8.800000,1,25,7,,,,
27.6,3,gnb_2,14.920000,1,25,7,,,,
27.6,4,gnb_2,12.720000,1,25,7,,,,
27.6,5,gnb_2,14.920000,1,25,7,,,,
27.6,6,gnb_2,14.080000,1,25,7,,,,
27.7,1,gnb_2,14.920000,1,25,7,,,,
27.7,2,gnb_2,13.600000,1,25,7,,,,
27.7,3,gnb_2,14.920000,1,25,7,,,,
27.7,4,gnb_2,12.760000,1,25,7,,,,
27.7,5,gnb_2,14.920000,1,25,7,,,,
27.7,6,gnb_2,14.080000,1,25,7,,,,
27.8,1,gnb_2,14.920000,1,25,7,,,,
27.8,2,gnb_2,13.600000,1,25,7,,,,
27.8,3,gnb_2,14.920000,1,25,7,,,,
27.8,4,gnb_2,12.800000,1,25,7,,,,
27.8,5,gnb_2,14.920000,1,25,7,,,,
27.8,6,gnb_2,14.080000,1,25,7,,,,
27.9,1,gnb_2,13.600000,1,25,7,,,,
27.9,2,gnb_2,13.600000,1,25,7,,,,
27.9,3,gnb_2,14.920000,1,25,7,,,,
27.9,4,gnb_2,14.000000,1,25,7,,,,
27.9,5,gnb_2,14.920000,1,25,7,,,,
27.9,6,gnb_2,14.080000,1,25,7,,,,
28.0,1,gnb_2,13.600000,1,25,7,,,,
28.0,2,gnb_2,15.000000,1,25,7,,,,
28.0,3,gnb_2,14.920000,1,25,7,,,,
28.0,4,gnb_2,14.000000,1,25,7,,,,
28.0,5,gnb_2,14.920000,1,25,7,,,,
28.0,6,gnb_2,14.080000,1,25,7,,,,
28.1,1,gnb_2,13.600000,1,25,7,,,,
28.1,2,gnb_2,15.000000,1,25,7,,,,
28.1,3,gnb_2,14.920000,1,25,7,,,,
28.1,4,gnb_2,14.000000,1,25,7,,,,
28.1,5,gnb_2,14.920000,1,25,7,,,,
28.1,6,gnb_2,14.080000,1,25,7,,,,
28.2,1,gnb_2,14.400000,1,25,7,,,,
28.2,2,gnb_2,15.000000,1,25,7,,,,
28.2,3,gnb_2,14.600000,1,25,7,,,,
28.2,4,gnb_2,14.000000,1,25,7,,,,
28.2,5,gnb_2,14.920000,1,25,7,,,,
28.2,6,gnb_2,14.080000,1,25,7,,,,
31.1,3,gnb_2,14.480000,1,25,7,,,,
31.1,31,gnb_2,13.920000,2,25,7,,,,
31.1,4,gnb_2,9.000000,1,25,7,,,,
31.1,5,gnb_2,11.720000,1,25,7,,,,
31.1,6,gnb_2,13.000000,1,25,7,,,,
31.2,3,gnb_2,14.480000,1,25,7,,,,
31.2,31,gnb_2,13.520000,2,25,7,,,,
31.2,4,gnb_2,9.040000,1,25,7,,,,
31.2,5,gnb_2,11.720000,1,25,7,,,,
31.2,6,gnb_2,13.000000,1,25,7,,,,
