scenario_id,timestamp_s,serving_gnb,user_count,ue_ids
simu5g_00000015,2.1,gnb_1,2,15|31
simu5g_00000021,2.4,gnb_1,2,15|31
simu5g_00000029,2.8,gnb_1,2,15|31
simu5g_00000035,3.1,gnb_1,2,15|31
simu5g_00000041,3.4,gnb_1,2,15|31
simu5g_00000049,3.8,gnb_1,2,15|31
simu5g_00000055,4.1,gnb_1,2,15|31
simu5g_00000061,4.4,gnb_1,2,15|31
simu5g_00000069,4.8,gnb_1,2,15|31
simu5g_00000075,5.1,gnb_1,2,15|31
simu5g_00000081,5.4,gnb_1,2,15|31
simu5g_00000089,5.8,gnb_1,2,15|31
simu5g_00000095,6.1,gnb_1,2,15|31
simu5g_00000103,6.5,gnb_1,2,15|31
simu5g_00000109,6.8,gnb_1,2,15|31
simu5g_00000115,7.1,gnb_1,2,15|31
simu5g_00000123,7.5,gnb_1,2,15|31
simu5g_00000129,7.8,gnb_1,2,15|31
simu5g_00000135,8.1,gnb_1,2,15|31
simu5g_00000143,8.5,gnb_1,2,15|31
simu5g_00000149,8.8,gnb_1,2,15|31
simu5g_00000155,9.1,gnb_1,2,15|31
simu5g_00000163,9.5,gnb_1,2,15|31
simu5g_00000169,9.8,gnb_1,2,15|31
simu5g_00000175,10.1,gnb_1,2,15|31
simu5g_00000183,10.5,gnb_1,2,15|31
simu5g_00000189,10.8,gnb_1,2,15|31
simu5g_00000195,11.1,gnb_1,2,15|31
simu5g_00000203,11.5,gnb_1,2,15|31
simu5g_00000209,11.8,gnb_1,2,15|31
simu5g_00000215,12.1,gnb_1,2,15|31
simu5g_00000223,12.5,gnb_1,2,15|31
simu5g_00000229,12.8,gnb_1,2,15|31
simu5g_00000237,13.2,gnb_1,2,15|31
simu5g_00000243,13.5,gnb_1,2,15|31
simu5g_00000249,13.8,gnb_1,2,15|31
simu5g_00000257,14.2,gnb_1,2,15|31
simu5g_00000263,14.5,gnb_1,2,15|31
simu5g_00000269,14.8,gnb_1,2,15|31
simu5g_00000277,15.2,gnb_1,2,15|31
simu5g_00000283,15.5,gnb_1,2,15|31
simu5g_00000289,15.8,gnb_1,2,15|31
simu5g_00000297,16.2,gnb_1,2,15|31
simu5g_00000303,16.5,gnb_1,2,15|31
simu5g_00000309,16.8,gnb_1,2,15|31
simu5g_00000317,17.2,gnb_1,2,15|31
simu5g_00000323,17.5,gnb_1,2,15|31
simu5g_00000329,17.8,gnb_1,2,15|31
simu5g_00000337,18.2,gnb_1,2,15|31
simu5g_00000343,18.5,gnb_1,2,15|31
