split,scenario_id,timestamp_s,serving_gnb,ue_ids,teacher_group_count,teacher_groups,hard_group_signature,teacher_gain_vs_single
focus_train,simu5g_00000076,5.1,gnb_2,0|1,1,"[[""0"", ""1""]]",0|1,0.0
focus_train,simu5g_00000078,5.2,gnb_2,0|1,1,"[[""0"", ""1""]]",0|1,0.0
focus_train,simu5g_00000080,5.3,gnb_2,0|1,1,"[[""0"", ""1""]]",0|1,0.0
focus_train,simu5g_00000082,5.4,gnb_2,0|1,1,"[[""0"", ""1""]]",0|1,0.0
focus_train,simu5g_00000084,5.5,gnb_2,0|1,1,"[[""0"", ""1""]]",0|1,0.0
focus_train,simu5g_00000086,5.6,gnb_2,0|1,1,"[[""0"", ""1""]]",0|1,0.0
focus_train,simu5g_00000088,5.7,gnb_2,0|1,1,"[[""0"", ""1""]]",0|1,0.0
focus_train,simu5g_00000090,5.8,gnb_2,0|1,1,"[[""0"", ""1""]]",0|1,0.0
focus_train,simu5g_00000092,5.9,gnb_2,0|1,1,"[[""0"", ""1""]]",0|1,0.0
focus_train,simu5g_00000094,6.0,gnb_2,0|1,1,"[[""0"", ""1""]]",0|1,0.0
focus_train,simu5g_00000096,6.1,gnb_2,0|1,1,"[[""0"", ""1""]]",0|1,0.0
focus_train,simu5g_00000098,6.2,gnb_2,0|1,1,"[[""0"", ""1""]]",0|1,0.0
focus_train,simu5g_00000100,6.3,gnb_2,0|1,1,"[[""0"", ""1""]]",0|1,0.0
focus_train,simu5g_00000102,6.4,gnb_2,0|1,1,"[[""0"", ""1""]]",0|1,0.0
focus_train,simu5g_00000104,6.5,gnb_2,0|1,1,"[[""0"", ""1""]]",0|1,0.0
focus_train,simu5g_00000106,6.6,gnb_2,0|1,1,"[[""0"", ""1""]]",0|1,0.0
focus_train,simu5g_00000108,6.7,gnb_2,0|1,1,"[[""0"", ""1""]]",0|1,0.0
focus_train,simu5g_00000110,6.8,gnb_2,0|1,1,"[[""0"", ""1""]]",0|1,0.0
focus_train,simu5g_00000112,6.9,gnb_2,0|1,1,"[[""0"", ""1""]]",0|1,0.0
focus_train,simu5g_00000114,7.0,gnb_2,0|1,1,"[[""0"", ""1""]]",0|1,0.0
focus_train,simu5g_00000116,7.1,gnb_2,0|1,1,"[[""0"", ""1""]]",0|1,0.0
focus_train,simu5g_00000118,7.2,gnb_2,0|1,1,"[[""0"", ""1""]]",0|1,0.0
focus_train,simu5g_00000120,7.3,gnb_2,0|1,1,"[[""0"", ""1""]]",0|1,0.0
focus_train,simu5g_00000122,7.4,gnb_2,0|1,1,"[[""0"", ""1""]]",0|1,0.0
focus_train,simu5g_00000124,7.5,gnb_2,0|1,1,"[[""0"", ""1""]]",0|1,0.0
focus_train,simu5g_00000126,7.6,gnb_2,0|1,1,"[[""0"", ""1""]]",0|1,0.0
