scenario_id,timestamp_s,serving_gnb,user_count,ue_ids
simu5g_00000015,2.1,gnb_1,2,15|31
simu5g_00000025,2.6,gnb_1,2,15|31
simu5g_00000035,3.1,gnb_1,2,15|31
simu5g_00000043,3.5,gnb_1,2,15|31
simu5g_00000053,4.0,gnb_1,2,15|31
simu5g_00000063,4.5,gnb_1,2,15|31
simu5g_00000073,5.0,gnb_1,2,15|31
simu5g_00000079,5.3,gnb_1,2,15|31
simu5g_00000084,5.5,gnb_2,2,0|1
simu5g_00000088,5.7,gnb_2,2,0|1
simu5g_00000093,6.0,gnb_1,2,15|31
simu5g_00000098,6.2,gnb_2,2,0|1
simu5g_00000103,6.5,gnb_1,2,15|31
simu5g_00000108,6.7,gnb_2,2,0|1
simu5g_00000113,7.0,gnb_1,2,15|31
simu5g_00000117,7.2,gnb_1,2,15|31
simu5g_00000122,7.4,gnb_2,2,0|1
simu5g_00000127,7.7,gnb_1,2,15|31
simu5g_00000132,7.9,gnb_2,2,0|1
simu5g_00000137,8.2,gnb_1,2,15|31
simu5g_00000142,8.4,gnb_2,2,0|1
simu5g_00000146,8.6,gnb_2,3,0|1|2
simu5g_00000151,8.9,gnb_1,2,15|31
simu5g_00000156,9.1,gnb_2,3,0|1|2
simu5g_00000161,9.4,gnb_1,2,15|31
simu5g_00000166,9.6,gnb_2,3,0|1|2
simu5g_00000171,9.9,gnb_1,2,15|31
simu5g_00000175,10.1,gnb_1,2,15|31
simu5g_00000180,10.3,gnb_2,3,0|1|2
simu5g_00000185,10.6,gnb_1,2,15|31
simu5g_00000190,10.8,gnb_2,3,0|1|2
simu5g_00000195,11.1,gnb_1,2,15|31
simu5g_00000200,11.3,gnb_2,3,0|1|2
simu5g_00000204,11.5,gnb_2,3,0|1|2
simu5g_00000209,11.8,gnb_1,2,15|31
simu5g_00000214,12.0,gnb_2,3,0|1|2
simu5g_00000219,12.3,gnb_1,2,15|31
simu5g_00000224,12.5,gnb_2,3,0|1|2
simu5g_00000229,12.8,gnb_1,2,15|31
simu5g_00000233,13.0,gnb_1,2,15|31
simu5g_00000238,13.2,gnb_2,3,0|1|2
simu5g_00000243,13.5,gnb_1,2,15|31
simu5g_00000248,13.7,gnb_2,3,0|1|2
simu5g_00000253,14.0,gnb_1,2,15|31
simu5g_00000258,14.2,gnb_2,3,0|1|2
simu5g_00000262,14.4,gnb_2,3,0|1|2
simu5g_00000267,14.7,gnb_1,2,15|31
simu5g_00000272,14.9,gnb_2,3,0|1|2
simu5g_00000277,15.2,gnb_1,2,15|31
simu5g_00000282,15.4,gnb_2,3,0|1|2
simu5g_00000287,15.7,gnb_1,2,15|31
simu5g_00000291,15.9,gnb_1,2,15|31
simu5g_00000296,16.1,gnb_2,2,0|2
simu5g_00000301,16.4,gnb_1,3,1|15|31
simu5g_00000306,16.6,gnb_2,2,0|2
simu5g_00000311,16.9,gnb_1,3,1|15|31
simu5g_00000316,17.1,gnb_2,3,0|1|2
simu5g_00000320,17.3,gnb_2,3,0|1|2
simu5g_00000325,17.6,gnb_1,2,15|31
simu5g_00000330,17.8,gnb_2,3,0|1|2
simu5g_00000335,18.1,gnb_1,2,15|31
simu5g_00000340,18.3,gnb_2,3,0|1|2
simu5g_00000345,18.6,gnb_1,2,15|31
simu5g_00000349,18.8,gnb_1,2,15|31
simu5g_00000354,19.0,gnb_2,3,0|1|2
simu5g_00000359,19.3,gnb_1,2,15|31
simu5g_00000364,19.5,gnb_2,3,0|1|2
simu5g_00000369,19.8,gnb_1,2,15|31
simu5g_00000374,20.0,gnb_2,3,0|1|2
simu5g_00000378,20.2,gnb_2,3,0|1|2
simu5g_00000383,20.5,gnb_1,2,15|31
simu5g_00000388,20.7,gnb_2,3,0|1|2
simu5g_00000393,21.0,gnb_1,3,1|15|31
simu5g_00000398,21.2,gnb_2,2,0|2
simu5g_00000403,21.5,gnb_1,3,1|15|31
simu5g_00000407,21.7,gnb_1,3,1|15|31
simu5g_00000412,21.9,gnb_2,2,0|2
simu5g_00000417,22.2,gnb_1,3,0|15|31
simu5g_00000422,22.4,gnb_2,2,1|2
simu5g_00000427,22.7,gnb_1,3,0|15|31
simu5g_00000432,22.9,gnb_2,2,1|2
simu5g_00000436,23.1,gnb_2,2,1|2
simu5g_00000441,23.4,gnb_1,3,0|15|31
