bundle_root,table,field,present_rows,total_rows,coverage_ratio
p3_5_coupled_bundle,radio_users,wideband_sinr_db,0,67,0.000000
p3_5_coupled_bundle,radio_users,rsrp_dbm,0,67,0.000000
p3_5_coupled_bundle,radio_users,rsrq_db,0,67,0.000000
p3_5_coupled_bundle,radio_users,mcs,0,67,0.000000
p3_5_coupled_bundle,radio_rbs,sinr_db,0,1675,0.000000
p3_5_coupled_bundle,bundle_users,wideband_sinr_db,0,59,0.000000
p3_5_coupled_bundle,bundle_users,rsrp_dbm,0,59,0.000000
p3_5_coupled_bundle,bundle_users,rsrq_db,0,59,0.000000
p3_5_coupled_bundle,bundle_users,mcs,0,59,0.000000
p3_5_coupled_bundle,bundle_rb_rates,sinr_db,0,1475,0.000000
