split,scenario_id,timestamp_s,serving_gnb,ue_ids,teacher_group_count,teacher_groups,hard_group_signature,teacher_gain_vs_single
focus_train,simu5g_00000306,16.6,gnb_2,3|4,1,"[[""3"", ""4""]]",3|4,0.0
focus_train,simu5g_00000308,16.7,gnb_2,3|4,1,"[[""3"", ""4""]]",3|4,0.0
focus_train,simu5g_00000310,16.8,gnb_2,3|4,1,"[[""3"", ""4""]]",3|4,0.0
focus_train,simu5g_00000312,16.9,gnb_2,3|4,1,"[[""3"", ""4""]]",3|4,0.0
focus_train,simu5g_00000314,17.0,gnb_2,3|4,1,"[[""3"", ""4""]]",3|4,0.0
focus_train,simu5g_00000316,17.1,gnb_2,3|4,1,"[[""3"", ""4""]]",3|4,0.0
focus_train,simu5g_00000318,17.2,gnb_2,3|4,1,"[[""3"", ""4""]]",3|4,0.0
focus_train,simu5g_00000320,17.3,gnb_2,3|4,1,"[[""3"", ""4""]]",3|4,0.0
focus_train,simu5g_00000322,17.4,gnb_2,3|4,1,"[[""3"", ""4""]]",3|4,0.0
focus_train,simu5g_00000324,17.5,gnb_2,3|4,1,"[[""3"", ""4""]]",3|4,0.0
focus_train,simu5g_00000326,17.6,gnb_2,3|4,1,"[[""3"", ""4""]]",3|4,0.0
focus_train,simu5g_00000328,17.7,gnb_2,3|4,1,"[[""3"", ""4""]]",3|4,0.0
focus_train,simu5g_00000330,17.8,gnb_2,3|4,1,"[[""3"", ""4""]]",3|4,0.0
focus_train,simu5g_00000332,17.9,gnb_2,3|4,1,"[[""3"", ""4""]]",3|4,0.0
focus_train,simu5g_00000334,18.0,gnb_2,3|4,1,"[[""3"", ""4""]]",3|4,0.0
focus_train,simu5g_00000336,18.1,gnb_2,3|4,1,"[[""3"", ""4""]]",3|4,0.0
focus_train,simu5g_00000338,18.2,gnb_2,3|4,1,"[[""3"", ""4""]]",3|4,0.0
focus_train,simu5g_00000340,18.3,gnb_2,3|4,1,"[[""3"", ""4""]]",3|4,0.0
focus_train,simu5g_00000342,18.4,gnb_2,3|4,1,"[[""4"", ""3""]]",3|4,0.0
focus_train,simu5g_00000344,18.5,gnb_2,3|4,1,"[[""4"", ""3""]]",3|4,0.0
focus_train,simu5g_00000346,18.6,gnb_2,3|4,1,"[[""4"", ""3""]]",3|4,0.0
focus_train,simu5g_00000348,18.7,gnb_2,3|4,1,"[[""4"", ""3""]]",3|4,0.0
