timestamp_s,ue_id,demand_class,serving_gnb,active_ues_same_gnb,raw_feedback_timestamp_s,achievable_kbps_if_all_budget_assigned,effective_capacity_kbps,ewma_capacity_kbps,buffer_s,previous_quality,next_quality,stalled
0.2,0,conservative,gnb_2,1,0.294,8120.000000,8120.000000,3897.600000,7.160000,0,1,0
0.3,0,conservative,gnb_2,1,0.396,8120.000000,8120.000000,4826.528000,8.536364,1,2,0
0.4,0,conservative,gnb_2,1,0.498,8120.000000,8120.000000,5551.091840,8.977697,2,3,0
0.5,0,conservative,gnb_2,1,0.594,8120.000000,8120.000000,6116.251635,9.148364,3,4,0
0.6,0,conservative,gnb_2,1,0.696,8120.000000,8120.000000,6557.076275,9.188364,4,4,0
0.7,0,conservative,gnb_2,1,0.798,8120.000000,8120.000000,6900.919495,9.228364,4,4,0
0.8,0,conservative,gnb_2,1,0.894,8120.000000,8120.000000,7169.117206,9.268364,4,4,0
0.9,0,conservative,gnb_2,1,0.996,8120.000000,8120.000000,7378.311421,9.308364,4,4,0
1.0,0,conservative,gnb_2,1,1.098,8120.000000,8120.000000,7541.482908,9.348364,4,4,0
1.1,0,conservative,gnb_2,1,1.194,8120.000000,8120.000000,7668.756668,9.388364,4,4,0
1.2,0,conservative,gnb_2,1,1.296,8120.000000,8120.000000,7768.030201,9.428364,4,4,0
1.3,0,conservative,gnb_2,1,1.398,8120.000000,8120.000000,7845.463557,9.468364,4,4,0
1.4,0,conservative,gnb_2,1,1.494,8120.000000,8120.000000,7905.861574,9.508364,4,4,0
1.5,0,conservative,gnb_2,1,1.596,8120.000000,8120.000000,7952.972028,9.548364,4,4,0
1.6,0,conservative,gnb_2,1,1.698,8120.000000,8120.000000,7989.718182,9.588364,4,4,0
1.7,0,conservative,gnb_2,1,1.794,8120.000000,8120.000000,8018.380182,9.628364,4,4,0
1.8,0,conservative,gnb_2,1,1.896,8120.000000,8120.000000,8040.736542,9.668364,4,4,0
1.9,0,conservative,gnb_2,1,1.998,8120.000000,8120.000000,8058.174503,9.708364,4,4,0
2.0,0,conservative,gnb_2,1,2.094,8056.000000,8056.000000,8057.696112,9.747260,4,4,0
2.1,0,conservative,gnb_2,1,2.196,8056.000000,8056.000000,8057.322967,9.786157,4,4,0
2.2,0,conservative,gnb_2,1,2.298,8056.000000,8056.000000,8057.031915,9.825053,4,4,0
2.3,0,conservative,gnb_2,1,2.394,8056.000000,8056.000000,8056.804893,9.863950,4,4,0
2.4,0,conservative,gnb_2,1,2.496,8056.000000,8056.000000,8056.627817,9.902846,4,4,0
2.5,0,conservative,gnb_2,1,2.598,8056.000000,8056.000000,8056.489697,9.941743,4,4,0
2.6,0,conservative,gnb_2,1,2.694,8056.000000,8056.000000,8056.381964,9.980639,4,4,0
2.7,0,conservative,gnb_2,1,2.796,8056.000000,8056.000000,8056.297932,10.019536,4,4,0
2.8,0,conservative,gnb_2,1,2.898,8056.000000,8056.000000,8056.232387,10.058433,4,4,0
2.9,0,conservative,gnb_2,1,2.994,8056.000000,8056.000000,8056.181262,10.097329,4,4,0
