scenario_id,ue_id,user_index,cqi_t_minus_4,cqi_t_minus_3,cqi_t_minus_2,cqi_t_minus_1,cqi_now_raw,cqi_now,previous_quality,distance_m,speed_mps,direction_to_gnb,x_m,y_m,rsrp_dbm,rsrq_db,wideband_sinr_db,mcs
simu5g_00000000,0,0,13.76,13.76,13.76,13.76,13.76,14,4,164.17535987701493,0.324609699216143,0.8226146116808414,226.65,415.053049912793,,,,
simu5g_00000001,0,0,13.76,13.76,13.76,13.76,13.76,14,4,164.1441291577703,0.379669147711171,0.8225398233295914,226.65,415.015082998022,,,,
simu5g_00000002,0,0,13.76,13.76,13.76,13.76,13.8,14,5,164.10920248181426,0.4246414806015,0.8224561256089155,226.65,414.972618849962,,,,
simu5g_00000003,0,0,13.76,13.76,13.76,13.8,13.8,14,5,164.07155351769288,0.457787709429914,0.8223658348213846,226.65,414.926840079019,,,,
simu5g_00000004,0,0,13.76,13.76,13.8,13.8,13.8,14,5,164.02853668966824,0.523119109699778,0.8222625824140782,226.65,414.874528168049,,,,
simu5g_00000005,0,0,13.76,13.8,13.8,13.8,13.8,14,5,163.9825579528544,0.559210963197737,0.8221521163884384,226.65,414.818607071729,,,,
simu5g_00000006,0,0,13.8,13.8,13.8,13.8,13.8,14,5,163.93371791399824,0.594093555573894,0.8220346578540264,226.65,414.759197716172,,,,
simu5g_00000007,0,0,13.8,13.8,13.8,13.8,13.8,14,5,163.88145670197378,0.6358030134657,0.8219088365792071,226.65,414.695617414825,,,,
simu5g_00000008,0,0,13.8,13.8,13.8,13.8,13.8,14,5,163.82373005940926,0.702407929627325,0.8217696946165325,226.65,414.625376621862,,,,
simu5g_00000009,0,0,13.8,13.8,13.8,13.8,13.8,14,5,163.76458875629038,0.719744704600989,0.8216269657150386,226.65,414.553402151402,,,,
simu5g_00000010,0,0,13.8,13.8,13.8,13.8,13.8,14,5,163.70467906460115,0.729223498930556,0.8214821993477676,226.65,414.480479801509,,,,
simu5g_00000011,0,0,13.8,13.8,13.8,13.8,13.8,14,5,163.6391986110614,0.797178167997028,0.8213237605993995,226.65,414.400761984709,,,,
simu5g_00000012,0,0,13.8,13.8,13.8,13.8,13.8,14,5,163.5730547350697,0.805411117440422,0.8211634923032777,226.65,414.320220872965,,,,
simu5g_00000013,0,0,13.8,13.8,13.8,13.8,13.8,14,5,163.50154718099927,0.870899753346208,0.8209899735629559,226.65,414.233130897631,,,,
simu5g_00000014,0,0,13.8,13.8,13.8,13.8,13.0,13,5,163.42700387398108,0.908068711466488,0.8208088066640531,226.65,414.142324026484,,,,
simu5g_00000015,15,0,14.44,14.44,14.44,14.44,14.44,14,3,119.08863434340395,0.291977292411211,0.7142419610363874,223.35,34.9419002694219,,,,
simu5g_00000015,31,1,13.4,13.4,13.4,13.4,13.4,13,3,150.3742109460532,0.459218747753034,0.7049765096664629,33.989713623403,226.65,,,,
simu5g_00000016,0,0,13.8,13.8,13.8,13.0,13.0,13,5,163.34785652530923,0.964373629503517,0.8206161348849096,226.65,414.045886663534,,,,
simu5g_00000017,15,0,14.44,14.44,14.44,14.44,14.44,14,3,119.06506101438939,0.330078202469275,0.7141061465550809,223.35,34.9749080896688,,,,
simu5g_00000017,31,1,13.4,13.4,13.4,13.4,13.4,13,3,150.33670665685898,0.532060637152022,0.7047984665164108,34.0429196871183,226.65,,,,
simu5g_00000018,0,0,13.8,13.8,13.0,13.0,13.0,13,5,163.26627494922988,0.994270768855565,0.820417196560041,226.65,413.946459586648,,,,
simu5g_00000019,15,0,14.44,14.44,14.44,14.44,14.44,14,3,119.03671082052416,0.39704796021369,0.7139426696899015,223.35,35.0146128856902,,,,
simu5g_00000019,31,1,13.4,13.4,13.4,13.4,13.4,13,3,150.2930978379967,0.618832653213585,0.7045912192302171,34.1048029524396,226.65,,,,
simu5g_00000020,0,0,13.8,13.0,13.0,13.0,13.0,13,5,163.1825610498851,1.0205092196249,0.8202126979963847,226.65,413.844408664686,,,,
simu5g_00000021,15,0,14.44,14.44,14.44,14.44,14.44,14,3,119.00456441857561,0.45032438485034,0.7137571158788791,223.35,35.0596453241752,,,,
