mode,dispersion,seed,scenario_index,method,utility
aligned,mid_v2,1,0,CQI k-means,0.732354685955714
aligned,mid_v2,1,0,Multi-feature k-means,0.7946783769934571
aligned,mid_v2,1,0,CQI+cost hybrid (2-way),0.82452971459008
aligned,mid_v2,1,0,CQI+cost+RBprofile hybrid (3-way),0.82452971459008
aligned,mid_v2,1,1,CQI k-means,0.7004576975369218
aligned,mid_v2,1,1,Multi-feature k-means,0.7352842580663151
aligned,mid_v2,1,1,CQI+cost hybrid (2-way),0.7378282045569649
aligned,mid_v2,1,1,CQI+cost+RBprofile hybrid (3-way),0.7378282045569649
aligned,mid_v2,1,2,CQI k-means,0.6961491412708178
aligned,mid_v2,1,2,Multi-feature k-means,0.7260004788674409
aligned,mid_v2,1,2,CQI+cost hybrid (2-way),0.7312110920247571
aligned,mid_v2,1,2,CQI+cost+RBprofile hybrid (3-way),0.7312110920247571
aligned,mid_v2,1,3,CQI k-means,0.74004967455367
aligned,mid_v2,1,3,Multi-feature k-means,0.7459942892917497
aligned,mid_v2,1,3,CQI+cost hybrid (2-way),0.7976535999262276
aligned,mid_v2,1,3,CQI+cost+RBprofile hybrid (3-way),0.7976535999262276
aligned,mid_v2,1,4,CQI k-means,0.7223585892680034
aligned,mid_v2,1,4,Multi-feature k-means,0.7522099268646265
aligned,mid_v2,1,4,CQI+cost hybrid (2-way),0.7770860415284789
aligned,mid_v2,1,4,CQI+cost+RBprofile hybrid (3-way),0.7770860415284789
aligned,mid_v2,1,5,CQI k-means,0.6999700860705363
aligned,mid_v2,1,5,Multi-feature k-means,0.6731841780840182
aligned,mid_v2,1,5,CQI+cost hybrid (2-way),0.7090071760192355
aligned,mid_v2,1,5,CQI+cost+RBprofile hybrid (3-way),0.7090071760192355
aligned,mid_v2,1,6,CQI k-means,0.6878508447506849
aligned,mid_v2,1,6,Multi-feature k-means,0.6878508447506849
aligned,mid_v2,1,6,CQI+cost hybrid (2-way),0.7054799886082337
aligned,mid_v2,1,6,CQI+cost+RBprofile hybrid (3-way),0.7054799886082337
aligned,mid_v2,1,7,CQI k-means,0.7032356100703386
aligned,mid_v2,1,7,Multi-feature k-means,0.7288462007343889
aligned,mid_v2,1,7,CQI+cost hybrid (2-way),0.7270855686751095
aligned,mid_v2,1,7,CQI+cost+RBprofile hybrid (3-way),0.7270855686751095
aligned,mid_v2,1,8,CQI k-means,0.6941986954052769
aligned,mid_v2,1,8,Multi-feature k-means,0.7514137591321374
aligned,mid_v2,1,8,CQI+cost hybrid (2-way),0.6941986954052769
aligned,mid_v2,1,8,CQI+cost+RBprofile hybrid (3-way),0.7066367527372029
aligned,mid_v2,1,9,CQI k-means,0.719212483419088
aligned,mid_v2,1,9,Multi-feature k-means,0.7158709778016185
aligned,mid_v2,1,9,CQI+cost hybrid (2-way),0.7457223153982414
aligned,mid_v2,1,9,CQI+cost+RBprofile hybrid (3-way),0.7457223153982414
aligned,mid_v2,1,10,CQI k-means,0.6993034194038699
aligned,mid_v2,1,10,Multi-feature k-means,0.7391052028660338
aligned,mid_v2,1,10,CQI+cost hybrid (2-way),0.7201515263972086
aligned,mid_v2,1,10,CQI+cost+RBprofile hybrid (3-way),0.7291547570004927
aligned,mid_v2,1,11,CQI k-means,0.7062029779642667
aligned,mid_v2,1,11,Multi-feature k-means,0.7624451285659618
aligned,mid_v2,1,11,CQI+cost hybrid (2-way),0.7765984300620936
aligned,mid_v2,1,11,CQI+cost+RBprofile hybrid (3-way),0.7765984300620936
aligned,mid_v2,1,12,CQI k-means,0.683850844750685
aligned,mid_v2,1,12,Multi-feature k-means,0.7585184831307303
aligned,mid_v2,1,12,CQI+cost hybrid (2-way),0.7254186689764168
aligned,mid_v2,1,12,CQI+cost+RBprofile hybrid (3-way),0.7254186689764168
aligned,mid_v2,1,13,CQI k-means,0.6926863068716621
aligned,mid_v2,1,13,Multi-feature k-means,0.7150748100691294
aligned,mid_v2,1,13,CQI+cost hybrid (2-way),0.7523889820649079
aligned,mid_v2,1,13,CQI+cost+RBprofile hybrid (3-way),0.7523889820649079
aligned,mid_v2,1,14,CQI k-means,0.6872234724725068
aligned,mid_v2,1,14,Multi-feature k-means,0.7220500330018997
aligned,mid_v2,1,14,CQI+cost hybrid (2-way),0.7050865008032141
aligned,mid_v2,1,14,CQI+cost+RBprofile hybrid (3-way),0.7050865008032141
aligned,mid_v2,1,15,CQI k-means,0.6895320287386103
aligned,mid_v2,1,15,Multi-feature k-means,0.7268462007343889
aligned,mid_v2,1,15,CQI+cost hybrid (2-way),0.7217926209545155
aligned,mid_v2,1,15,CQI+cost+RBprofile hybrid (3-way),0.7217926209545155
aligned,mid_v2,1,16,CQI k-means,0.7057910308702551
aligned,mid_v2,1,16,Multi-feature k-means,0.7381299799332632
aligned,mid_v2,1,16,CQI+cost hybrid (2-way),0.71795767231954
aligned,mid_v2,1,16,CQI+cost+RBprofile hybrid (3-way),0.71795767231954
aligned,mid_v2,1,17,CQI k-means,0.7023281964710993
