dispersion,load,seed,method,mean_utility
low,light,seed_0031,NoGrouping_single_group,7257.142857142857
low,light,seed_0031,MethodA_proxy_kmeans,6308.035714285715
low,light,seed_0031,MethodB_cutpoint_stddev,7110.416666666667
low,light,seed_0031,CQI_kmeans_published,7339.285714285715
low,light,seed_0031,Candidate_union_final,7461.458333333334
low,light,seed_0031,OptimalCutpoint_upperbound,7464.285714285715
low,light,seed_0032,NoGrouping_single_group,7500.0
low,light,seed_0032,MethodA_proxy_kmeans,6928.571428571428
low,light,seed_0032,MethodB_cutpoint_stddev,7455.357142857143
low,light,seed_0032,CQI_kmeans_published,7500.0
low,light,seed_0032,Candidate_union_final,7500.0
low,light,seed_0032,OptimalCutpoint_upperbound,7500.0
low,light,seed_0033,NoGrouping_single_group,7500.0
low,light,seed_0033,MethodA_proxy_kmeans,6441.964285714285
low,light,seed_0033,MethodB_cutpoint_stddev,7267.857142857143
low,light,seed_0033,CQI_kmeans_published,7500.0
low,light,seed_0033,Candidate_union_final,7500.0
low,light,seed_0033,OptimalCutpoint_upperbound,7500.0
low,light,seed_0034,NoGrouping_single_group,7500.0
low,light,seed_0034,MethodA_proxy_kmeans,6696.428571428572
low,light,seed_0034,MethodB_cutpoint_stddev,7376.6369047619055
low,light,seed_0034,CQI_kmeans_published,7500.0
low,light,seed_0034,Candidate_union_final,7500.0
low,light,seed_0034,OptimalCutpoint_upperbound,7500.0
low,light,seed_0035,NoGrouping_single_group,7500.0
low,light,seed_0035,MethodA_proxy_kmeans,6718.75
low,light,seed_0035,MethodB_cutpoint_stddev,7352.678571428572
low,light,seed_0035,CQI_kmeans_published,7500.0
low,light,seed_0035,Candidate_union_final,7500.0
low,light,seed_0035,OptimalCutpoint_upperbound,7500.0
low,light,seed_0036,NoGrouping_single_group,7500.0
low,light,seed_0036,MethodA_proxy_kmeans,6531.25
low,light,seed_0036,MethodB_cutpoint_stddev,7282.8869047619055
low,light,seed_0036,CQI_kmeans_published,7500.0
low,light,seed_0036,Candidate_union_final,7500.0
low,light,seed_0036,OptimalCutpoint_upperbound,7500.0
low,light,seed_0037,NoGrouping_single_group,7378.571428571428
low,light,seed_0037,MethodA_proxy_kmeans,6665.178571428572
low,light,seed_0037,MethodB_cutpoint_stddev,7329.166666666667
low,light,seed_0037,CQI_kmeans_published,7464.285714285715
low,light,seed_0037,Candidate_union_final,7482.142857142857
low,light,seed_0037,OptimalCutpoint_upperbound,7482.142857142857
low,light,seed_0038,NoGrouping_single_group,7500.0
low,light,seed_0038,MethodA_proxy_kmeans,6754.464285714285
low,light,seed_0038,MethodB_cutpoint_stddev,7406.25
low,light,seed_0038,CQI_kmeans_published,7500.0
low,light,seed_0038,Candidate_union_final,7500.0
low,light,seed_0038,OptimalCutpoint_upperbound,7500.0
low,light,seed_0039,NoGrouping_single_group,7378.571428571428
low,light,seed_0039,MethodA_proxy_kmeans,6508.928571428572
low,light,seed_0039,MethodB_cutpoint_stddev,7239.880952380953
low,light,seed_0039,CQI_kmeans_published,7482.142857142857
low,light,seed_0039,Candidate_union_final,7482.142857142857
low,light,seed_0039,OptimalCutpoint_upperbound,7482.142857142857
low,light,seed_0040,NoGrouping_single_group,7500.0
low,light,seed_0040,MethodA_proxy_kmeans,6633.928571428572
low,light,seed_0040,MethodB_cutpoint_stddev,7390.029761904762
low,light,seed_0040,CQI_kmeans_published,7500.0
low,light,seed_0040,Candidate_union_final,7500.0
low,light,seed_0040,OptimalCutpoint_upperbound,7500.0
low,light,seed_0041,NoGrouping_single_group,7500.0
low,light,seed_0041,MethodA_proxy_kmeans,6620.982142857143
low,light,seed_0041,MethodB_cutpoint_stddev,7271.130952380953
low,light,seed_0041,CQI_kmeans_published,7500.0
low,light,seed_0041,Candidate_union_final,7500.0
low,light,seed_0041,OptimalCutpoint_upperbound,7500.0
low,light,seed_0042,NoGrouping_single_group,7500.0
low,light,seed_0042,MethodA_proxy_kmeans,6580.357142857143
low,light,seed_0042,MethodB_cutpoint_stddev,7290.178571428572
low,light,seed_0042,CQI_kmeans_published,7500.0
low,light,seed_0042,Candidate_union_final,7500.0
low,light,seed_0042,OptimalCutpoint_upperbound,7500.0
low,light,seed_0043,NoGrouping_single_group,7378.571428571428
low,light,seed_0043,MethodA_proxy_kmeans,6508.928571428572
low,light,seed_0043,MethodB_cutpoint_stddev,7248.809523809525
low,light,seed_0043,CQI_kmeans_published,7446.428571428572
low,light,seed_0043,Candidate_union_final,7446.428571428572
low,light,seed_0043,OptimalCutpoint_upperbound,7482.142857142857
low,light,seed_0044,NoGrouping_single_group,7500.0
low,light,seed_0044,MethodA_proxy_kmeans,6830.357142857143
low,light,seed_0044,MethodB_cutpoint_stddev,7383.928571428572
low,light,seed_0044,CQI_kmeans_published,7500.0
low,light,seed_0044,Candidate_union_final,7500.0
low,light,seed_0044,OptimalCutpoint_upperbound,7500.0
low,light,seed_0045,NoGrouping_single_group,7500.0
low,light,seed_0045,MethodA_proxy_kmeans,6656.25
low,light,seed_0045,MethodB_cutpoint_stddev,7357.142857142857
low,light,seed_0045,CQI_kmeans_published,7500.0
low,light,seed_0045,Candidate_union_final,7500.0
low,light,seed_0045,OptimalCutpoint_upperbound,7500.0
low,light,seed_0046,NoGrouping_single_group,7500.0
low,light,seed_0046,MethodA_proxy_kmeans,6508.928571428572
low,light,seed_0046,MethodB_cutpoint_stddev,7269.494047619048
low,light,seed_0046,CQI_kmeans_published,7500.0
low,light,seed_0046,Candidate_union_final,7500.0
low,light,seed_0046,OptimalCutpoint_upperbound,7500.0
low,light,seed_0047,NoGrouping_single_group,7500.0
low,light,seed_0047,MethodA_proxy_kmeans,6683.035714285715
low,light,seed_0047,MethodB_cutpoint_stddev,7415.178571428572
low,light,seed_0047,CQI_kmeans_published,7500.0
low,light,seed_0047,Candidate_union_final,7500.0
low,light,seed_0047,OptimalCutpoint_upperbound,7500.0
low,light,seed_0048,NoGrouping_single_group,7378.571428571428
low,light,seed_0048,MethodA_proxy_kmeans,6857.142857142857
low,light,seed_0048,MethodB_cutpoint_stddev,7333.630952380953
low,light,seed_0048,CQI_kmeans_published,7482.142857142857
low,light,seed_0048,Candidate_union_final,7482.142857142857
low,light,seed_0048,OptimalCutpoint_upperbound,7482.142857142857
low,light,seed_0049,NoGrouping_single_group,7500.0
low,light,seed_0049,MethodA_proxy_kmeans,6647.321428571428
low,light,seed_0049,MethodB_cutpoint_stddev,7323.065476190476
low,light,seed_0049,CQI_kmeans_published,7500.0
low,light,seed_0049,Candidate_union_final,7500.0
low,light,seed_0049,OptimalCutpoint_upperbound,7500.0
low,light,seed_0050,NoGrouping_single_group,7500.0
low,light,seed_0050,MethodA_proxy_kmeans,6611.607142857143
low,light,seed_0050,MethodB_cutpoint_stddev,7287.351190476191
low,light,seed_0050,CQI_kmeans_published,7500.0
low,light,seed_0050,Candidate_union_final,7500.0
low,light,seed_0050,OptimalCutpoint_upperbound,7500.0
low,medium,seed_0031,NoGrouping_single_group,3200.0
low,medium,seed_0031,MethodA_proxy_kmeans,4470.833333333333
low,medium,seed_0031,MethodB_cutpoint_stddev,4677.976190476191
low,medium,seed_0031,CQI_kmeans_published,4505.357142857142
low,medium,seed_0031,Candidate_union_final,4505.357142857142
low,medium,seed_0031,OptimalCutpoint_upperbound,4677.976190476191
low,medium,seed_0032,NoGrouping_single_group,3000.0
low,medium,seed_0032,MethodA_proxy_kmeans,4402.97619047619
low,medium,seed_0032,MethodB_cutpoint_stddev,4902.380952380952
low,medium,seed_0032,CQI_kmeans_published,4447.619047619048
low,medium,seed_0032,Candidate_union_final,4613.0952380952385
low,medium,seed_0032,OptimalCutpoint_upperbound,4954.166666666666
low,medium,seed_0033,NoGrouping_single_group,3000.0
low,medium,seed_0033,MethodA_proxy_kmeans,4455.6547619047615
low,medium,seed_0033,MethodB_cutpoint_stddev,4833.333333333333
low,medium,seed_0033,CQI_kmeans_published,4495.2380952380945
low,medium,seed_0033,Candidate_union_final,4564.285714285715
low,medium,seed_0033,OptimalCutpoint_upperbound,4833.333333333333
low,medium,seed_0034,NoGrouping_single_group,3000.0
low,medium,seed_0034,MethodA_proxy_kmeans,4867.857142857143
low,medium,seed_0034,MethodB_cutpoint_stddev,5023.214285714285
low,medium,seed_0034,CQI_kmeans_published,4885.119047619047
low,medium,seed_0034,Candidate_union_final,4902.380952380952
low,medium,seed_0034,OptimalCutpoint_upperbound,5023.214285714285
low,medium,seed_0035,NoGrouping_single_group,3000.0
low,medium,seed_0035,MethodA_proxy_kmeans,4732.440476190475
low,medium,seed_0035,MethodB_cutpoint_stddev,5005.952380952382
low,medium,seed_0035,CQI_kmeans_published,4736.9047619047615
low,medium,seed_0035,Candidate_union_final,4754.166666666667
low,medium,seed_0035,OptimalCutpoint_upperbound,5005.952380952382
low,medium,seed_0036,NoGrouping_single_group,3000.0
low,medium,seed_0036,MethodA_proxy_kmeans,4643.452380952381
low,medium,seed_0036,MethodB_cutpoint_stddev,4680.6547619047615
low,medium,seed_0036,CQI_kmeans_published,4643.452380952381
low,medium,seed_0036,Candidate_union_final,4643.452380952381
low,medium,seed_0036,OptimalCutpoint_upperbound,4833.333333333333
low,medium,seed_0037,NoGrouping_single_group,3000.0
low,medium,seed_0037,MethodA_proxy_kmeans,4628.869047619048
low,medium,seed_0037,MethodB_cutpoint_stddev,4740.773809523809
low,medium,seed_0037,CQI_kmeans_published,4633.333333333333
low,medium,seed_0037,Candidate_union_final,4633.333333333333
low,medium,seed_0037,OptimalCutpoint_upperbound,4867.857142857143
low,medium,seed_0038,NoGrouping_single_group,3200.0
low,medium,seed_0038,MethodA_proxy_kmeans,4395.833333333334
low,medium,seed_0038,MethodB_cutpoint_stddev,4867.857142857142
low,medium,seed_0038,CQI_kmeans_published,4457.738095238095
low,medium,seed_0038,Candidate_union_final,4588.690476190476
low,medium,seed_0038,OptimalCutpoint_upperbound,4867.857142857142
low,medium,seed_0039,NoGrouping_single_group,3200.0
low,medium,seed_0039,MethodA_proxy_kmeans,4559.226190476191
low,medium,seed_0039,MethodB_cutpoint_stddev,4483.928571428572
low,medium,seed_0039,CQI_kmeans_published,4616.071428571428
low,medium,seed_0039,Candidate_union_final,4633.333333333333
low,medium,seed_0039,OptimalCutpoint_upperbound,4781.547619047619
low,medium,seed_0040,NoGrouping_single_group,3000.0
low,medium,seed_0040,MethodA_proxy_kmeans,4389.880952380952
low,medium,seed_0040,MethodB_cutpoint_stddev,4833.333333333334
low,medium,seed_0040,CQI_kmeans_published,4398.809523809524
low,medium,seed_0040,Candidate_union_final,4764.285714285715
low,medium,seed_0040,OptimalCutpoint_upperbound,4867.857142857143
low,medium,seed_0041,NoGrouping_single_group,3000.0
low,medium,seed_0041,MethodA_proxy_kmeans,4509.523809523809
low,medium,seed_0041,MethodB_cutpoint_stddev,4769.047619047619
low,medium,seed_0041,CQI_kmeans_published,4554.166666666666
low,medium,seed_0041,Candidate_union_final,4640.47619047619
low,medium,seed_0041,OptimalCutpoint_upperbound,5005.952380952382
low,medium,seed_0042,NoGrouping_single_group,3000.0
low,medium,seed_0042,MethodA_proxy_kmeans,4764.285714285715
low,medium,seed_0042,MethodB_cutpoint_stddev,4936.904761904762
low,medium,seed_0042,CQI_kmeans_published,4764.285714285715
low,medium,seed_0042,Candidate_union_final,4764.285714285715
low,medium,seed_0042,OptimalCutpoint_upperbound,4954.166666666666
low,medium,seed_0043,NoGrouping_single_group,3000.0
low,medium,seed_0043,MethodA_proxy_kmeans,4677.97619047619
low,medium,seed_0043,MethodB_cutpoint_stddev,4954.166666666667
low,medium,seed_0043,CQI_kmeans_published,4677.97619047619
low,medium,seed_0043,Candidate_union_final,4677.97619047619
low,medium,seed_0043,OptimalCutpoint_upperbound,4954.166666666667
low,medium,seed_0044,NoGrouping_single_group,3200.0
low,medium,seed_0044,MethodA_proxy_kmeans,4661.607142857143
low,medium,seed_0044,MethodB_cutpoint_stddev,4919.642857142857
low,medium,seed_0044,CQI_kmeans_published,4692.2619047619055
low,medium,seed_0044,Candidate_union_final,4892.261904761904
low,medium,seed_0044,OptimalCutpoint_upperbound,4919.642857142857
low,medium,seed_0045,NoGrouping_single_group,3200.0
low,medium,seed_0045,MethodA_proxy_kmeans,4816.071428571428
low,medium,seed_0045,MethodB_cutpoint_stddev,5075.0
low,medium,seed_0045,CQI_kmeans_published,4816.071428571428
low,medium,seed_0045,Candidate_union_final,4850.595238095238
low,medium,seed_0045,OptimalCutpoint_upperbound,5075.0
low,medium,seed_0046,NoGrouping_single_group,3000.0
low,medium,seed_0046,MethodA_proxy_kmeans,4333.035714285714
low,medium,seed_0046,MethodB_cutpoint_stddev,4695.2380952380945
low,medium,seed_0046,CQI_kmeans_published,4364.285714285714
low,medium,seed_0046,Candidate_union_final,4364.285714285714
low,medium,seed_0046,OptimalCutpoint_upperbound,4695.2380952380945
low,medium,seed_0047,NoGrouping_single_group,3000.0
low,medium,seed_0047,MethodA_proxy_kmeans,4501.190476190477
low,medium,seed_0047,MethodB_cutpoint_stddev,4902.380952380953
low,medium,seed_0047,CQI_kmeans_published,4536.904761904762
low,medium,seed_0047,Candidate_union_final,4685.119047619048
low,medium,seed_0047,OptimalCutpoint_upperbound,4902.380952380953
low,medium,seed_0048,NoGrouping_single_group,3400.0
low,medium,seed_0048,MethodA_proxy_kmeans,4721.72619047619
low,medium,seed_0048,MethodB_cutpoint_stddev,5023.214285714285
low,medium,seed_0048,CQI_kmeans_published,4778.571428571428
low,medium,seed_0048,Candidate_union_final,4813.095238095237
low,medium,seed_0048,OptimalCutpoint_upperbound,5023.214285714285
low,medium,seed_0049,NoGrouping_single_group,3200.0
low,medium,seed_0049,MethodA_proxy_kmeans,4781.547619047619
low,medium,seed_0049,MethodB_cutpoint_stddev,4919.642857142857
low,medium,seed_0049,CQI_kmeans_published,4781.547619047619
low,medium,seed_0049,Candidate_union_final,4833.333333333334
low,medium,seed_0049,OptimalCutpoint_upperbound,4954.166666666667
low,medium,seed_0050,NoGrouping_single_group,3200.0
low,medium,seed_0050,MethodA_proxy_kmeans,4667.2619047619055
low,medium,seed_0050,MethodB_cutpoint_stddev,4954.166666666667
low,medium,seed_0050,CQI_kmeans_published,4736.904761904762
low,medium,seed_0050,Candidate_union_final,4736.904761904762
low,medium,seed_0050,OptimalCutpoint_upperbound,4971.428571428572
low,heavy,seed_0031,NoGrouping_single_group,1500.0
low,heavy,seed_0031,MethodA_proxy_kmeans,1156.25
low,heavy,seed_0031,MethodB_cutpoint_stddev,1401.7857142857142
low,heavy,seed_0031,CQI_kmeans_published,1500.0
low,heavy,seed_0031,Candidate_union_final,1500.0
low,heavy,seed_0031,OptimalCutpoint_upperbound,1500.0
low,heavy,seed_0032,NoGrouping_single_group,1500.0
low,heavy,seed_0032,MethodA_proxy_kmeans,1321.4285714285713
low,heavy,seed_0032,MethodB_cutpoint_stddev,1486.607142857143
low,heavy,seed_0032,CQI_kmeans_published,1500.0
low,heavy,seed_0032,Candidate_union_final,1500.0
low,heavy,seed_0032,OptimalCutpoint_upperbound,1500.0
low,heavy,seed_0033,NoGrouping_single_group,1500.0
low,heavy,seed_0033,MethodA_proxy_kmeans,1191.9642857142858
low,heavy,seed_0033,MethodB_cutpoint_stddev,1437.5
low,heavy,seed_0033,CQI_kmeans_published,1500.0
