dispersion,load,seed,step,is_warmup,method,utility,adr_kbps,served_ratio,average_quality,system_spectral_efficiency,fairness,avg_switching,quality_switch_rate,quality_change_levels,pairwise_group_churn,groups
low,light,seed_0032,0,1,NoGrouping_single_group,7500.0,7500.0,1.0,5.0,83.33333333333333,1.0,1.0,1.0,5.0,0.0,1
low,light,seed_0032,1,0,NoGrouping_single_group,7500.0,7500.0,1.0,5.0,83.33333333333333,1.0,0.0,0.0,0.0,0.0,1
low,light,seed_0032,2,0,NoGrouping_single_group,7500.0,7500.0,1.0,5.0,83.33333333333333,1.0,0.0,0.0,0.0,0.0,1
low,light,seed_0032,3,0,NoGrouping_single_group,7500.0,7500.0,1.0,5.0,83.33333333333333,1.0,0.0,0.0,0.0,0.0,1
low,light,seed_0032,4,0,NoGrouping_single_group,7500.0,7500.0,1.0,5.0,83.33333333333333,1.0,0.0,0.0,0.0,0.0,1
low,light,seed_0032,5,0,NoGrouping_single_group,7500.0,7500.0,1.0,5.0,83.33333333333333,1.0,0.0,0.0,0.0,0.0,1
low,light,seed_0032,6,0,NoGrouping_single_group,7500.0,7500.0,1.0,5.0,83.33333333333333,1.0,0.0,0.0,0.0,0.0,1
low,light,seed_0032,7,0,NoGrouping_single_group,7500.0,7500.0,1.0,5.0,83.33333333333333,1.0,0.0,0.0,0.0,0.0,1
low,light,seed_0032,8,0,NoGrouping_single_group,7500.0,7500.0,1.0,5.0,83.33333333333333,1.0,0.0,0.0,0.0,0.0,1
low,light,seed_0032,9,0,NoGrouping_single_group,7500.0,7500.0,1.0,5.0,83.33333333333333,1.0,0.0,0.0,0.0,0.0,1
low,light,seed_0032,10,0,NoGrouping_single_group,7500.0,7500.0,1.0,5.0,83.33333333333333,1.0,0.0,0.0,0.0,0.0,1
low,light,seed_0032,11,0,NoGrouping_single_group,7500.0,7500.0,1.0,5.0,83.33333333333333,1.0,0.0,0.0,0.0,0.0,1
low,light,seed_0032,12,0,NoGrouping_single_group,7500.0,7500.0,1.0,5.0,83.33333333333333,1.0,0.0,0.0,0.0,0.0,1
low,light,seed_0032,13,0,NoGrouping_single_group,7500.0,7500.0,1.0,5.0,83.33333333333333,1.0,0.0,0.0,0.0,0.0,1
low,light,seed_0032,14,0,NoGrouping_single_group,7500.0,7500.0,1.0,5.0,83.33333333333333,1.0,0.0,0.0,0.0,0.0,1
low,light,seed_0032,0,1,MethodA_proxy_kmeans,6937.5,6937.5,1.0,4.75,77.08333333333333,0.9560055865921788,0.9499999999999998,1.0,4.75,0.0,2
low,light,seed_0032,1,0,MethodA_proxy_kmeans,6750.0,6750.0,1.0,4.666666666666667,75.0,0.9418604651162791,0.05000000000000001,0.125,0.25,0.22826086956521738,2
low,light,seed_0032,2,0,MethodA_proxy_kmeans,6625.0,6625.0,0.9583333333333334,4.739130434782608,73.61111111111111,0.9143880208333334,0.06666666666666667,0.16666666666666666,0.3333333333333333,0.286231884057971,3
low,light,seed_0032,3,0,MethodA_proxy_kmeans,6750.0,6750.0,1.0,4.666666666666667,75.0,0.9418604651162791,0.06666666666666667,0.16666666666666666,0.3333333333333333,0.286231884057971,2
low,light,seed_0032,4,0,MethodA_proxy_kmeans,7312.5,7312.5,1.0,4.916666666666667,81.25,0.9851036269430051,0.08333333333333333,0.20833333333333334,0.4166666666666667,0.3442028985507246,2
low,light,seed_0032,5,0,MethodA_proxy_kmeans,6562.5,6562.5,1.0,4.583333333333333,72.91666666666667,0.928030303030303,0.10000000000000002,0.25,0.5,0.391304347826087,2
low,light,seed_0032,6,0,MethodA_proxy_kmeans,6937.5,6937.5,1.0,4.75,77.08333333333333,0.9560055865921788,0.10000000000000002,0.25,0.5,0.391304347826087,2
low,light,seed_0032,7,0,MethodA_proxy_kmeans,7312.5,7312.5,1.0,4.916666666666667,81.25,0.9851036269430051,0.03333333333333333,0.08333333333333333,0.16666666666666666,0.15942028985507245,2
