dispersion,load,seed,method,mean_utility
low,light,seed_0031,NoGrouping_single_group,0.9290781116502738
low,light,seed_0031,MethodA_proxy_kmeans,0.8470352571678842
low,light,seed_0031,MethodB_cutpoint_stddev,0.9015248215597521
low,light,seed_0031,CQI_kmeans_published,0.9290781116502738
low,light,seed_0031,Candidate_union_final,0.9290781116502738
low,light,seed_0031,OptimalCutpoint_upperbound,0.9290781116502738
low,light,seed_0032,NoGrouping_single_group,0.9290781116502738
low,light,seed_0032,MethodA_proxy_kmeans,0.8887655172076736
low,light,seed_0032,MethodB_cutpoint_stddev,0.9256683443862893
low,light,seed_0032,CQI_kmeans_published,0.9290781116502738
low,light,seed_0032,Candidate_union_final,0.9290781116502738
low,light,seed_0032,OptimalCutpoint_upperbound,0.9290781116502738
low,light,seed_0033,NoGrouping_single_group,0.9290781116502738
low,light,seed_0033,MethodA_proxy_kmeans,0.8573631665991341
low,light,seed_0033,MethodB_cutpoint_stddev,0.915005465806542
low,light,seed_0033,CQI_kmeans_published,0.9290781116502738
low,light,seed_0033,Candidate_union_final,0.9290781116502738
low,light,seed_0033,OptimalCutpoint_upperbound,0.9290781116502738
low,light,seed_0034,NoGrouping_single_group,0.9290781116502738
low,light,seed_0034,MethodA_proxy_kmeans,0.8720495147558234
low,light,seed_0034,MethodB_cutpoint_stddev,0.9184955131153129
low,light,seed_0034,CQI_kmeans_published,0.9290781116502738
low,light,seed_0034,Candidate_union_final,0.9290781116502738
low,light,seed_0034,OptimalCutpoint_upperbound,0.9290781116502738
low,light,seed_0035,NoGrouping_single_group,0.9290781116502738
low,light,seed_0035,MethodA_proxy_kmeans,0.8811943239693562
low,light,seed_0035,MethodB_cutpoint_stddev,0.9206345241440348
low,light,seed_0035,CQI_kmeans_published,0.9290781116502738
low,light,seed_0035,Candidate_union_final,0.9290781116502738
low,light,seed_0035,OptimalCutpoint_upperbound,0.9290781116502738
low,light,seed_0036,NoGrouping_single_group,0.9290781116502738
low,light,seed_0036,MethodA_proxy_kmeans,0.8654733674854744
