scope,method,mean_utility,mean_diff_vs_published,diff_vs_published_ci95_low,diff_vs_published_ci95_high,seeds_win_vs_published,seeds_tie_vs_published,seeds_loss_vs_published
mid_high_6_cells,NoGrouping_single_group,0.19058852746398244,-0.13721202478736086,-0.1557823605501655,-0.1198261057082254,0,0,20
mid_high_6_cells,MethodA_proxy_kmeans,0.17484139439952612,-0.1529591578518172,-0.16125244235583627,-0.14417571676672167,0,0,20
mid_high_6_cells,MethodB_cutpoint_stddev,0.28640093112177534,-0.041399621129568,-0.047860431562749745,-0.0344768787881447,0,0,20
mid_high_6_cells,CQI_kmeans_published,0.3278005522513433,0.0,0.0,0.0,0,20,0
mid_high_6_cells,Candidate_union_final,0.36128842991336135,0.033487877662017974,0.02811304034575068,0.038926752088239557,20,0,0
mid_high_6_cells,OptimalCutpoint_upperbound,0.3816379470646468,0.05383739481330348,0.04695409330718978,0.061070428464607175,20,0,0
high_only_3_cells,NoGrouping_single_group,-0.051735797978614086,-0.2116537014782871,-0.2449967441227986,-0.17977670509435065,0,0,20
high_only_3_cells,MethodA_proxy_kmeans,0.01800455681659558,-0.14191334668307742,-0.15586669011608428,-0.1271909581956051,0,0,20
high_only_3_cells,MethodB_cutpoint_stddev,0.14137526039990492,-0.01854264309976812,-0.030488330781313248,-0.005796470914505573,3,0,17
high_only_3_cells,CQI_kmeans_published,0.159917903499673,0.0,0.0,0.0,0,20,0
high_only_3_cells,Candidate_union_final,0.21422381541561925,0.05430591191594625,0.045675877345580214,0.06330168219911768,20,0,0
high_only_3_cells,OptimalCutpoint_upperbound,0.24807705375799022,0.08815915025831726,0.07746090874542844,0.09950473130759159,20,0,0
all_9_cells,NoGrouping_single_group,0.3750164295004306,-0.09142532135897767,-0.10375521328556521,-0.07980290818767982,0,0,20
all_9_cells,MethodA_proxy_kmeans,0.3097329097187838,-0.1567088411406245,-0.1627593135652515,-0.1503435742190978,0,0,20
all_9_cells,MethodB_cutpoint_stddev,0.42675445368460513,-0.039687297174803134,-0.04425287823765765,-0.03480942898346862,0,0,20
all_9_cells,CQI_kmeans_published,0.46644175085940826,0.0,0.0,0.0,0,20,0
all_9_cells,Candidate_union_final,0.48871764080149066,0.0222758899420824,0.018772689615415943,0.025898552197931444,20,0,0
all_9_cells,OptimalCutpoint_upperbound,0.5023086664853125,0.03586691562590422,0.03127700636694517,0.04070039719934163,20,0,0
