method,tier,count,fraction
NoGrouping_single_group,unserved,1728,0.04285714285714286
NoGrouping_single_group,q0,9504,0.2357142857142857
NoGrouping_single_group,q1,17040,0.4226190476190476
NoGrouping_single_group,q2,8040,0.19940476190476192
NoGrouping_single_group,q3,4008,0.0994047619047619
NoGrouping_single_group,q4,0,0.0
NoGrouping_single_group,q5,0,0.0
MethodA_proxy_kmeans,unserved,2908,0.07212301587301587
MethodA_proxy_kmeans,q0,6671,0.16545138888888888
MethodA_proxy_kmeans,q1,14142,0.3507440476190476
MethodA_proxy_kmeans,q2,10366,0.25709325396825394
MethodA_proxy_kmeans,q3,5181,0.1284970238095238
MethodA_proxy_kmeans,q4,1052,0.026091269841269842
MethodA_proxy_kmeans,q5,0,0.0
MethodB_cutpoint_stddev,unserved,1399,0.03469742063492064
MethodB_cutpoint_stddev,q0,6718,0.16661706349206348
MethodB_cutpoint_stddev,q1,14494,0.35947420634920635
MethodB_cutpoint_stddev,q2,8158,0.2023313492063492
MethodB_cutpoint_stddev,q3,6681,0.16569940476190476
MethodB_cutpoint_stddev,q4,2870,0.07118055555555555
MethodB_cutpoint_stddev,q5,0,0.0
CQI_kmeans_published,unserved,503,0.012475198412698413
CQI_kmeans_published,q0,8237,0.2042906746031746
CQI_kmeans_published,q1,13393,0.33216765873015874
CQI_kmeans_published,q2,9820,0.2435515873015873
CQI_kmeans_published,q3,7062,0.1751488095238095
CQI_kmeans_published,q4,1305,0.03236607142857143
CQI_kmeans_published,q5,0,0.0
Candidate_union_final,unserved,218,0.005406746031746032
Candidate_union_final,q0,8103,0.2009672619047619
Candidate_union_final,q1,12530,0.3107638888888889
Candidate_union_final,q2,11345,0.28137400793650796
Candidate_union_final,q3,6994,0.17346230158730158
Candidate_union_final,q4,1130,0.028025793650793652
Candidate_union_final,q5,0,0.0
OptimalCutpoint_upperbound,unserved,222,0.005505952380952381
OptimalCutpoint_upperbound,q0,6919,0.17160218253968254
OptimalCutpoint_upperbound,q1,12944,0.32103174603174606
OptimalCutpoint_upperbound,q2,10466,0.2595734126984127
OptimalCutpoint_upperbound,q3,6733,0.1669890873015873
OptimalCutpoint_upperbound,q4,3036,0.07529761904761904
OptimalCutpoint_upperbound,q5,0,0.0
