dispersion,seed,load,scenario_index,method,utility,adr_kbps,served_ratio,average_quality,system_spectral_efficiency,fairness
low,seed_0001,light,0,No grouping,0.5290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0
low,seed_0001,light,0,CQI k-means,0.5290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0
low,seed_0001,light,0,CQI k-means (k-means++),0.5290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0
low,seed_0001,light,0,Resource-cost k-means,0.5290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0
low,seed_0001,light,0,Multi-feature k-means,0.5290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0
low,seed_0001,light,0,CQI+resource-cost hybrid (paper method),0.5290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0
low,seed_0001,light,0,Offline teacher,0.5290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0
low,seed_0001,light,1,No grouping,0.5290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0
low,seed_0001,light,1,CQI k-means,0.5290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0
low,seed_0001,light,1,CQI k-means (k-means++),0.5290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0
low,seed_0001,light,1,Resource-cost k-means,0.5290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0
low,seed_0001,light,1,Multi-feature k-means,0.5290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0
low,seed_0001,light,1,CQI+resource-cost hybrid (paper method),0.5290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0
low,seed_0001,light,1,Offline teacher,0.5290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0
low,seed_0001,light,2,No grouping,0.5290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0
low,seed_0001,light,2,CQI k-means,0.5290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0
low,seed_0001,light,2,CQI k-means (k-means++),0.5290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0
low,seed_0001,light,2,Resource-cost k-means,0.5290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0
low,seed_0001,light,2,Multi-feature k-means,0.5290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0
low,seed_0001,light,2,CQI+resource-cost hybrid (paper method),0.5290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0
low,seed_0001,light,2,Offline teacher,0.5290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0
