dispersion,load,seed,method,mean_utility,n_scenarios
high,heavy,seed_0001,No grouping,-0.4,15
high,heavy,seed_0001,CQI k-means,-0.07106023854625827,15
high,heavy,seed_0001,CQI k-means (k-means++),-0.06558733929349131,15
high,heavy,seed_0001,Resource-cost k-means,-0.052652994084107604,15
high,heavy,seed_0001,Multi-feature k-means,-0.08598632741744096,15
high,heavy,seed_0001,CQI+resource-cost hybrid (paper method),-0.021475118539175792,15
high,heavy,seed_0001,Offline teacher,0.00373232145728296,15
high,heavy,seed_0002,No grouping,-1.2,15
high,heavy,seed_0002,CQI k-means,-0.2754538104258499,15
high,heavy,seed_0002,CQI k-means (k-means++),-0.2708933274617065,15
high,heavy,seed_0002,Resource-cost k-means,-0.24228738817706835,15
high,heavy,seed_0002,Multi-feature k-means,-0.2748736178273552,15
high,heavy,seed_0002,CQI+resource-cost hybrid (paper method),-0.2167477244904807,15
high,heavy,seed_0002,Offline teacher,-0.06202192892076011,15
high,heavy,seed_0003,No grouping,-0.4,15
high,heavy,seed_0003,CQI k-means,-0.10008265630278858,15
high,heavy,seed_0003,CQI k-means (k-means++),-0.1062184044568388,15
high,heavy,seed_0003,Resource-cost k-means,-0.053150530379813696,15
high,heavy,seed_0003,Multi-feature k-means,-0.05870608593536926,15
high,heavy,seed_0003,CQI+resource-cost hybrid (paper method),-0.053150530379813696,15
high,heavy,seed_0003,Offline teacher,0.00033382216910351483,15
high,heavy,seed_0004,No grouping,-0.8,15
high,heavy,seed_0004,CQI k-means,-0.13515656743160592,15
high,heavy,seed_0004,CQI k-means (k-means++),-0.1214751185391758,15
high,heavy,seed_0004,Resource-cost k-means,-0.09709743852855204,15
high,heavy,seed_0004,Multi-feature k-means,-0.07388014371491765,15
high,heavy,seed_0004,CQI+resource-cost hybrid (paper method),-0.07288507112350547,15
high,heavy,seed_0004,Offline teacher,-0.020230478560423273,15
high,heavy,seed_0005,No grouping,-0.9333333333333333,15
high,heavy,seed_0005,CQI k-means,-0.22719598670030852,15
high,heavy,seed_0005,CQI k-means (k-means++),-0.2150898029977852,15
high,heavy,seed_0005,Resource-cost k-means,-0.19311714816290335,15
high,heavy,seed_0005,Multi-feature k-means,-0.18822444150863102,15
high,heavy,seed_0005,CQI+resource-cost hybrid (paper method),-0.17313304003187122,15
