dispersion,load,method,mean_utility,std_utility,mean_diff_vs_cqi,seeds_win,seeds_tie,seeds_loss
low,light,No grouping,0.529078111650274,0.0,0.0,0,10,0
low,light,CQI k-means,0.529078111650274,0.0,0.0,0,10,0
low,light,Resource-cost k-means,0.529078111650274,0.0,0.0,0,10,0
low,light,Multi-feature k-means,0.529078111650274,0.0,0.0,0,10,0
low,light,CQI+resource-cost hybrid (paper method),0.529078111650274,0.0,0.0,0,10,0
low,light,Offline teacher,0.529078111650274,0.0,0.0,0,10,0
low,medium,No grouping,0.44827609719823514,0.002183838228433477,0.0,0,10,0
low,medium,CQI k-means,0.44827609719823514,0.002183838228433477,0.0,0,10,0
low,medium,Resource-cost k-means,0.44827609719823514,0.002183838228433477,0.0,0,10,0
low,medium,Multi-feature k-means,0.44827609719823514,0.002183838228433477,0.0,0,10,0
low,medium,CQI+resource-cost hybrid (paper method),0.44827609719823514,0.002183838228433477,0.0,0,10,0
low,medium,Offline teacher,0.44827609719823514,0.002183838228433477,0.0,0,10,0
low,heavy,No grouping,0.35475756952423243,0.003536466504765934,-0.0005243953927851708,0,9,1
low,heavy,CQI k-means,0.3552819649170176,0.0019632803264104212,0.0,0,10,0
low,heavy,Resource-cost k-means,0.35475756952423243,0.003536466504765934,-0.0005243953927851708,0,9,1
low,heavy,Multi-feature k-means,0.35475756952423243,0.003536466504765934,-0.0005243953927851708,0,9,1
low,heavy,CQI+resource-cost hybrid (paper method),0.3552819649170176,0.0019632803264104212,0.0,0,10,0
low,heavy,Offline teacher,0.3552819649170176,0.0019632803264104212,0.0,0,10,0
mid,light,No grouping,0.4058941448871214,0.015456780367424953,-0.03658949819448194,0,0,10
mid,light,CQI k-means,0.4424836430816034,0.009546364451323697,0.0,0,10,0
mid,light,Resource-cost k-means,0.4428522121513995,0.004096055595116331,0.0003685690697961652,5,0,5
mid,light,Multi-feature k-means,0.44198713915168675,0.0056683530043415324,-0.0004965039299165919,5,0,5
mid,light,CQI+resource-cost hybrid (paper method),0.4480267014523836,0.006937979595922434,0.005543058370780207,10,0,0
mid,light,Offline teacher,0.4581068403860411,0.00828643157037999,0.015623197304437796,10,0,0
mid,medium,No grouping,0.3147154307871837,0.014422316184909278,-0.03989898407045424,0,0,10
mid,medium,CQI k-means,0.35461441485763795,0.0065693329052651205,0.0,0,10,0
mid,medium,Resource-cost k-means,0.3547548444208562,0.0034057532539313825,0.00014042956321816958,4,0,6
mid,medium,Multi-feature k-means,0.35487657059070915,0.004587523400800044,0.00026215573307117324,5,0,5
mid,medium,CQI+resource-cost hybrid (paper method),0.3601062551394866,0.00475681828531534,0.005491840281848581,10,0,0
mid,medium,Offline teacher,0.3722417402780197,0.008861570681607272,0.01762732542038173,10,0,0
mid,heavy,No grouping,0.15284315004091037,0.013925328989768313,-0.018898113606552504,0,0,10
mid,heavy,CQI k-means,0.17174126364746284,0.004153799147988823,0.0,0,10,0
mid,heavy,Resource-cost k-means,0.16256179891563427,0.009372165215727219,-0.00917946473182859,2,0,8
mid,heavy,Multi-feature k-means,0.16574603120815326,0.007950603439994817,-0.005995232439309622,3,0,7
mid,heavy,CQI+resource-cost hybrid (paper method),0.1729353507571575,0.0037086135170779654,0.0011940871096946192,5,5,0
mid,heavy,Offline teacher,0.17554939859190827,0.002606396023634095,0.0038081349444453764,9,1,0
high,light,No grouping,0.1575889685968102,0.013917606968535971,-0.1202873469485857,0,0,10
high,light,CQI k-means,0.27787631554539594,0.012140926632756554,0.0,0,10,0
high,light,Resource-cost k-means,0.2841988080396137,0.011087389306343136,0.006322492494217824,10,0,0
high,light,Multi-feature k-means,0.27965936715687256,0.010915323236828332,0.0017830516114767324,7,0,3
high,light,CQI+resource-cost hybrid (paper method),0.2899388007542182,0.010781072643646585,0.0120624852088223,10,0,0
high,light,Offline teacher,0.3146338744426139,0.009298916845571173,0.036757558897218004,10,0,0
high,medium,No grouping,0.0692570523622875,0.03150218153993509,-0.09171292371778807,0,0,10
high,medium,CQI k-means,0.16096997608007557,0.017968143264821795,0.0,0,10,0
high,medium,Resource-cost k-means,0.15049191170325782,0.019045310236279187,-0.010478064376817746,2,0,8
high,medium,Multi-feature k-means,0.15469645558604128,0.01568773367081092,-0.006273520494034282,3,0,7
high,medium,CQI+resource-cost hybrid (paper method),0.16974471776163658,0.01715141960504378,0.008774741681561038,10,0,0
high,medium,Offline teacher,0.20673619309356717,0.012180234507906965,0.04576621701349162,10,0,0
high,heavy,No grouping,-0.6533333333333333,0.2887521043694362,-0.5150758293035869,0,0,10
high,heavy,CQI k-means,-0.13825750402974646,0.07774332488796182,0.0,0,10,0
high,heavy,Resource-cost k-means,-0.11095310504842804,0.06961636360297382,0.02730439898131843,9,0,1
high,heavy,Multi-feature k-means,-0.12500746639079155,0.0684681432783721,0.013250037638954914,6,0,4
high,heavy,CQI+resource-cost hybrid (paper method),-0.09667413305745823,0.06748957921503455,0.041583370972288244,9,1,0
high,heavy,Offline teacher,-0.012850889667107828,0.021390313548325622,0.12540661436263864,10,0,0
