dispersion,load,method,mean_utility,std_utility_across_seeds,mean_diff_vs_cqi,diff_vs_cqi_ci95_low,diff_vs_cqi_ci95_high,seeds_win_vs_cqi,seeds_tie_vs_cqi,seeds_loss_vs_cqi,mean_diff_vs_2way,diff_vs_2way_ci95_low,diff_vs_2way_ci95_high,seeds_win_vs_2way,seeds_tie_vs_2way,seeds_loss_vs_2way,mean_diff_vs_3way,diff_vs_3way_ci95_low,diff_vs_3way_ci95_high,seeds_win_vs_3way,seeds_tie_vs_3way,seeds_loss_vs_3way,mean_adr_kbps,mean_served_ratio,mean_average_quality,mean_system_spectral_efficiency,mean_fairness,mean_avg_switching,mean_quality_switch_rate,mean_quality_change_levels,mean_pairwise_group_churn,mean_groups,mean_switching_admission_rate
low,light,CQI k-means,0.9290781116502738,0.0,0.0,0.0,0.0,0,10,0,0.0,0.0,0.0,0,10,0,0.0,0.0,0.0,0,10,0,5800.0,1.0,4.0,64.44444444444444,1.0,0.0,0.0,0.0,0.0,1.0,nan
low,light,CQI+cost 2-way union,0.9290781116502738,0.0,0.0,0.0,0.0,0,10,0,0.0,0.0,0.0,0,10,0,0.0,0.0,0.0,0,10,0,5800.0,1.0,4.0,64.44444444444444,1.0,0.0,0.0,0.0,0.0,1.0,nan
low,light,CQI+cost+switching 3-way union,0.9290781116502738,0.0,0.0,0.0,0.0,0,10,0,0.0,0.0,0.0,0,10,0,0.0,0.0,0.0,0,10,0,5800.0,1.0,4.0,64.44444444444444,1.0,0.0,0.0,0.0,0.0,1.0,nan
low,light,Conditional switching gate (LOSO),0.9290781116502738,0.0,0.0,0.0,0.0,0,10,0,0.0,0.0,0.0,0,10,0,0.0,0.0,0.0,0,10,0,5800.0,1.0,4.0,64.44444444444444,1.0,0.0,0.0,0.0,0.0,1.0,0.0
low,medium,CQI k-means,0.7469255199921075,0.0005173161838212925,0.0,0.0,0.0,0,10,0,0.0,0.0,0.0,0,10,0,0.0,0.0,0.0,0,10,0,3040.0,1.0,3.0142857142857142,67.55555555555554,1.0,0.005714285714285715,0.02857142857142857,0.02857142857142857,0.0,1.0,nan
low,medium,CQI+cost 2-way union,0.7469255199921075,0.0005173161838212925,0.0,0.0,0.0,0,10,0,0.0,0.0,0.0,0,10,0,0.0,0.0,0.0,0,10,0,3040.0,1.0,3.0142857142857142,67.55555555555554,1.0,0.005714285714285715,0.02857142857142857,0.02857142857142857,0.0,1.0,nan
low,medium,CQI+cost+switching 3-way union,0.7469255199921075,0.0005173161838212925,0.0,0.0,0.0,0,10,0,0.0,0.0,0.0,0,10,0,0.0,0.0,0.0,0,10,0,3040.0,1.0,3.0142857142857142,67.55555555555554,1.0,0.005714285714285715,0.02857142857142857,0.02857142857142857,0.0,1.0,nan
low,medium,Conditional switching gate (LOSO),0.7469255199921075,0.0005173161838212925,0.0,0.0,0.0,0,10,0,0.0,0.0,0.0,0,10,0,0.0,0.0,0.0,0,10,0,3040.0,1.0,3.0142857142857142,67.55555555555554,1.0,0.005714285714285715,0.02857142857142857,0.02857142857142857,0.0,1.0,0.0
low,heavy,CQI k-means,0.5551756963378172,0.0022820860640111796,0.0,0.0,0.0,0,10,0,0.0,0.0,0.0,0,10,0,0.0,0.0,0.0,0,10,0,1499.5535714285713,0.9997023809523811,2.0,99.9702380952381,0.9997023809523811,0.0,0.0,0.0,0.0011904761904761904,1.0071428571428571,nan
low,heavy,CQI+cost 2-way union,0.5551756963378172,0.0022820860640111796,0.0,0.0,0.0,0,10,0,0.0,0.0,0.0,0,10,0,0.0,0.0,0.0,0,10,0,1499.5535714285713,0.9997023809523811,2.0,99.9702380952381,0.9997023809523811,0.0,0.0,0.0,0.0011904761904761904,1.0071428571428571,nan
low,heavy,CQI+cost+switching 3-way union,0.5551756963378172,0.0022820860640111796,0.0,0.0,0.0,0,10,0,0.0,0.0,0.0,0,10,0,0.0,0.0,0.0,0,10,0,1499.5535714285713,0.9997023809523811,2.0,99.9702380952381,0.9997023809523811,0.0,0.0,0.0,0.0011904761904761904,1.0071428571428571,nan
low,heavy,Conditional switching gate (LOSO),0.5551756963378172,0.0022820860640111796,0.0,0.0,0.0,0,10,0,0.0,0.0,0.0,0,10,0,0.0,0.0,0.0,0,10,0,1499.5535714285713,0.9997023809523811,2.0,99.9702380952381,0.9997023809523811,0.0,0.0,0.0,0.0011904761904761904,1.0071428571428571,0.0
mid,light,CQI k-means,0.6930254949247254,0.019041201729980903,0.0,0.0,0.0,0,10,0,-0.02388415125975112,-0.033808699382698905,-0.014848854244001931,0,0,10,-0.023788292484719465,-0.03427154255784723,-0.013845737475287273,1,0,9,3135.074404761905,0.9997023809523811,2.9491071428571427,34.83416005291005,0.9315684776550178,0.0768452380952381,0.2833333333333333,0.38422619047619044,0.3383281573498964,1.6928571428571426,nan
mid,light,CQI+cost 2-way union,0.7169096461844766,0.007394106575185089,0.02388415125975112,0.014869949991016606,0.03394219809334306,10,0,0,0.0,0.0,0.0,0,10,0,9.585877503165419e-05,-0.0025431663147396644,0.003586627961543851,1,4,5,3077.127976190476,1.0,2.975892857142857,34.19031084656084,0.9656135187769216,0.04470238095238095,0.16577380952380952,0.22351190476190474,0.1721790890269151,1.542857142857143,nan
mid,light,CQI+cost+switching 3-way union,0.716813787409445,0.0073080477750470454,0.023788292484719465,0.013852717937872468,0.03426377067683123,9,0,1,-9.585877503165419e-05,-0.003587399473889396,0.0025542476859988783,5,4,1,0.0,0.0,0.0,0,10,0,3194.21130952381,1.0,2.99672619047619,35.491236772486765,0.9491570836527691,0.049702380952380956,0.175,0.24851190476190474,0.1791407867494824,1.607142857142857,nan
mid,light,Conditional switching gate (LOSO),0.7163402017587333,0.007437472370856633,0.023314706834007725,0.013583894772005597,0.03403498895942524,9,0,1,-0.0005694444257433928,-0.003893585222481477,0.0018468240903629196,2,7,1,-0.0004735856507117386,-0.0008790615031179731,-0.00011904761904760753,0,6,4,3193.7648809523807,1.0,2.996428571428571,35.48627645502645,0.9491002053458908,0.050535714285714295,0.17708333333333331,0.2526785714285714,0.18410973084886129,1.607142857142857,0.049999999999999996
mid,medium,CQI k-means,0.5186899397244118,0.017466362324206827,0.0,0.0,0.0,0,10,0,-0.023461127700432644,-0.033570946894467,-0.01611716752959845,0,0,10,-0.025022189983533377,-0.03641512187271516,-0.01568817484817509,0,0,10,1723.8839285714287,0.9994047619047619,2.0816899585921322,38.30853174603174,0.9197249218403899,0.07607142857142858,0.28124999999999994,0.38035714285714284,0.24174430641821948,1.5214285714285716,nan
mid,medium,CQI+cost 2-way union,0.5421510674248444,0.006974159878989756,0.023461127700432644,0.016068331214682367,0.033572803346753124,10,0,0,0.0,0.0,0.0,0,10,0,-0.0015610622831007336,-0.005452731497506913,0.0009114563521446795,1,7,2,1674.4642857142856,0.9988095238095237,2.0898809523809527,37.210317460317455,0.9643842204468731,0.043750000000000004,0.1773809523809524,0.21875,0.1421583850931677,1.4499999999999997,nan
