dispersion,load,seed,method,n_transitions,mean_utility,mean_adr_kbps,mean_served_ratio,mean_average_quality,mean_system_spectral_efficiency,mean_fairness,mean_avg_switching,mean_quality_switch_rate,mean_quality_change_levels,mean_pairwise_group_churn,mean_groups,selected_eta_label,switching_admission_rate
low,light,seed_0001,CQI k-means,14,0.9290781116502738,5800.0,1.0,4.0,64.44444444444444,1.0,0.0,0.0,0.0,0.0,1.0,,nan
low,light,seed_0001,CQI+cost 2-way union,14,0.9290781116502738,5800.0,1.0,4.0,64.44444444444444,1.0,0.0,0.0,0.0,0.0,1.0,,nan
low,light,seed_0001,CQI+cost+switching 3-way union,14,0.9290781116502738,5800.0,1.0,4.0,64.44444444444444,1.0,0.0,0.0,0.0,0.0,1.0,,nan
low,light,seed_0001,Conditional switching gate (LOSO),14,0.9290781116502738,5800.0,1.0,4.0,64.44444444444444,1.0,0.0,0.0,0.0,0.0,1.0,eta_0.020,0.0
low,light,seed_0002,CQI k-means,14,0.9290781116502738,5800.0,1.0,4.0,64.44444444444444,1.0,0.0,0.0,0.0,0.0,1.0,,nan
low,light,seed_0002,CQI+cost 2-way union,14,0.9290781116502738,5800.0,1.0,4.0,64.44444444444444,1.0,0.0,0.0,0.0,0.0,1.0,,nan
low,light,seed_0002,CQI+cost+switching 3-way union,14,0.9290781116502738,5800.0,1.0,4.0,64.44444444444444,1.0,0.0,0.0,0.0,0.0,1.0,,nan
low,light,seed_0002,Conditional switching gate (LOSO),14,0.9290781116502738,5800.0,1.0,4.0,64.44444444444444,1.0,0.0,0.0,0.0,0.0,1.0,eta_0.020,0.0
low,light,seed_0003,CQI k-means,14,0.9290781116502738,5800.0,1.0,4.0,64.44444444444444,1.0,0.0,0.0,0.0,0.0,1.0,,nan
low,light,seed_0003,CQI+cost 2-way union,14,0.9290781116502738,5800.0,1.0,4.0,64.44444444444444,1.0,0.0,0.0,0.0,0.0,1.0,,nan
low,light,seed_0003,CQI+cost+switching 3-way union,14,0.9290781116502738,5800.0,1.0,4.0,64.44444444444444,1.0,0.0,0.0,0.0,0.0,1.0,,nan
low,light,seed_0003,Conditional switching gate (LOSO),14,0.9290781116502738,5800.0,1.0,4.0,64.44444444444444,1.0,0.0,0.0,0.0,0.0,1.0,eta_0.020,0.0
low,light,seed_0004,CQI k-means,14,0.9290781116502738,5800.0,1.0,4.0,64.44444444444444,1.0,0.0,0.0,0.0,0.0,1.0,,nan
low,light,seed_0004,CQI+cost 2-way union,14,0.9290781116502738,5800.0,1.0,4.0,64.44444444444444,1.0,0.0,0.0,0.0,0.0,1.0,,nan
low,light,seed_0004,CQI+cost+switching 3-way union,14,0.9290781116502738,5800.0,1.0,4.0,64.44444444444444,1.0,0.0,0.0,0.0,0.0,1.0,,nan
low,light,seed_0004,Conditional switching gate (LOSO),14,0.9290781116502738,5800.0,1.0,4.0,64.44444444444444,1.0,0.0,0.0,0.0,0.0,1.0,eta_0.020,0.0
low,light,seed_0005,CQI k-means,14,0.9290781116502738,5800.0,1.0,4.0,64.44444444444444,1.0,0.0,0.0,0.0,0.0,1.0,,nan
low,light,seed_0005,CQI+cost 2-way union,14,0.9290781116502738,5800.0,1.0,4.0,64.44444444444444,1.0,0.0,0.0,0.0,0.0,1.0,,nan
low,light,seed_0005,CQI+cost+switching 3-way union,14,0.9290781116502738,5800.0,1.0,4.0,64.44444444444444,1.0,0.0,0.0,0.0,0.0,1.0,,nan
low,light,seed_0005,Conditional switching gate (LOSO),14,0.9290781116502738,5800.0,1.0,4.0,64.44444444444444,1.0,0.0,0.0,0.0,0.0,1.0,eta_0.020,0.0
low,light,seed_0006,CQI k-means,14,0.9290781116502738,5800.0,1.0,4.0,64.44444444444444,1.0,0.0,0.0,0.0,0.0,1.0,,nan
low,light,seed_0006,CQI+cost 2-way union,14,0.9290781116502738,5800.0,1.0,4.0,64.44444444444444,1.0,0.0,0.0,0.0,0.0,1.0,,nan
low,light,seed_0006,CQI+cost+switching 3-way union,14,0.9290781116502738,5800.0,1.0,4.0,64.44444444444444,1.0,0.0,0.0,0.0,0.0,1.0,,nan
low,light,seed_0006,Conditional switching gate (LOSO),14,0.9290781116502738,5800.0,1.0,4.0,64.44444444444444,1.0,0.0,0.0,0.0,0.0,1.0,eta_0.005,0.0
low,light,seed_0007,CQI k-means,14,0.9290781116502738,5800.0,1.0,4.0,64.44444444444444,1.0,0.0,0.0,0.0,0.0,1.0,,nan
low,light,seed_0007,CQI+cost 2-way union,14,0.9290781116502738,5800.0,1.0,4.0,64.44444444444444,1.0,0.0,0.0,0.0,0.0,1.0,,nan
low,light,seed_0007,CQI+cost+switching 3-way union,14,0.9290781116502738,5800.0,1.0,4.0,64.44444444444444,1.0,0.0,0.0,0.0,0.0,1.0,,nan
low,light,seed_0007,Conditional switching gate (LOSO),14,0.9290781116502738,5800.0,1.0,4.0,64.44444444444444,1.0,0.0,0.0,0.0,0.0,1.0,eta_0.020,0.0
low,light,seed_0008,CQI k-means,14,0.9290781116502738,5800.0,1.0,4.0,64.44444444444444,1.0,0.0,0.0,0.0,0.0,1.0,,nan
low,light,seed_0008,CQI+cost 2-way union,14,0.9290781116502738,5800.0,1.0,4.0,64.44444444444444,1.0,0.0,0.0,0.0,0.0,1.0,,nan
low,light,seed_0008,CQI+cost+switching 3-way union,14,0.9290781116502738,5800.0,1.0,4.0,64.44444444444444,1.0,0.0,0.0,0.0,0.0,1.0,,nan
low,light,seed_0008,Conditional switching gate (LOSO),14,0.9290781116502738,5800.0,1.0,4.0,64.44444444444444,1.0,0.0,0.0,0.0,0.0,1.0,eta_0.020,0.0
low,light,seed_0009,CQI k-means,14,0.9290781116502738,5800.0,1.0,4.0,64.44444444444444,1.0,0.0,0.0,0.0,0.0,1.0,,nan
low,light,seed_0009,CQI+cost 2-way union,14,0.9290781116502738,5800.0,1.0,4.0,64.44444444444444,1.0,0.0,0.0,0.0,0.0,1.0,,nan
low,light,seed_0009,CQI+cost+switching 3-way union,14,0.9290781116502738,5800.0,1.0,4.0,64.44444444444444,1.0,0.0,0.0,0.0,0.0,1.0,,nan
low,light,seed_0009,Conditional switching gate (LOSO),14,0.9290781116502738,5800.0,1.0,4.0,64.44444444444444,1.0,0.0,0.0,0.0,0.0,1.0,eta_0.020,0.0
low,light,seed_0010,CQI k-means,14,0.9290781116502738,5800.0,1.0,4.0,64.44444444444444,1.0,0.0,0.0,0.0,0.0,1.0,,nan
low,light,seed_0010,CQI+cost 2-way union,14,0.9290781116502738,5800.0,1.0,4.0,64.44444444444444,1.0,0.0,0.0,0.0,0.0,1.0,,nan
low,light,seed_0010,CQI+cost+switching 3-way union,14,0.9290781116502738,5800.0,1.0,4.0,64.44444444444444,1.0,0.0,0.0,0.0,0.0,1.0,,nan
low,light,seed_0010,Conditional switching gate (LOSO),14,0.9290781116502738,5800.0,1.0,4.0,64.44444444444444,1.0,0.0,0.0,0.0,0.0,1.0,eta_0.020,0.0
low,medium,seed_0001,CQI k-means,14,0.7471841780840182,3000.0,1.0,3.0,66.66666666666666,1.0,0.0,0.0,0.0,0.0,1.0,,nan
low,medium,seed_0001,CQI+cost 2-way union,14,0.7471841780840182,3000.0,1.0,3.0,66.66666666666666,1.0,0.0,0.0,0.0,0.0,1.0,,nan
low,medium,seed_0001,CQI+cost+switching 3-way union,14,0.7471841780840182,3000.0,1.0,3.0,66.66666666666666,1.0,0.0,0.0,0.0,0.0,1.0,,nan
low,medium,seed_0001,Conditional switching gate (LOSO),14,0.7471841780840182,3000.0,1.0,3.0,66.66666666666666,1.0,0.0,0.0,0.0,0.0,1.0,eta_0.020,0.0
low,medium,seed_0002,CQI k-means,14,0.7471841780840182,3000.0,1.0,3.0,66.66666666666666,1.0,0.0,0.0,0.0,0.0,1.0,,nan
