dispersion,load,method,mean_utility,mean_diff_vs_cqi,diff_vs_cqi_ci95_low,diff_vs_cqi_ci95_high,seeds_win_vs_cqi,seeds_tie_vs_cqi,seeds_loss_vs_cqi,mean_diff_vs_2way,diff_vs_2way_ci95_low,diff_vs_2way_ci95_high,seeds_win_vs_2way,seeds_tie_vs_2way,seeds_loss_vs_2way,mean_diff_vs_3way,diff_vs_3way_ci95_low,diff_vs_3way_ci95_high,seeds_win_vs_3way,seeds_tie_vs_3way,seeds_loss_vs_3way
low,light,CQI k-means,0.9290781116502738,0.0,0.0,0.0,0,20,0,0.0,0.0,0.0,0,20,0,0.0,0.0,0.0,0,20,0
low,light,CQI+cost 2-way union,0.9290781116502738,0.0,0.0,0.0,0,20,0,0.0,0.0,0.0,0,20,0,0.0,0.0,0.0,0,20,0
low,light,CQI+cost+switching 3-way union,0.9290781116502738,0.0,0.0,0.0,0,20,0,0.0,0.0,0.0,0,20,0,0.0,0.0,0.0,0,20,0
low,light,"Conditional switching gate (fixed eta=.020, confirmatory)",0.9290781116502738,0.0,0.0,0.0,0,20,0,0.0,0.0,0.0,0,20,0,0.0,0.0,0.0,0,20,0
low,medium,CQI k-means,0.7465797482639734,0.0,0.0,0.0,0,20,0,-0.000213746472312476,-0.000641239416937428,0.0,0,19,1,-0.000213746472312476,-0.000641239416937428,0.0,0,19,1
low,medium,CQI+cost 2-way union,0.7467934947362859,0.000213746472312476,0.0,0.000641239416937428,1,19,0,0.0,0.0,0.0,0,20,0,0.0,0.0,0.0,0,20,0
low,medium,CQI+cost+switching 3-way union,0.7467934947362859,0.000213746472312476,0.0,0.000641239416937428,1,19,0,0.0,0.0,0.0,0,20,0,0.0,0.0,0.0,0,20,0
low,medium,"Conditional switching gate (fixed eta=.020, confirmatory)",0.7467934947362859,0.000213746472312476,0.0,0.000641239416937428,1,19,0,0.0,0.0,0.0,0,20,0,0.0,0.0,0.0,0,20,0
low,heavy,CQI k-means,0.5507978084458867,0.0,0.0,0.0,0,20,0,-0.0022648378625536704,-0.005852268495051771,0.0,0,18,2,-0.0022648378625536704,-0.005852268495051771,0.0,0,18,2
low,heavy,CQI+cost 2-way union,0.5530626463084405,0.0022648378625536704,0.0,0.005852268495051771,2,18,0,0.0,0.0,0.0,0,20,0,0.0,0.0,0.0,0,20,0
low,heavy,CQI+cost+switching 3-way union,0.5530626463084405,0.0022648378625536704,0.0,0.005852268495051771,2,18,0,0.0,0.0,0.0,0,20,0,0.0,0.0,0.0,0,20,0
low,heavy,"Conditional switching gate (fixed eta=.020, confirmatory)",0.5530626463084405,0.0022648378625536704,0.0,0.005852268495051771,2,18,0,0.0,0.0,0.0,0,20,0,0.0,0.0,0.0,0,20,0
mid,light,CQI k-means,0.687539394596664,0.0,0.0,0.0,0,20,0,-0.01980639986605427,-0.02722314267790017,-0.012532680770510531,3,0,17,-0.02103509789176572,-0.028500311668287103,-0.013477132380484595,3,0,17
mid,light,CQI+cost 2-way union,0.7073457944627182,0.01980639986605427,0.012517705751092296,0.027226005220289177,17,0,3,0.0,0.0,0.0,0,20,0,-0.00122869802571145,-0.0033642651583293275,0.0008282557317746936,3,4,13
mid,light,CQI+cost+switching 3-way union,0.7085744924884297,0.02103509789176572,0.013572136859333872,0.028383349961894788,17,0,3,0.00122869802571145,-0.0008267936162569828,0.003364806024435566,13,4,3,0.0,0.0,0.0,0,20,0
mid,light,"Conditional switching gate (fixed eta=.020, confirmatory)",0.7090781444349263,0.021538749838262268,0.014684692420147305,0.028441703583418087,18,0,2,0.001732349972207997,0.0006576629567680237,0.0030051080970456582,8,12,0,0.0005036519464965472,-0.0011404144599810144,0.002375778923648367,5,5,10
mid,medium,CQI k-means,0.518524799065115,0.0,0.0,0.0,0,20,0,-0.01444286723245126,-0.0196926201362591,-0.009587646270241468,1,0,19,-0.01378356643564307,-0.01943309898062135,-0.008688590613825433,1,0,19
mid,medium,CQI+cost 2-way union,0.5329676662975662,0.01444286723245126,0.009582430677058988,0.019691336496775305,19,0,1,0.0,0.0,0.0,0,20,0,0.0006593007968081876,-0.0011934430752901155,0.003013302849507547,4,11,5
mid,medium,CQI+cost+switching 3-way union,0.5323083655007581,0.01378356643564307,0.008685715006995684,0.019393897539940197,19,0,1,-0.0006593007968081876,-0.0030404998758977258,0.001180388561611149,5,11,4,0.0,0.0,0.0,0,20,0
mid,medium,"Conditional switching gate (fixed eta=.020, confirmatory)",0.5335656734791433,0.015040874414028363,0.010191799273111403,0.020362429525980212,19,0,1,0.0005980071815771037,-0.00035014422513424126,0.001696824086720464,4,14,2,0.0012573079783852914,-8.643723841722517e-05,0.00342906717550166,3,16,1
