dispersion,load,seed,method,mean_utility
low,light,seed_0011,CQI k-means,0.9290781116502738
low,light,seed_0011,CQI+cost 2-way union,0.9290781116502738
low,light,seed_0011,CQI+cost+switching 3-way union,0.9290781116502738
low,light,seed_0011,"Conditional switching gate (fixed eta=.020, confirmatory)",0.9290781116502738
low,light,seed_0012,CQI k-means,0.9290781116502738
low,light,seed_0012,CQI+cost 2-way union,0.9290781116502738
low,light,seed_0012,CQI+cost+switching 3-way union,0.9290781116502738
low,light,seed_0012,"Conditional switching gate (fixed eta=.020, confirmatory)",0.9290781116502738
low,light,seed_0013,CQI k-means,0.9290781116502738
low,light,seed_0013,CQI+cost 2-way union,0.9290781116502738
low,light,seed_0013,CQI+cost+switching 3-way union,0.9290781116502738
low,light,seed_0013,"Conditional switching gate (fixed eta=.020, confirmatory)",0.9290781116502738
low,light,seed_0014,CQI k-means,0.9290781116502738
low,light,seed_0014,CQI+cost 2-way union,0.9290781116502738
low,light,seed_0014,CQI+cost+switching 3-way union,0.9290781116502738
low,light,seed_0014,"Conditional switching gate (fixed eta=.020, confirmatory)",0.9290781116502738
low,light,seed_0015,CQI k-means,0.9290781116502738
low,light,seed_0015,CQI+cost 2-way union,0.9290781116502738
low,light,seed_0015,CQI+cost+switching 3-way union,0.9290781116502738
low,light,seed_0015,"Conditional switching gate (fixed eta=.020, confirmatory)",0.9290781116502738
low,light,seed_0016,CQI k-means,0.9290781116502738
low,light,seed_0016,CQI+cost 2-way union,0.9290781116502738
low,light,seed_0016,CQI+cost+switching 3-way union,0.9290781116502738
low,light,seed_0016,"Conditional switching gate (fixed eta=.020, confirmatory)",0.9290781116502738
low,light,seed_0017,CQI k-means,0.9290781116502738
low,light,seed_0017,CQI+cost 2-way union,0.9290781116502738
low,light,seed_0017,CQI+cost+switching 3-way union,0.9290781116502738
low,light,seed_0017,"Conditional switching gate (fixed eta=.020, confirmatory)",0.9290781116502738
low,light,seed_0018,CQI k-means,0.9290781116502738
low,light,seed_0018,CQI+cost 2-way union,0.9290781116502738
low,light,seed_0018,CQI+cost+switching 3-way union,0.9290781116502738
