dispersion,load,seed,step,is_warmup,method,utility,adr_kbps,served_ratio,average_quality,system_spectral_efficiency,fairness,avg_switching,quality_switch_rate,quality_change_levels,pairwise_group_churn,groups,eta,eta_label,best_2way_candidate_utility,best_switching_candidate_utility,switching_margin,switching_admitted,selected_source,unique_candidate_count
low,light,seed_0011,0,1,CQI k-means,0.5290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0,0.8000000000000002,1.0,4.0,0.0,1,,,,,,,,
low,light,seed_0011,1,0,CQI k-means,0.9290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0,0.0,0.0,0.0,0.0,1,,,,,,,,
low,light,seed_0011,2,0,CQI k-means,0.9290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0,0.0,0.0,0.0,0.0,1,,,,,,,,
low,light,seed_0011,3,0,CQI k-means,0.9290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0,0.0,0.0,0.0,0.0,1,,,,,,,,
low,light,seed_0011,4,0,CQI k-means,0.9290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0,0.0,0.0,0.0,0.0,1,,,,,,,,
low,light,seed_0011,5,0,CQI k-means,0.9290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0,0.0,0.0,0.0,0.0,1,,,,,,,,
low,light,seed_0011,6,0,CQI k-means,0.9290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0,0.0,0.0,0.0,0.0,1,,,,,,,,
low,light,seed_0011,7,0,CQI k-means,0.9290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0,0.0,0.0,0.0,0.0,1,,,,,,,,
low,light,seed_0011,8,0,CQI k-means,0.9290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0,0.0,0.0,0.0,0.0,1,,,,,,,,
low,light,seed_0011,9,0,CQI k-means,0.9290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0,0.0,0.0,0.0,0.0,1,,,,,,,,
low,light,seed_0011,10,0,CQI k-means,0.9290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0,0.0,0.0,0.0,0.0,1,,,,,,,,
low,light,seed_0011,11,0,CQI k-means,0.9290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0,0.0,0.0,0.0,0.0,1,,,,,,,,
low,light,seed_0011,12,0,CQI k-means,0.9290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0,0.0,0.0,0.0,0.0,1,,,,,,,,
low,light,seed_0011,13,0,CQI k-means,0.9290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0,0.0,0.0,0.0,0.0,1,,,,,,,,
