scope,method,mean_utility,mean_diff_vs_cqi,diff_vs_cqi_ci95_low,diff_vs_cqi_ci95_high,seeds_win_vs_cqi,seeds_tie_vs_cqi,seeds_loss_vs_cqi
mid_high_6_cells,CQI,0.3278005522513433,0.0,0.0,0.0,0,20,0
mid_high_6_cells,CQI+cost,0.34930393313590136,0.02150338088455805,0.0168926357791944,0.026581062031742028,20,0,0
mid_high_6_cells,CQI+switching,0.332558779007852,0.004758226756508685,0.003496841218053213,0.006103499390758698,20,0,0
mid_high_6_cells,CQI+regret-graph,0.35503735968704353,0.027236807435700217,0.02249988038571641,0.03201020793922541,20,0,0
mid_high_6_cells,CQI+cost+switching,0.3507490444711895,0.022948492219846153,0.018393280206428334,0.02798630245487109,20,0,0
mid_high_6_cells,CQI+cost+regret-graph,0.36128842991336135,0.033487877662017974,0.028157803879967844,0.03893258240349982,20,0,0
mid_high_6_cells,CQI+switching+regret-graph,0.35645256601949005,0.0286520137681467,0.023770006036694095,0.033700041819532456,20,0,0
mid_high_6_cells,CQI+cost+switching+regret-graph,0.3619943475782373,0.03419379532689396,0.02911265158970653,0.039482336286129766,20,0,0
high_only_3_cells,CQI,0.159917903499673,0.0,0.0,0.0,0,20,0
high_only_3_cells,CQI+cost,0.19144257714916313,0.03152467364949011,0.02411472949786909,0.039936204372464784,20,0,0
high_only_3_cells,CQI+switching,0.16672176326964988,0.006803859769976876,0.005120093318824584,0.00876015849294956,20,0,0
high_only_3_cells,CQI+regret-graph,0.20445703898661968,0.0445391354869467,0.03624342535086728,0.053143317372997385,20,0,0
high_only_3_cells,CQI+cost+switching,0.19400517673089657,0.03408727323122355,0.0266472752310838,0.0426107233948656,20,0,0
high_only_3_cells,CQI+cost+regret-graph,0.21422381541561925,0.05430591191594625,0.04570357221557661,0.06333712359747543,20,0,0
high_only_3_cells,CQI+switching+regret-graph,0.20660970676646867,0.04669180326679567,0.038337052234422846,0.05530215880677947,20,0,0
high_only_3_cells,CQI+cost+switching+regret-graph,0.2154800703357264,0.05556216683605343,0.04710152927199364,0.06441017325511425,20,0,0
all_9_cells,CQI,0.46644175085940826,0.0,0.0,0.0,0,20,0
all_9_cells,CQI+cost,0.48077733811578033,0.014335587256372054,0.011264384398492163,0.017670452206902068,20,0,0
all_9_cells,CQI+switching,0.46961390203041403,0.003172151171005777,0.0023292470016511345,0.004061003096664996,20,0,0
all_9_cells,CQI+regret-graph,0.48455026065061224,0.01810850979120391,0.01504989425563662,0.02128762021756585,20,0,0
all_9_cells,CQI+cost+switching,0.481740745672639,0.015298994813230774,0.012270092043985392,0.01859483145635707,20,0,0
all_9_cells,CQI+cost+regret-graph,0.48871764080149066,0.0222758899420824,0.01869836233982984,0.025939532960854994,20,0,0
all_9_cells,CQI+switching+regret-graph,0.48549373153890973,0.019051980679501562,0.01578597994553538,0.02233103762430405,20,0,0
all_9_cells,CQI+cost+switching+regret-graph,0.4891882525780747,0.02274650171866639,0.019399715118878297,0.02634939534581108,20,0,0
