dispersion,seed,load,scenario_index,method,utility,adr_kbps,served_ratio,average_quality,system_spectral_efficiency,fairness
low,seed_0001,light,0,CQI k-means,0.5290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0
low,seed_0001,light,0,Resource-cost k-means,0.5290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0
low,seed_0001,light,0,Full RB-profile k-means,0.5290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0
low,seed_0001,light,0,Block RB-profile k-means (5 blocks),0.5290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0
low,seed_0001,light,0,Overlap graph (simple similarity),0.5290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0
low,seed_0001,light,0,Exact-regret graph (utility-aware),0.5290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0
low,seed_0001,light,0,CQI+cost 2-way union (paper method),0.5290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0
low,seed_0001,light,0,CQI+cost+regret-graph 3-way union,0.5290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0
low,seed_0001,light,1,CQI k-means,0.5290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0
low,seed_0001,light,1,Resource-cost k-means,0.5290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0
low,seed_0001,light,1,Full RB-profile k-means,0.5290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0
low,seed_0001,light,1,Block RB-profile k-means (5 blocks),0.5290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0
low,seed_0001,light,1,Overlap graph (simple similarity),0.5290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0
low,seed_0001,light,1,Exact-regret graph (utility-aware),0.5290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0
low,seed_0001,light,1,CQI+cost 2-way union (paper method),0.5290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0
low,seed_0001,light,1,CQI+cost+regret-graph 3-way union,0.5290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0
low,seed_0001,light,2,CQI k-means,0.5290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0
low,seed_0001,light,2,Resource-cost k-means,0.5290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0
low,seed_0001,light,2,Full RB-profile k-means,0.5290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0
low,seed_0001,light,2,Block RB-profile k-means (5 blocks),0.5290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0
low,seed_0001,light,2,Overlap graph (simple similarity),0.5290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0
low,seed_0001,light,2,Exact-regret graph (utility-aware),0.5290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0
low,seed_0001,light,2,CQI+cost 2-way union (paper method),0.5290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0
