dispersion,load,seed,method,mean_utility,n_scenarios
high,heavy,seed_0001,CQI k-means,-0.07106023854625827,15
high,heavy,seed_0001,Resource-cost k-means,-0.052652994084107604,15
high,heavy,seed_0001,Full RB-profile k-means,-0.08631695262859526,15
high,heavy,seed_0001,Block RB-profile k-means (5 blocks),-0.0973454074369178,15
high,heavy,seed_0001,Overlap graph (simple similarity),-0.19659990223284599,15
high,heavy,seed_0001,Exact-regret graph (utility-aware),-0.03507391112881735,15
high,heavy,seed_0001,CQI+cost 2-way union (paper method),-0.03250357334749832,15
high,heavy,seed_0001,CQI+cost+regret-graph 3-way union,-0.020894925940681118,15
high,heavy,seed_0002,CQI k-means,-0.2754538104258499,15
high,heavy,seed_0002,Resource-cost k-means,-0.24228738817706835,15
high,heavy,seed_0002,Full RB-profile k-means,-0.39518835116954165,15
high,heavy,seed_0002,Block RB-profile k-means (5 blocks),-0.3780241482071689,15
high,heavy,seed_0002,Overlap graph (simple similarity),-0.4429518355573262,15
high,heavy,seed_0002,Exact-regret graph (utility-aware),-0.22089492594068108,15
high,heavy,seed_0002,CQI+cost 2-way union (paper method),-0.2218884000531187,15
high,heavy,seed_0002,CQI+cost+regret-graph 3-way union,-0.15431091557680301,15
high,heavy,seed_0003,CQI k-means,-0.10008265630278858,15
high,heavy,seed_0003,Resource-cost k-means,-0.053150530379813696,15
high,heavy,seed_0003,Full RB-profile k-means,-0.11392941780079587,15
high,heavy,seed_0003,Block RB-profile k-means (5 blocks),-0.11392941780079587,15
high,heavy,seed_0003,Overlap graph (simple similarity),-0.15406294666843728,15
high,heavy,seed_0003,Exact-regret graph (utility-aware),-0.01616913037096058,15
high,heavy,seed_0003,CQI+cost 2-way union (paper method),-0.053150530379813696,15
high,heavy,seed_0003,CQI+cost+regret-graph 3-way union,-0.01616913037096058,15
high,heavy,seed_0004,CQI k-means,-0.13515656743160592,15
high,heavy,seed_0004,Resource-cost k-means,-0.09709743852855204,15
high,heavy,seed_0004,Full RB-profile k-means,-0.2680750207720218,15
high,heavy,seed_0004,Block RB-profile k-means (5 blocks),-0.21459226670207915,15
high,heavy,seed_0004,Overlap graph (simple similarity),-0.31218884000531183,15
high,heavy,seed_0004,Exact-regret graph (utility-aware),-0.05514067556263805,15
high,heavy,seed_0004,CQI+cost 2-way union (paper method),-0.07288507112350547,15
high,heavy,seed_0004,CQI+cost+regret-graph 3-way union,-0.05514067556263805,15
high,heavy,seed_0005,CQI k-means,-0.22719598670030852,15
high,heavy,seed_0005,Resource-cost k-means,-0.19311714816290335,15
high,heavy,seed_0005,Full RB-profile k-means,-0.3054713007737924,15
high,heavy,seed_0005,Block RB-profile k-means (5 blocks),-0.25489110817529775,15
high,heavy,seed_0005,Overlap graph (simple similarity),-0.33847400889597146,15
high,heavy,seed_0005,Exact-regret graph (utility-aware),-0.09950246370429391,15
high,heavy,seed_0005,CQI+cost 2-way union (paper method),-0.1705627022505522,15
high,heavy,seed_0005,CQI+cost+regret-graph 3-way union,-0.09950246370429391,15
high,heavy,seed_0006,CQI k-means,-0.092867580775563,15
high,heavy,seed_0006,Resource-cost k-means,-0.07777777777777777,15
high,heavy,seed_0006,Full RB-profile k-means,-0.16110951263213652,15
high,heavy,seed_0006,Block RB-profile k-means (5 blocks),-0.1616070489278426,15
high,heavy,seed_0006,Overlap graph (simple similarity),-0.3374789363045592,15
high,heavy,seed_0006,Exact-regret graph (utility-aware),-0.16061357481540503,15
high,heavy,seed_0006,CQI+cost 2-way union (paper method),-0.0683245881593621,15
high,heavy,seed_0006,CQI+cost+regret-graph 3-way union,-0.05116038519698935,15
high,heavy,seed_0007,CQI k-means,-0.05945159113944109,15
