dispersion,load,method,mean_utility,std_utility_across_seeds,mean_diff_vs_cqi,seeds_win_vs_cqi,seeds_tie_vs_cqi,seeds_loss_vs_cqi
low,light,CQI k-means,0.529078111650274,0.0,0.0,0,10,0
low,light,Resource-cost k-means,0.529078111650274,0.0,0.0,0,10,0
low,light,Full RB-profile k-means,0.529078111650274,0.0,0.0,0,10,0
low,light,Block RB-profile k-means (5 blocks),0.529078111650274,0.0,0.0,0,10,0
low,light,Overlap graph (simple similarity),0.529078111650274,0.0,0.0,0,10,0
low,light,Exact-regret graph (utility-aware),0.529078111650274,0.0,0.0,0,10,0
low,light,CQI+cost 2-way union (paper method),0.529078111650274,0.0,0.0,0,10,0
low,light,CQI+cost+regret-graph 3-way union,0.529078111650274,0.0,0.0,0,10,0
low,medium,CQI k-means,0.44827609719823514,0.002183838228433477,0.0,0,10,0
low,medium,Resource-cost k-means,0.44827609719823514,0.002183838228433477,0.0,0,10,0
low,medium,Full RB-profile k-means,0.44827609719823514,0.002183838228433477,0.0,0,10,0
low,medium,Block RB-profile k-means (5 blocks),0.44827609719823514,0.002183838228433477,0.0,0,10,0
low,medium,Overlap graph (simple similarity),0.44827609719823514,0.002183838228433477,0.0,0,10,0
low,medium,Exact-regret graph (utility-aware),0.44827609719823514,0.002183838228433477,0.0,0,10,0
low,medium,CQI+cost 2-way union (paper method),0.44827609719823514,0.002183838228433477,0.0,0,10,0
low,medium,CQI+cost+regret-graph 3-way union,0.44827609719823514,0.002183838228433477,0.0,0,10,0
low,heavy,CQI k-means,0.3552819649170176,0.0019632803264104212,0.0,0,10,0
low,heavy,Resource-cost k-means,0.35475756952423243,0.003536466504765934,-0.0005243953927851708,0,9,1
low,heavy,Full RB-profile k-means,0.35475756952423243,0.003536466504765934,-0.0005243953927851708,0,9,1
low,heavy,Block RB-profile k-means (5 blocks),0.35475756952423243,0.003536466504765934,-0.0005243953927851708,0,9,1
low,heavy,Overlap graph (simple similarity),0.35475756952423243,0.003536466504765934,-0.0005243953927851708,0,9,1
low,heavy,Exact-regret graph (utility-aware),0.35475756952423243,0.003536466504765934,-0.0005243953927851708,0,9,1
low,heavy,CQI+cost 2-way union (paper method),0.3552819649170176,0.0019632803264104212,0.0,0,10,0
low,heavy,CQI+cost+regret-graph 3-way union,0.3552819649170176,0.0019632803264104212,0.0,0,10,0
mid,light,CQI k-means,0.4424836430816034,0.009546364451323697,0.0,0,10,0
mid,light,Resource-cost k-means,0.4428522121513995,0.004096055595116331,0.0003685690697961652,5,0,5
mid,light,Full RB-profile k-means,0.4436375627438044,0.0093126880508261,0.0011539196622010139,8,0,2
mid,light,Block RB-profile k-means (5 blocks),0.44304779024672153,0.008740144318124952,0.0005641471651181507,5,0,5
mid,light,Overlap graph (simple similarity),0.41834226051721995,0.013787076612019018,-0.0241413825643833,0,0,10
mid,light,Exact-regret graph (utility-aware),0.43820780736125753,0.003827723238253846,-0.00427583572034575,3,0,7
mid,light,CQI+cost 2-way union (paper method),0.4480267014523836,0.006937979595922434,0.005543058370780207,10,0,0
mid,light,CQI+cost+regret-graph 3-way union,0.4483343455941814,0.0067492692482776645,0.005850702512578016,10,0,0
mid,medium,CQI k-means,0.35461441485763795,0.0065693329052651205,0.0,0,10,0
mid,medium,Resource-cost k-means,0.3547548444208562,0.0034057532539313825,0.00014042956321816958,4,0,6
mid,medium,Full RB-profile k-means,0.3565468663607082,0.006977767843396953,0.0019324515030701872,6,0,4
mid,medium,Block RB-profile k-means (5 blocks),0.3549846345769765,0.006480086732237445,0.0003702197193385437,5,0,5
mid,medium,Overlap graph (simple similarity),0.33131009304946135,0.013339342444143863,-0.023304321808176626,0,0,10
mid,medium,Exact-regret graph (utility-aware),0.3514367174062588,0.003493306384391494,-0.0031776974513791413,3,0,7
mid,medium,CQI+cost 2-way union (paper method),0.3601062551394866,0.00475681828531534,0.005491840281848581,10,0,0
mid,medium,CQI+cost+regret-graph 3-way union,0.36065865420683063,0.004566414069233007,0.00604423934919267,10,0,0
mid,heavy,CQI k-means,0.17174126364746284,0.004153799147988823,0.0,0,10,0
mid,heavy,Resource-cost k-means,0.16256179891563427,0.009372165215727219,-0.00917946473182859,2,0,8
mid,heavy,Full RB-profile k-means,0.17070470305675894,0.004917561762711771,-0.0010365605907039165,1,3,6
mid,heavy,Block RB-profile k-means (5 blocks),0.1705056885384765,0.005103325609735561,-0.0012355751089863532,0,3,7
