dispersion,load,method,mean_utility,mean_diff_vs_cqi,diff_vs_cqi_ci95_low,diff_vs_cqi_ci95_high,seeds_win_vs_cqi,seeds_tie_vs_cqi,seeds_loss_vs_cqi,mean_diff_vs_3way,diff_vs_3way_ci95_low,diff_vs_3way_ci95_high,seeds_win_vs_3way,seeds_tie_vs_3way,seeds_loss_vs_3way
low,light,CQI k-means,0.9290781116502738,0.0,0.0,0.0,0,20,0,0.0,0.0,0.0,0,20,0
low,light,CQI+cost 2-way union,0.9290781116502738,0.0,0.0,0.0,0,20,0,0.0,0.0,0.0,0,20,0
low,light,CQI+cost+switching 3-way union,0.9290781116502738,0.0,0.0,0.0,0,20,0,0.0,0.0,0.0,0,20,0
low,light,CQI+cost+regret-graph 3-way union,0.9290781116502738,0.0,0.0,0.0,0,20,0,0.0,0.0,0.0,0,20,0
low,light,CQI+cost+switching+regret-graph 4-way union,0.9290781116502738,0.0,0.0,0.0,0,20,0,0.0,0.0,0.0,0,20,0
low,medium,CQI k-means,0.746157940883853,0.0,0.0,0.0,0,20,0,0.0,0.0,0.0,0,20,0
low,medium,CQI+cost 2-way union,0.746157940883853,0.0,0.0,0.0,0,20,0,0.0,0.0,0.0,0,20,0
low,medium,CQI+cost+switching 3-way union,0.746157940883853,0.0,0.0,0.0,0,20,0,0.0,0.0,0.0,0,20,0
low,medium,CQI+cost+regret-graph 3-way union,0.7457136843904868,-0.00044425649336619075,-0.001110641233415477,0.0,0,18,2,-0.00044425649336619075,-0.001110641233415477,0.0,0,18,2
low,medium,CQI+cost+switching+regret-graph 4-way union,0.7457136843904868,-0.00044425649336619075,-0.001110641233415477,0.0,0,18,2,-0.00044425649336619075,-0.001110641233415477,0.0,0,18,2
low,heavy,CQI k-means,0.5559363916924875,0.0,0.0,0.0,0,20,0,0.0,0.0,0.0,0,20,0
low,heavy,CQI+cost 2-way union,0.5559363916924875,0.0,0.0,0.0,0,20,0,0.0,0.0,0.0,0,20,0
low,heavy,CQI+cost+switching 3-way union,0.5559363916924875,0.0,0.0,0.0,0,20,0,0.0,0.0,0.0,0,20,0
low,heavy,CQI+cost+regret-graph 3-way union,0.5559363916924875,0.0,0.0,0.0,0,20,0,0.0,0.0,0.0,0,20,0
low,heavy,CQI+cost+switching+regret-graph 4-way union,0.5559363916924875,0.0,0.0,0.0,0,20,0,0.0,0.0,0.0,0,20,0
mid,light,CQI k-means,0.6977295737040656,0.0,0.0,0.0,0,20,0,-0.01999770246469763,-0.025910808959335622,-0.013691536023445647,1,0,19
mid,light,CQI+cost 2-way union,0.7176577554500907,0.01992818174602503,0.01358050384980751,0.026028560612087876,19,0,1,-6.95207186725999e-05,-0.001169197067870657,0.0011481777638135677,4,7,9
mid,light,CQI+cost+switching 3-way union,0.7177272761687632,0.01999770246469763,0.01368417620011751,0.025961565399013616,19,0,1,0.0,0.0,0.0,0,20,0
mid,light,CQI+cost+regret-graph 3-way union,0.7189081102318763,0.021178536527810626,0.01459294577319288,0.027462162621038323,19,0,1,0.0011808340631129955,-0.00017759076667558547,0.002632491945088616,12,1,7
