dispersion,load,seed,method,mean_utility
low,light,seed_0031,CQI k-means,0.9290781116502738
low,light,seed_0031,CQI+cost 2-way union,0.9290781116502738
low,light,seed_0031,CQI+cost+switching 3-way union,0.9290781116502738
low,light,seed_0031,CQI+cost+regret-graph 3-way union,0.9290781116502738
low,light,seed_0031,CQI+cost+switching+regret-graph 4-way union,0.9290781116502738
low,light,seed_0032,CQI k-means,0.9290781116502738
low,light,seed_0032,CQI+cost 2-way union,0.9290781116502738
low,light,seed_0032,CQI+cost+switching 3-way union,0.9290781116502738
low,light,seed_0032,CQI+cost+regret-graph 3-way union,0.9290781116502738
low,light,seed_0032,CQI+cost+switching+regret-graph 4-way union,0.9290781116502738
low,light,seed_0033,CQI k-means,0.9290781116502738
low,light,seed_0033,CQI+cost 2-way union,0.9290781116502738
low,light,seed_0033,CQI+cost+switching 3-way union,0.9290781116502738
low,light,seed_0033,CQI+cost+regret-graph 3-way union,0.9290781116502738
low,light,seed_0033,CQI+cost+switching+regret-graph 4-way union,0.9290781116502738
low,light,seed_0034,CQI k-means,0.9290781116502738
low,light,seed_0034,CQI+cost 2-way union,0.9290781116502738
low,light,seed_0034,CQI+cost+switching 3-way union,0.9290781116502738
low,light,seed_0034,CQI+cost+regret-graph 3-way union,0.9290781116502738
low,light,seed_0034,CQI+cost+switching+regret-graph 4-way union,0.9290781116502738
low,light,seed_0035,CQI k-means,0.9290781116502738
low,light,seed_0035,CQI+cost 2-way union,0.9290781116502738
low,light,seed_0035,CQI+cost+switching 3-way union,0.9290781116502738
low,light,seed_0035,CQI+cost+regret-graph 3-way union,0.9290781116502738
low,light,seed_0035,CQI+cost+switching+regret-graph 4-way union,0.9290781116502738
low,light,seed_0036,CQI k-means,0.9290781116502738
low,light,seed_0036,CQI+cost 2-way union,0.9290781116502738
low,light,seed_0036,CQI+cost+switching 3-way union,0.9290781116502738
low,light,seed_0036,CQI+cost+regret-graph 3-way union,0.9290781116502738
low,light,seed_0036,CQI+cost+switching+regret-graph 4-way union,0.9290781116502738
low,light,seed_0037,CQI k-means,0.9290781116502738
low,light,seed_0037,CQI+cost 2-way union,0.9290781116502738
low,light,seed_0037,CQI+cost+switching 3-way union,0.9290781116502738
low,light,seed_0037,CQI+cost+regret-graph 3-way union,0.9290781116502738
low,light,seed_0037,CQI+cost+switching+regret-graph 4-way union,0.9290781116502738
low,light,seed_0038,CQI k-means,0.9290781116502738
low,light,seed_0038,CQI+cost 2-way union,0.9290781116502738
low,light,seed_0038,CQI+cost+switching 3-way union,0.9290781116502738
low,light,seed_0038,CQI+cost+regret-graph 3-way union,0.9290781116502738
low,light,seed_0038,CQI+cost+switching+regret-graph 4-way union,0.9290781116502738
low,light,seed_0039,CQI k-means,0.9290781116502738
low,light,seed_0039,CQI+cost 2-way union,0.9290781116502738
low,light,seed_0039,CQI+cost+switching 3-way union,0.9290781116502738
low,light,seed_0039,CQI+cost+regret-graph 3-way union,0.9290781116502738
low,light,seed_0039,CQI+cost+switching+regret-graph 4-way union,0.9290781116502738
low,light,seed_0040,CQI k-means,0.9290781116502738
low,light,seed_0040,CQI+cost 2-way union,0.9290781116502738
low,light,seed_0040,CQI+cost+switching 3-way union,0.9290781116502738
low,light,seed_0040,CQI+cost+regret-graph 3-way union,0.9290781116502738
low,light,seed_0040,CQI+cost+switching+regret-graph 4-way union,0.9290781116502738
low,light,seed_0041,CQI k-means,0.9290781116502738
low,light,seed_0041,CQI+cost 2-way union,0.9290781116502738
low,light,seed_0041,CQI+cost+switching 3-way union,0.9290781116502738
low,light,seed_0041,CQI+cost+regret-graph 3-way union,0.9290781116502738
low,light,seed_0041,CQI+cost+switching+regret-graph 4-way union,0.9290781116502738
low,light,seed_0042,CQI k-means,0.9290781116502738
low,light,seed_0042,CQI+cost 2-way union,0.9290781116502738
low,light,seed_0042,CQI+cost+switching 3-way union,0.9290781116502738
low,light,seed_0042,CQI+cost+regret-graph 3-way union,0.9290781116502738
low,light,seed_0042,CQI+cost+switching+regret-graph 4-way union,0.9290781116502738
low,light,seed_0043,CQI k-means,0.9290781116502738
low,light,seed_0043,CQI+cost 2-way union,0.9290781116502738
low,light,seed_0043,CQI+cost+switching 3-way union,0.9290781116502738
low,light,seed_0043,CQI+cost+regret-graph 3-way union,0.9290781116502738
low,light,seed_0043,CQI+cost+switching+regret-graph 4-way union,0.9290781116502738
low,light,seed_0044,CQI k-means,0.9290781116502738
low,light,seed_0044,CQI+cost 2-way union,0.9290781116502738
low,light,seed_0044,CQI+cost+switching 3-way union,0.9290781116502738
low,light,seed_0044,CQI+cost+regret-graph 3-way union,0.9290781116502738
low,light,seed_0044,CQI+cost+switching+regret-graph 4-way union,0.9290781116502738
low,light,seed_0045,CQI k-means,0.9290781116502738
low,light,seed_0045,CQI+cost 2-way union,0.9290781116502738
low,light,seed_0045,CQI+cost+switching 3-way union,0.9290781116502738
low,light,seed_0045,CQI+cost+regret-graph 3-way union,0.9290781116502738
low,light,seed_0045,CQI+cost+switching+regret-graph 4-way union,0.9290781116502738
low,light,seed_0046,CQI k-means,0.9290781116502738
low,light,seed_0046,CQI+cost 2-way union,0.9290781116502738
low,light,seed_0046,CQI+cost+switching 3-way union,0.9290781116502738
low,light,seed_0046,CQI+cost+regret-graph 3-way union,0.9290781116502738
low,light,seed_0046,CQI+cost+switching+regret-graph 4-way union,0.9290781116502738
low,light,seed_0047,CQI k-means,0.9290781116502738
low,light,seed_0047,CQI+cost 2-way union,0.9290781116502738
low,light,seed_0047,CQI+cost+switching 3-way union,0.9290781116502738
low,light,seed_0047,CQI+cost+regret-graph 3-way union,0.9290781116502738
low,light,seed_0047,CQI+cost+switching+regret-graph 4-way union,0.9290781116502738
low,light,seed_0048,CQI k-means,0.9290781116502738
low,light,seed_0048,CQI+cost 2-way union,0.9290781116502738
low,light,seed_0048,CQI+cost+switching 3-way union,0.9290781116502738
low,light,seed_0048,CQI+cost+regret-graph 3-way union,0.9290781116502738
low,light,seed_0048,CQI+cost+switching+regret-graph 4-way union,0.9290781116502738
low,light,seed_0049,CQI k-means,0.9290781116502738
low,light,seed_0049,CQI+cost 2-way union,0.9290781116502738
low,light,seed_0049,CQI+cost+switching 3-way union,0.9290781116502738
low,light,seed_0049,CQI+cost+regret-graph 3-way union,0.9290781116502738
