scope,method,mean_utility,mean_diff_vs_cqi,diff_vs_cqi_ci95_low,diff_vs_cqi_ci95_high,seeds_win_vs_cqi,seeds_tie_vs_cqi,seeds_loss_vs_cqi,mean_diff_vs_3way,diff_vs_3way_ci95_low,diff_vs_3way_ci95_high,seeds_win_vs_3way,seeds_tie_vs_3way,seeds_loss_vs_3way
all_9_cells,CQI k-means,0.46644175085940826,0.0,0.0,0.0,0,20,0,-0.015298994813230774,-0.018634260571875057,-0.01234643428517026,0,0,20
all_9_cells,CQI+cost 2-way union,0.48077733811578033,0.014335587256372054,0.011221792440107467,0.017703297767758676,20,0,0,-0.0009634075568587197,-0.0013521446841355126,-0.0005789157532321654,2,0,18
all_9_cells,CQI+cost+switching 3-way union,0.481740745672639,0.015298994813230774,0.012289332313461753,0.01861952038135022,20,0,0,0.0,0.0,0.0,0,20,0
all_9_cells,CQI+cost+regret-graph 3-way union,0.48871764080149066,0.0222758899420824,0.01870803661113625,0.025897840352501065,20,0,0,0.006976895128851626,0.005759870399876881,0.00813658672010253,20,0,0
all_9_cells,CQI+cost+switching+regret-graph 4-way union,0.4891882525780747,0.02274650171866639,0.019393887244446267,0.02624980338916599,20,0,0,0.007447506905435617,0.006122073179828012,0.008771231904339897,20,0,0
high_only_3_cells,CQI k-means,0.159917903499673,0.0,0.0,0.0,0,20,0,-0.03408727323122355,-0.04257672693216931,-0.026633787014589256,0,0,20
high_only_3_cells,CQI+cost 2-way union,0.19144257714916313,0.03152467364949011,0.023978254418048413,0.039759475916954494,20,0,0,-0.0025625995817334323,-0.0035872778436720014,-0.0015521529987707807,3,1,16
high_only_3_cells,CQI+cost+switching 3-way union,0.19400517673089657,0.03408727323122355,0.026642524330275995,0.04243978925660832,20,0,0,0.0,0.0,0.0,0,20,0
high_only_3_cells,CQI+cost+regret-graph 3-way union,0.21422381541561925,0.05430591191594625,0.04566178877203051,0.06340578752628578,20,0,0,0.02021863868472269,0.01654463389018724,0.023782555237857626,20,0,0
high_only_3_cells,CQI+cost+switching+regret-graph 4-way union,0.2154800703357264,0.05556216683605343,0.04713215973738527,0.06458937930450245,20,0,0,0.021474893604829882,0.01758842159928727,0.025284294861215924,20,0,0
