dispersion,load,seed,method,mean_utility
low,light,seed_0001,CQI k-means,0.9290781116502738
low,light,seed_0001,CQI+cost 2-way union,0.9290781116502738
low,light,seed_0001,CQI+cost+switching 3-way union,0.9290781116502738
low,light,seed_0001,CQI+cost+regret-graph 3-way union,0.9290781116502738
low,light,seed_0001,CQI+cost+switching+regret-graph 4-way union,0.9290781116502738
low,light,seed_0002,CQI k-means,0.9290781116502738
low,light,seed_0002,CQI+cost 2-way union,0.9290781116502738
low,light,seed_0002,CQI+cost+switching 3-way union,0.9290781116502738
low,light,seed_0002,CQI+cost+regret-graph 3-way union,0.9290781116502738
low,light,seed_0002,CQI+cost+switching+regret-graph 4-way union,0.9290781116502738
low,light,seed_0003,CQI k-means,0.9290781116502738
low,light,seed_0003,CQI+cost 2-way union,0.9290781116502738
low,light,seed_0003,CQI+cost+switching 3-way union,0.9290781116502738
low,light,seed_0003,CQI+cost+regret-graph 3-way union,0.9290781116502738
low,light,seed_0003,CQI+cost+switching+regret-graph 4-way union,0.9290781116502738
low,light,seed_0004,CQI k-means,0.9290781116502738
low,light,seed_0004,CQI+cost 2-way union,0.9290781116502738
low,light,seed_0004,CQI+cost+switching 3-way union,0.9290781116502738
low,light,seed_0004,CQI+cost+regret-graph 3-way union,0.9290781116502738
low,light,seed_0004,CQI+cost+switching+regret-graph 4-way union,0.9290781116502738
low,light,seed_0005,CQI k-means,0.9290781116502738
low,light,seed_0005,CQI+cost 2-way union,0.9290781116502738
low,light,seed_0005,CQI+cost+switching 3-way union,0.9290781116502738
low,light,seed_0005,CQI+cost+regret-graph 3-way union,0.9290781116502738
low,light,seed_0005,CQI+cost+switching+regret-graph 4-way union,0.9290781116502738
low,light,seed_0006,CQI k-means,0.9290781116502738
low,light,seed_0006,CQI+cost 2-way union,0.9290781116502738
low,light,seed_0006,CQI+cost+switching 3-way union,0.9290781116502738
low,light,seed_0006,CQI+cost+regret-graph 3-way union,0.9290781116502738
low,light,seed_0006,CQI+cost+switching+regret-graph 4-way union,0.9290781116502738
low,light,seed_0007,CQI k-means,0.9290781116502738
low,light,seed_0007,CQI+cost 2-way union,0.9290781116502738
low,light,seed_0007,CQI+cost+switching 3-way union,0.9290781116502738
low,light,seed_0007,CQI+cost+regret-graph 3-way union,0.9290781116502738
low,light,seed_0007,CQI+cost+switching+regret-graph 4-way union,0.9290781116502738
low,light,seed_0008,CQI k-means,0.9290781116502738
low,light,seed_0008,CQI+cost 2-way union,0.9290781116502738
low,light,seed_0008,CQI+cost+switching 3-way union,0.9290781116502738
low,light,seed_0008,CQI+cost+regret-graph 3-way union,0.9290781116502738
low,light,seed_0008,CQI+cost+switching+regret-graph 4-way union,0.9290781116502738
low,light,seed_0009,CQI k-means,0.9290781116502738
low,light,seed_0009,CQI+cost 2-way union,0.9290781116502738
low,light,seed_0009,CQI+cost+switching 3-way union,0.9290781116502738
low,light,seed_0009,CQI+cost+regret-graph 3-way union,0.9290781116502738
low,light,seed_0009,CQI+cost+switching+regret-graph 4-way union,0.9290781116502738
low,light,seed_0010,CQI k-means,0.9290781116502738
low,light,seed_0010,CQI+cost 2-way union,0.9290781116502738
low,light,seed_0010,CQI+cost+switching 3-way union,0.9290781116502738
low,light,seed_0010,CQI+cost+regret-graph 3-way union,0.9290781116502738
low,light,seed_0010,CQI+cost+switching+regret-graph 4-way union,0.9290781116502738
low,medium,seed_0001,CQI k-means,0.7471841780840182
low,medium,seed_0001,CQI+cost 2-way union,0.7471841780840182
low,medium,seed_0001,CQI+cost+switching 3-way union,0.7471841780840182
low,medium,seed_0001,CQI+cost+regret-graph 3-way union,0.7471841780840182
low,medium,seed_0001,CQI+cost+switching+regret-graph 4-way union,0.7471841780840182
low,medium,seed_0002,CQI k-means,0.7471841780840182
low,medium,seed_0002,CQI+cost 2-way union,0.7471841780840182
low,medium,seed_0002,CQI+cost+switching 3-way union,0.7471841780840182
low,medium,seed_0002,CQI+cost+regret-graph 3-way union,0.7471841780840182
low,medium,seed_0002,CQI+cost+switching+regret-graph 4-way union,0.7471841780840182
low,medium,seed_0003,CQI k-means,0.7471841780840182
low,medium,seed_0003,CQI+cost 2-way union,0.7471841780840182
low,medium,seed_0003,CQI+cost+switching 3-way union,0.7471841780840182
low,medium,seed_0003,CQI+cost+regret-graph 3-way union,0.7471841780840182
low,medium,seed_0003,CQI+cost+switching+regret-graph 4-way union,0.7471841780840182
low,medium,seed_0004,CQI k-means,0.7471841780840182
low,medium,seed_0004,CQI+cost 2-way union,0.7471841780840182
low,medium,seed_0004,CQI+cost+switching 3-way union,0.7471841780840182
low,medium,seed_0004,CQI+cost+regret-graph 3-way union,0.7471841780840182
low,medium,seed_0004,CQI+cost+switching+regret-graph 4-way union,0.7471841780840182
low,medium,seed_0005,CQI k-means,0.7471841780840182
low,medium,seed_0005,CQI+cost 2-way union,0.7471841780840182
low,medium,seed_0005,CQI+cost+switching 3-way union,0.7471841780840182
low,medium,seed_0005,CQI+cost+regret-graph 3-way union,0.7471841780840182
low,medium,seed_0005,CQI+cost+switching+regret-graph 4-way union,0.7471841780840182
low,medium,seed_0006,CQI k-means,0.7471841780840182
low,medium,seed_0006,CQI+cost 2-way union,0.7471841780840182
low,medium,seed_0006,CQI+cost+switching 3-way union,0.7471841780840182
low,medium,seed_0006,CQI+cost+regret-graph 3-way union,0.7471841780840182
low,medium,seed_0006,CQI+cost+switching+regret-graph 4-way union,0.7471841780840182
low,medium,seed_0007,CQI k-means,0.7458908876244649
low,medium,seed_0007,CQI+cost 2-way union,0.7458908876244649
low,medium,seed_0007,CQI+cost+switching 3-way union,0.7458908876244649
low,medium,seed_0007,CQI+cost+regret-graph 3-way union,0.7458908876244649
low,medium,seed_0007,CQI+cost+switching+regret-graph 4-way union,0.7458908876244649
low,medium,seed_0008,CQI k-means,0.7471841780840182
low,medium,seed_0008,CQI+cost 2-way union,0.7471841780840182
low,medium,seed_0008,CQI+cost+switching 3-way union,0.7471841780840182
low,medium,seed_0008,CQI+cost+regret-graph 3-way union,0.7471841780840182
low,medium,seed_0008,CQI+cost+switching+regret-graph 4-way union,0.7471841780840182
low,medium,seed_0009,CQI k-means,0.7471841780840182
low,medium,seed_0009,CQI+cost 2-way union,0.7471841780840182
low,medium,seed_0009,CQI+cost+switching 3-way union,0.7471841780840182
low,medium,seed_0009,CQI+cost+regret-graph 3-way union,0.7471841780840182
low,medium,seed_0009,CQI+cost+switching+regret-graph 4-way union,0.7471841780840182
low,medium,seed_0010,CQI k-means,0.745890887624465
low,medium,seed_0010,CQI+cost 2-way union,0.745890887624465
low,medium,seed_0010,CQI+cost+switching 3-way union,0.745890887624465
low,medium,seed_0010,CQI+cost+regret-graph 3-way union,0.745890887624465
low,medium,seed_0010,CQI+cost+switching+regret-graph 4-way union,0.745890887624465
low,heavy,seed_0001,CQI k-means,0.5559363916924875
low,heavy,seed_0001,CQI+cost 2-way union,0.5559363916924875
low,heavy,seed_0001,CQI+cost+switching 3-way union,0.5559363916924875
low,heavy,seed_0001,CQI+cost+regret-graph 3-way union,0.5559363916924875
low,heavy,seed_0001,CQI+cost+switching+regret-graph 4-way union,0.5559363916924875
low,heavy,seed_0002,CQI k-means,0.5559363916924875
low,heavy,seed_0002,CQI+cost 2-way union,0.5559363916924875
low,heavy,seed_0002,CQI+cost+switching 3-way union,0.5559363916924875
low,heavy,seed_0002,CQI+cost+regret-graph 3-way union,0.5559363916924875
low,heavy,seed_0002,CQI+cost+switching+regret-graph 4-way union,0.5559363916924875
low,heavy,seed_0003,CQI k-means,0.5559363916924875
low,heavy,seed_0003,CQI+cost 2-way union,0.5559363916924875
low,heavy,seed_0003,CQI+cost+switching 3-way union,0.5559363916924875
low,heavy,seed_0003,CQI+cost+regret-graph 3-way union,0.5559363916924875
low,heavy,seed_0003,CQI+cost+switching+regret-graph 4-way union,0.5559363916924875
low,heavy,seed_0004,CQI k-means,0.5559363916924875
low,heavy,seed_0004,CQI+cost 2-way union,0.5559363916924875
low,heavy,seed_0004,CQI+cost+switching 3-way union,0.5559363916924875
low,heavy,seed_0004,CQI+cost+regret-graph 3-way union,0.5559363916924875
low,heavy,seed_0004,CQI+cost+switching+regret-graph 4-way union,0.5559363916924875
low,heavy,seed_0005,CQI k-means,0.5559363916924875
low,heavy,seed_0005,CQI+cost 2-way union,0.5559363916924875
low,heavy,seed_0005,CQI+cost+switching 3-way union,0.5559363916924875
low,heavy,seed_0005,CQI+cost+regret-graph 3-way union,0.5559363916924875
low,heavy,seed_0005,CQI+cost+switching+regret-graph 4-way union,0.5559363916924875
low,heavy,seed_0006,CQI k-means,0.5559363916924875
low,heavy,seed_0006,CQI+cost 2-way union,0.5559363916924875
low,heavy,seed_0006,CQI+cost+switching 3-way union,0.5559363916924875
low,heavy,seed_0006,CQI+cost+regret-graph 3-way union,0.5559363916924875
low,heavy,seed_0006,CQI+cost+switching+regret-graph 4-way union,0.5559363916924875
low,heavy,seed_0007,CQI k-means,0.5559363916924875
low,heavy,seed_0007,CQI+cost 2-way union,0.5559363916924875
low,heavy,seed_0007,CQI+cost+switching 3-way union,0.5559363916924875
low,heavy,seed_0007,CQI+cost+regret-graph 3-way union,0.5559363916924875
low,heavy,seed_0007,CQI+cost+switching+regret-graph 4-way union,0.5559363916924875
low,heavy,seed_0008,CQI k-means,0.5483294381457836
low,heavy,seed_0008,CQI+cost 2-way union,0.5483294381457836
low,heavy,seed_0008,CQI+cost+switching 3-way union,0.5483294381457836
low,heavy,seed_0008,CQI+cost+regret-graph 3-way union,0.5483294381457836
low,heavy,seed_0008,CQI+cost+switching+regret-graph 4-way union,0.5483294381457836
low,heavy,seed_0009,CQI k-means,0.5559363916924875
low,heavy,seed_0009,CQI+cost 2-way union,0.5559363916924875
low,heavy,seed_0009,CQI+cost+switching 3-way union,0.5559363916924875
low,heavy,seed_0009,CQI+cost+regret-graph 3-way union,0.5559363916924875
low,heavy,seed_0009,CQI+cost+switching+regret-graph 4-way union,0.5559363916924875
low,heavy,seed_0010,CQI k-means,0.5559363916924875
low,heavy,seed_0010,CQI+cost 2-way union,0.5559363916924875
low,heavy,seed_0010,CQI+cost+switching 3-way union,0.5559363916924875
low,heavy,seed_0010,CQI+cost+regret-graph 3-way union,0.5559363916924875
low,heavy,seed_0010,CQI+cost+switching+regret-graph 4-way union,0.5559363916924875
mid,light,seed_0001,CQI k-means,0.6493397710782478
mid,light,seed_0001,CQI+cost 2-way union,0.7082977507796278
mid,light,seed_0001,CQI+cost+switching 3-way union,0.7082977507796278
mid,light,seed_0001,CQI+cost+regret-graph 3-way union,0.7086652484433982
mid,light,seed_0001,CQI+cost+switching+regret-graph 4-way union,0.7086652484433982
mid,light,seed_0002,CQI k-means,0.6908519265372524
mid,light,seed_0002,CQI+cost 2-way union,0.720441341360818
mid,light,seed_0002,CQI+cost+switching 3-way union,0.721122439343873
mid,light,seed_0002,CQI+cost+regret-graph 3-way union,0.725353742207285
mid,light,seed_0002,CQI+cost+switching+regret-graph 4-way union,0.7260348401903399
mid,light,seed_0003,CQI k-means,0.681821793454608
mid,light,seed_0003,CQI+cost 2-way union,0.7121383982842221
mid,light,seed_0003,CQI+cost+switching 3-way union,0.7138382526821194
mid,light,seed_0003,CQI+cost+regret-graph 3-way union,0.7158795564890003
mid,light,seed_0003,CQI+cost+switching+regret-graph 4-way union,0.7164747945842384
mid,light,seed_0004,CQI k-means,0.7053691213311719
mid,light,seed_0004,CQI+cost 2-way union,0.7080945455988727
mid,light,seed_0004,CQI+cost+switching 3-way union,0.7154411020905586
mid,light,seed_0004,CQI+cost+regret-graph 3-way union,0.7080945455988727
mid,light,seed_0004,CQI+cost+switching+regret-graph 4-way union,0.7154411020905586
mid,light,seed_0005,CQI k-means,0.691587762390825
mid,light,seed_0005,CQI+cost 2-way union,0.7144595956993214
mid,light,seed_0005,CQI+cost+switching 3-way union,0.7161517349737633
mid,light,seed_0005,CQI+cost+regret-graph 3-way union,0.7144595956993214
mid,light,seed_0005,CQI+cost+switching+regret-graph 4-way union,0.7161517349737633
mid,light,seed_0006,CQI k-means,0.7100409018799967
mid,light,seed_0006,CQI+cost 2-way union,0.7205154845815974
mid,light,seed_0006,CQI+cost+switching 3-way union,0.7069728207485119
mid,light,seed_0006,CQI+cost+regret-graph 3-way union,0.7223281475395547
mid,light,seed_0006,CQI+cost+switching+regret-graph 4-way union,0.7069728207485119
mid,light,seed_0007,CQI k-means,0.7114436708891679
mid,light,seed_0007,CQI+cost 2-way union,0.7336114034803065
mid,light,seed_0007,CQI+cost+switching 3-way union,0.7336114034803065
mid,light,seed_0007,CQI+cost+regret-graph 3-way union,0.7356787555419743
mid,light,seed_0007,CQI+cost+switching+regret-graph 4-way union,0.7356787555419743
mid,light,seed_0008,CQI k-means,0.6901528781569236
mid,light,seed_0008,CQI+cost 2-way union,0.7159575571767555
mid,light,seed_0008,CQI+cost+switching 3-way union,0.7159575571767555
mid,light,seed_0008,CQI+cost+regret-graph 3-way union,0.7203075828887711
mid,light,seed_0008,CQI+cost+switching+regret-graph 4-way union,0.7203075828887711
mid,light,seed_0009,CQI k-means,0.6810736415108624
