dispersion,load,method,mean_utility,mean_diff_vs_cqi,diff_vs_cqi_ci95_low,diff_vs_cqi_ci95_high,seeds_win_vs_cqi,seeds_tie_vs_cqi,seeds_loss_vs_cqi,mean_diff_vs_switching3way,diff_vs_switching3way_ci95_low,diff_vs_switching3way_ci95_high,seeds_win_vs_switching3way,seeds_tie_vs_switching3way,seeds_loss_vs_switching3way
low,light,CQI k-means,0.9290781116502738,0.0,0.0,0.0,0,10,0,0.0,0.0,0.0,0,10,0
low,light,CQI+cost 2-way union,0.9290781116502738,0.0,0.0,0.0,0,10,0,0.0,0.0,0.0,0,10,0
low,light,CQI+cost+switching 3-way union,0.9290781116502738,0.0,0.0,0.0,0,10,0,0.0,0.0,0.0,0,10,0
low,light,CQI+cost+regret-graph 3-way union,0.9290781116502738,0.0,0.0,0.0,0,10,0,0.0,0.0,0.0,0,10,0
low,light,CQI+cost+switching+regret-graph 4-way union,0.9290781116502738,0.0,0.0,0.0,0,10,0,0.0,0.0,0.0,0,10,0
low,medium,CQI k-means,0.7469255199921075,0.0,0.0,0.0,0,10,0,0.0,0.0,0.0,0,10,0
low,medium,CQI+cost 2-way union,0.7469255199921075,0.0,0.0,0.0,0,10,0,0.0,0.0,0.0,0,10,0
low,medium,CQI+cost+switching 3-way union,0.7469255199921075,0.0,0.0,0.0,0,10,0,0.0,0.0,0.0,0,10,0
low,medium,CQI+cost+regret-graph 3-way union,0.7469255199921075,0.0,0.0,0.0,0,10,0,0.0,0.0,0.0,0,10,0
low,medium,CQI+cost+switching+regret-graph 4-way union,0.7469255199921075,0.0,0.0,0.0,0,10,0,0.0,0.0,0.0,0,10,0
low,heavy,CQI k-means,0.5551756963378172,0.0,0.0,0.0,0,10,0,0.0,0.0,0.0,0,10,0
low,heavy,CQI+cost 2-way union,0.5551756963378172,0.0,0.0,0.0,0,10,0,0.0,0.0,0.0,0,10,0
low,heavy,CQI+cost+switching 3-way union,0.5551756963378172,0.0,0.0,0.0,0,10,0,0.0,0.0,0.0,0,10,0
low,heavy,CQI+cost+regret-graph 3-way union,0.5551756963378172,0.0,0.0,0.0,0,10,0,0.0,0.0,0.0,0,10,0
