dispersion,load,seed,method,mean_utility,n_scenarios
high,heavy,seed_0001,CQI k-means,-0.6091015574055747,5
high,heavy,seed_0001,CQI+cost 2-way union (paper method),-0.5622374746996003,5
high,heavy,seed_0001,CQI+cost+switching 3-way union (former headline),-0.5622374746996003,5
high,heavy,seed_0001,CQI+cost+regret-graph 3-way union,-0.5622374746996003,5
high,heavy,seed_0001,CQI+cost+switching+regret-graph 4-way union (confirmatory-validated best),-0.5622374746996003,5
high,heavy,seed_0002,CQI k-means,-0.5193991200956136,5
high,heavy,seed_0002,CQI+cost 2-way union (paper method),-0.4810414694151362,5
high,heavy,seed_0002,CQI+cost+switching 3-way union (former headline),-0.4810414694151362,5
high,heavy,seed_0002,CQI+cost+regret-graph 3-way union,-0.24387982401912273,5
high,heavy,seed_0002,CQI+cost+switching+regret-graph 4-way union (confirmatory-validated best),-0.24387982401912273,5
high,heavy,seed_0003,CQI k-means,-0.4114906907123488,5
high,heavy,seed_0003,CQI+cost 2-way union (paper method),-0.37955077870278736,5
high,heavy,seed_0003,CQI+cost+switching 3-way union (former headline),-0.37955077870278736,5
high,heavy,seed_0003,CQI+cost+regret-graph 3-way union,-0.258506432025497,5
high,heavy,seed_0003,CQI+cost+switching+regret-graph 4-way union (confirmatory-validated best),-0.258506432025497,5
high,heavy,seed_0004,CQI k-means,-0.5707439067250972,5
high,heavy,seed_0004,CQI+cost 2-way union (paper method),-0.27761086669322604,5
high,heavy,seed_0004,CQI+cost+switching 3-way union (former headline),-0.27761086669322604,5
high,heavy,seed_0004,CQI+cost+regret-graph 3-way union,-0.257610866693226,5
high,heavy,seed_0004,CQI+cost+switching+regret-graph 4-way union (confirmatory-validated best),-0.257610866693226,5
high,heavy,seed_0005,CQI k-means,-0.4164148614087619,5
high,heavy,seed_0005,CQI+cost 2-way union (paper method),-0.3295507787027874,5
high,heavy,seed_0005,CQI+cost+switching 3-way union (former headline),-0.3295507787027874,5
high,heavy,seed_0005,CQI+cost+regret-graph 3-way union,-0.2,5
high,heavy,seed_0005,CQI+cost+switching+regret-graph 4-way union (confirmatory-validated best),-0.2,5
high,heavy,seed_0006,CQI k-means,-0.6634306027219101,5
high,heavy,seed_0006,CQI+cost 2-way union (paper method),-0.4805951253800778,5
high,heavy,seed_0006,CQI+cost+switching 3-way union (former headline),-0.4805951253800778,5
high,heavy,seed_0006,CQI+cost+regret-graph 3-way union,-0.4805951253800778,5
high,heavy,seed_0006,CQI+cost+switching+regret-graph 4-way union (confirmatory-validated best),-0.4805951253800778,5
high,heavy,seed_0007,CQI k-means,-0.4850729520414325,5
high,heavy,seed_0007,CQI+cost 2-way union (paper method),-0.42492417069641314,5
high,heavy,seed_0007,CQI+cost+switching 3-way union (former headline),-0.42492417069641314,5
high,heavy,seed_0007,CQI+cost+regret-graph 3-way union,-0.3474620853482066,5
