dispersion,load,seed,step,is_warmup,utility,adr_kbps,served_ratio,average_quality,fairness,avg_switching,quality_switch_rate,quality_change_levels,pairwise_group_churn,cqi_mean,cqi_std,cqi_iqr,cqi_range,cqi_saturation_ratio,cqi_temporal_delta,cqi_history_volatility,previous_quality_mean,previous_quality_std,previous_quality_range,previous_quality_cqi_mismatch,cost_mean,cost_std_across_users,cqi_cost_rank_alignment,cqi_cost_rank_disagreement,previous_quality_rb_pressure,rb_available,best_cqi_candidate_utility,best_cost_candidate_utility,best_switching_candidate_utility,best_same_state_2way_utility,switching_marginal_same_state,switching_strictly_best,best_sources,selected_group_sources,selected_primary_source,selected_k,unique_candidate_count,diff_vs_cqi_trajectory,diff_vs_2way_trajectory
low,light,seed_0001,0,1,0.5290781116502739,5800.0,1.0,4.0,1.0,0.8000000000000002,1.0,4.0,0.0,14.666666666666666,0.74535599249993,0.0,3.0,0.9166666666666666,0.20833333333333334,0.2332331038630798,0.0,0.0,0.0,4.916666666666667,3.6805555555555554,0.06660877115712113,0.488624933112828,0.25568753344358597,2.0,12.0,0.5290781116502739,0.5290781116502739,0.5290781116502739,0.5290781116502739,0.0,0,cqi|cost|switching,cqi|cost|switching,cqi,1,4,0.0,0.0
low,light,seed_0001,1,0,0.9290781116502739,5800.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,14.708333333333334,0.5384519993050035,0.25,2.0,0.9583333333333334,0.20833333333333334,0.22575105512602897,4.0,0.0,0.0,0.9583333333333334,3.6666666666666665,0.0,0.0,0.5,12.0,12.0,0.9290781116502739,0.9290781116502739,0.9290781116502739,0.9290781116502739,0.0,0,cqi|cost|switching,cqi|cost|switching,cqi,1,3,0.0,0.0
low,light,seed_0001,2,0,0.9290781116502739,5800.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,14.458333333333334,0.9119195261766371,1.0,3.0,0.7916666666666666,0.3333333333333333,0.22580848760626604,4.0,0.0,0.0,0.7916666666666666,3.6805555555555554,0.06660877115712113,0.4328656936714176,0.2835671531642912,12.083333333333334,12.0,0.9290781116502739,0.9290781116502739,0.9290781116502739,0.9290781116502739,0.0,0,cqi|cost|switching,cqi|cost|switching,cqi,1,4,0.0,0.0
low,light,seed_0001,3,0,0.9290781116502739,5800.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,14.666666666666666,0.7453559924999299,0.0,3.0,0.9166666666666666,0.2916666666666667,0.244783916675842,4.0,0.0,0.0,0.9166666666666666,3.6875,0.07316426217258852,0.676470588235294,0.16176470588235298,12.166666666666666,12.0,0.9290781116502739,0.9290781116502739,0.9290781116502739,0.9290781116502739,0.0,0,cqi|cost|switching,cqi|cost|switching,cqi,1,5,0.0,0.0
low,light,seed_0001,4,0,0.9290781116502739,5800.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,14.791666666666666,0.4982608642958916,0.0,2.0,0.9583333333333334,0.375,0.2737869184509485,4.0,0.0,0.0,0.9583333333333334,3.6666666666666665,0.0,0.0,0.5,12.0,12.0,0.9290781116502739,0.9290781116502739,0.9290781116502739,0.9290781116502739,0.0,0,cqi|cost|switching,cqi|cost|switching,cqi,1,3,0.0,0.0
low,light,seed_0001,5,0,0.9290781116502739,5800.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,14.75,0.7216878364870323,0.0,3.0,0.9166666666666666,0.20833333333333334,0.25927310689449895,4.0,0.0,0.0,0.9166666666666666,3.6805555555555554,0.06660877115712113,0.6026258331144146,0.19868708344279268,12.083333333333334,12.0,0.9290781116502739,0.9290781116502739,0.9290781116502739,0.9290781116502739,0.0,0,cqi|cost|switching,cqi|cost|switching,cqi,1,4,0.0,0.0
low,light,seed_0001,6,0,0.9290781116502739,5800.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,14.666666666666666,0.6871842709362768,0.0,2.0,0.875,0.25,0.26657588417241523,4.0,0.0,0.0,0.875,3.6666666666666665,0.0,0.0,0.5,12.0,12.0,0.9290781116502739,0.9290781116502739,0.9290781116502739,0.9290781116502739,0.0,0,cqi|cost|switching,cqi|cost|switching,cqi,1,3,0.0,0.0
low,light,seed_0001,7,0,0.9290781116502739,5800.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,14.708333333333334,0.6757197808427856,0.0,3.0,0.9583333333333334,0.2916666666666667,0.23108969572886476,4.0,0.0,0.0,0.9583333333333334,3.6805555555555554,0.06660877115712113,0.48989794855663565,0.25505102572168215,12.083333333333334,12.0,0.9290781116502739,0.9290781116502739,0.9290781116502739,0.9290781116502739,0.0,0,cqi|cost|switching,cqi|cost|switching,cqi,1,3,0.0,0.0
low,light,seed_0001,8,0,0.9290781116502739,5800.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,14.75,0.5204164998665332,0.0,2.0,0.9583333333333334,0.20833333333333334,0.20159289274630932,4.0,0.0,0.0,0.9583333333333334,3.6666666666666665,0.0,0.0,0.5,12.0,12.0,0.9290781116502739,0.9290781116502739,0.9290781116502739,0.9290781116502739,0.0,0,cqi|cost|switching,cqi|cost|switching,cqi,1,3,0.0,0.0
low,light,seed_0001,9,0,0.9290781116502739,5800.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,14.916666666666666,0.2763853991962833,0.0,1.0,1.0,0.16666666666666666,0.190866125391186,4.0,0.0,0.0,1.0,3.6666666666666665,0.0,0.0,0.5,12.0,12.0,0.9290781116502739,0.9290781116502739,0.9290781116502739,0.9290781116502739,0.0,0,cqi|cost|switching,cqi|cost|switching,cqi,1,2,0.0,0.0
