dispersion,seed,load,scenario_index,method,utility,adr_kbps,served_ratio,average_quality,system_spectral_efficiency,fairness
low,seed_0001,light,0,CQI k-means,0.5290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0
low,seed_0001,light,0,Trend-slope k-means,0.5290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0
low,seed_0001,light,0,Trend-volatility k-means,0.5290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0
low,seed_0001,light,0,Trend-downside-deviation k-means,0.5290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0
low,seed_0001,light,0,Trend-only union (CQI+slope+volatility+downside),0.5290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0
low,seed_0001,light,0,"CQI+cost+regret-graph 3-way union (ablation, no switching)",0.5290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0
low,seed_0001,light,0,CQI+cost+switching+regret-graph 4-way union (confirmatory-validated base),0.5290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0
low,seed_0001,light,0,"CQI+cost+regret-graph+trend union (ablation, no switching)",0.5290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0
low,seed_0001,light,0,CQI+cost+switching+regret-graph+trend union,0.5290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0
low,seed_0001,light,1,CQI k-means,0.5290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0
low,seed_0001,light,1,Trend-slope k-means,0.5290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0
low,seed_0001,light,1,Trend-volatility k-means,0.5290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0
low,seed_0001,light,1,Trend-downside-deviation k-means,0.5290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0
low,seed_0001,light,1,Trend-only union (CQI+slope+volatility+downside),0.5290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0
low,seed_0001,light,1,"CQI+cost+regret-graph 3-way union (ablation, no switching)",0.5290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0
low,seed_0001,light,1,CQI+cost+switching+regret-graph 4-way union (confirmatory-validated base),0.5290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0
low,seed_0001,light,1,"CQI+cost+regret-graph+trend union (ablation, no switching)",0.5290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0
low,seed_0001,light,1,CQI+cost+switching+regret-graph+trend union,0.5290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0
low,seed_0001,light,2,CQI k-means,0.5290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0
low,seed_0001,light,2,Trend-slope k-means,0.5290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0
low,seed_0001,light,2,Trend-volatility k-means,0.5290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0
low,seed_0001,light,2,Trend-downside-deviation k-means,0.5290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0
low,seed_0001,light,2,Trend-only union (CQI+slope+volatility+downside),0.5290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0
low,seed_0001,light,2,"CQI+cost+regret-graph 3-way union (ablation, no switching)",0.5290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0
low,seed_0001,light,2,CQI+cost+switching+regret-graph 4-way union (confirmatory-validated base),0.5290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0
low,seed_0001,light,2,"CQI+cost+regret-graph+trend union (ablation, no switching)",0.5290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0
low,seed_0001,light,2,CQI+cost+switching+regret-graph+trend union,0.5290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0
low,seed_0001,light,3,CQI k-means,0.5290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0
low,seed_0001,light,3,Trend-slope k-means,0.5290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0
low,seed_0001,light,3,Trend-volatility k-means,0.5290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0
low,seed_0001,light,3,Trend-downside-deviation k-means,0.5290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0
low,seed_0001,light,3,Trend-only union (CQI+slope+volatility+downside),0.5290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0
low,seed_0001,light,3,"CQI+cost+regret-graph 3-way union (ablation, no switching)",0.5290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0
low,seed_0001,light,3,CQI+cost+switching+regret-graph 4-way union (confirmatory-validated base),0.5290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0
low,seed_0001,light,3,"CQI+cost+regret-graph+trend union (ablation, no switching)",0.5290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0
low,seed_0001,light,3,CQI+cost+switching+regret-graph+trend union,0.5290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0
low,seed_0001,light,4,CQI k-means,0.5290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0
low,seed_0001,light,4,Trend-slope k-means,0.5290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0
low,seed_0001,light,4,Trend-volatility k-means,0.5290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0
low,seed_0001,light,4,Trend-downside-deviation k-means,0.5290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0
low,seed_0001,light,4,Trend-only union (CQI+slope+volatility+downside),0.5290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0
low,seed_0001,light,4,"CQI+cost+regret-graph 3-way union (ablation, no switching)",0.5290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0
low,seed_0001,light,4,CQI+cost+switching+regret-graph 4-way union (confirmatory-validated base),0.5290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0
low,seed_0001,light,4,"CQI+cost+regret-graph+trend union (ablation, no switching)",0.5290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0
low,seed_0001,light,4,CQI+cost+switching+regret-graph+trend union,0.5290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0
low,seed_0001,light,5,CQI k-means,0.5290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0
low,seed_0001,light,5,Trend-slope k-means,0.5290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0
low,seed_0001,light,5,Trend-volatility k-means,0.5290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0
low,seed_0001,light,5,Trend-downside-deviation k-means,0.5290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0
low,seed_0001,light,5,Trend-only union (CQI+slope+volatility+downside),0.5290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0
low,seed_0001,light,5,"CQI+cost+regret-graph 3-way union (ablation, no switching)",0.5290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0
low,seed_0001,light,5,CQI+cost+switching+regret-graph 4-way union (confirmatory-validated base),0.5290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0
low,seed_0001,light,5,"CQI+cost+regret-graph+trend union (ablation, no switching)",0.5290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0
low,seed_0001,light,5,CQI+cost+switching+regret-graph+trend union,0.5290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0
low,seed_0001,light,6,CQI k-means,0.5290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0
low,seed_0001,light,6,Trend-slope k-means,0.5290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0
low,seed_0001,light,6,Trend-volatility k-means,0.5290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0
low,seed_0001,light,6,Trend-downside-deviation k-means,0.5290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0
low,seed_0001,light,6,Trend-only union (CQI+slope+volatility+downside),0.5290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0
low,seed_0001,light,6,"CQI+cost+regret-graph 3-way union (ablation, no switching)",0.5290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0
low,seed_0001,light,6,CQI+cost+switching+regret-graph 4-way union (confirmatory-validated base),0.5290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0
low,seed_0001,light,6,"CQI+cost+regret-graph+trend union (ablation, no switching)",0.5290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0
low,seed_0001,light,6,CQI+cost+switching+regret-graph+trend union,0.5290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0
low,seed_0001,light,7,CQI k-means,0.5290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0
low,seed_0001,light,7,Trend-slope k-means,0.5290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0
low,seed_0001,light,7,Trend-volatility k-means,0.5290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0
low,seed_0001,light,7,Trend-downside-deviation k-means,0.5290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0
low,seed_0001,light,7,Trend-only union (CQI+slope+volatility+downside),0.5290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0
low,seed_0001,light,7,"CQI+cost+regret-graph 3-way union (ablation, no switching)",0.5290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0
low,seed_0001,light,7,CQI+cost+switching+regret-graph 4-way union (confirmatory-validated base),0.5290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0
low,seed_0001,light,7,"CQI+cost+regret-graph+trend union (ablation, no switching)",0.5290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0
low,seed_0001,light,7,CQI+cost+switching+regret-graph+trend union,0.5290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0
low,seed_0001,light,8,CQI k-means,0.5290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0
low,seed_0001,light,8,Trend-slope k-means,0.5290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0
low,seed_0001,light,8,Trend-volatility k-means,0.5290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0
low,seed_0001,light,8,Trend-downside-deviation k-means,0.5290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0
low,seed_0001,light,8,Trend-only union (CQI+slope+volatility+downside),0.5290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0
low,seed_0001,light,8,"CQI+cost+regret-graph 3-way union (ablation, no switching)",0.5290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0
low,seed_0001,light,8,CQI+cost+switching+regret-graph 4-way union (confirmatory-validated base),0.5290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0
low,seed_0001,light,8,"CQI+cost+regret-graph+trend union (ablation, no switching)",0.5290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0
low,seed_0001,light,8,CQI+cost+switching+regret-graph+trend union,0.5290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0
low,seed_0001,light,9,CQI k-means,0.5290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0
low,seed_0001,light,9,Trend-slope k-means,0.5290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0
low,seed_0001,light,9,Trend-volatility k-means,0.5290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0
low,seed_0001,light,9,Trend-downside-deviation k-means,0.5290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0
low,seed_0001,light,9,Trend-only union (CQI+slope+volatility+downside),0.5290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0
low,seed_0001,light,9,"CQI+cost+regret-graph 3-way union (ablation, no switching)",0.5290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0
low,seed_0001,light,9,CQI+cost+switching+regret-graph 4-way union (confirmatory-validated base),0.5290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0
low,seed_0001,light,9,"CQI+cost+regret-graph+trend union (ablation, no switching)",0.5290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0
low,seed_0001,light,9,CQI+cost+switching+regret-graph+trend union,0.5290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0
low,seed_0001,light,10,CQI k-means,0.5290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0
low,seed_0001,light,10,Trend-slope k-means,0.5290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0
low,seed_0001,light,10,Trend-volatility k-means,0.5290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0
low,seed_0001,light,10,Trend-downside-deviation k-means,0.5290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0
low,seed_0001,light,10,Trend-only union (CQI+slope+volatility+downside),0.5290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0
low,seed_0001,light,10,"CQI+cost+regret-graph 3-way union (ablation, no switching)",0.5290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0
low,seed_0001,light,10,CQI+cost+switching+regret-graph 4-way union (confirmatory-validated base),0.5290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0
low,seed_0001,light,10,"CQI+cost+regret-graph+trend union (ablation, no switching)",0.5290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0
low,seed_0001,light,10,CQI+cost+switching+regret-graph+trend union,0.5290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0
low,seed_0001,light,11,CQI k-means,0.5290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0
low,seed_0001,light,11,Trend-slope k-means,0.5290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0
low,seed_0001,light,11,Trend-volatility k-means,0.5290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0
