dispersion,load,seed,method,mean_utility,n_scenarios
high,heavy,seed_0001,CQI k-means,-0.07106023854625827,15
high,heavy,seed_0001,Trend-slope k-means,-0.09444444444444443,15
high,heavy,seed_0001,Trend-volatility k-means,-0.1111111111111111,15
high,heavy,seed_0001,Trend-downside-deviation k-means,-0.11111111111111112,15
high,heavy,seed_0001,Trend-only union (CQI+slope+volatility+downside),-0.05820854963966316,15
high,heavy,seed_0001,"CQI+cost+regret-graph 3-way union (ablation, no switching)",-0.020894925940681118,15
high,heavy,seed_0001,CQI+cost+switching+regret-graph 4-way union (confirmatory-validated base),-0.020894925940681118,15
high,heavy,seed_0001,"CQI+cost+regret-graph+trend union (ablation, no switching)",-0.01575425037804307,15
high,heavy,seed_0001,CQI+cost+switching+regret-graph+trend union,-0.01575425037804307,15
high,heavy,seed_0002,CQI k-means,-0.2754538104258499,15
high,heavy,seed_0002,Trend-slope k-means,-0.4537307229783084,15
high,heavy,seed_0002,Trend-volatility k-means,-0.42280241482071684,15
high,heavy,seed_0002,Trend-downside-deviation k-means,-0.43333333333333335,15
high,heavy,seed_0002,Trend-only union (CQI+slope+volatility+downside),-0.22321569633465982,15
high,heavy,seed_0002,"CQI+cost+regret-graph 3-way union (ablation, no switching)",-0.15431091557680301,15
high,heavy,seed_0002,CQI+cost+switching+regret-graph 4-way union (confirmatory-validated base),-0.15431091557680301,15
high,heavy,seed_0002,"CQI+cost+regret-graph+trend union (ablation, no switching)",-0.1486727037184589,15
high,heavy,seed_0002,CQI+cost+switching+regret-graph+trend union,-0.1486727037184589,15
high,heavy,seed_0003,CQI k-means,-0.10008265630278858,15
high,heavy,seed_0003,Trend-slope k-means,-0.1825035733474983,15
high,heavy,seed_0003,Trend-volatility k-means,-0.1722222222222222,15
high,heavy,seed_0003,Trend-downside-deviation k-means,-0.13333333333333333,15
high,heavy,seed_0003,Trend-only union (CQI+slope+volatility+downside),-0.09402956445152695,15
high,heavy,seed_0003,"CQI+cost+regret-graph 3-way union (ablation, no switching)",-0.01616913037096058,15
high,heavy,seed_0003,CQI+cost+switching+regret-graph 4-way union (confirmatory-validated base),-0.01616913037096058,15
high,heavy,seed_0003,"CQI+cost+regret-graph+trend union (ablation, no switching)",-0.01616913037096058,15
high,heavy,seed_0003,CQI+cost+switching+regret-graph+trend union,-0.01616913037096058,15
high,heavy,seed_0004,CQI k-means,-0.13515656743160592,15
high,heavy,seed_0004,Trend-slope k-means,-0.25928627853386393,15
high,heavy,seed_0004,Trend-volatility k-means,-0.2743776800106238,15
high,heavy,seed_0004,Trend-downside-deviation k-means,-0.31666666666666665,15
high,heavy,seed_0004,Trend-only union (CQI+slope+volatility+downside),-0.09510729334572769,15
high,heavy,seed_0004,"CQI+cost+regret-graph 3-way union (ablation, no switching)",-0.05514067556263805,15
high,heavy,seed_0004,CQI+cost+switching+regret-graph 4-way union (confirmatory-validated base),-0.05514067556263805,15
high,heavy,seed_0004,"CQI+cost+regret-graph+trend union (ablation, no switching)",-0.05514067556263805,15
high,heavy,seed_0004,CQI+cost+switching+regret-graph+trend union,-0.05514067556263805,15
high,heavy,seed_0005,CQI k-means,-0.22719598670030852,15
high,heavy,seed_0005,Trend-slope k-means,-0.34452710074723303,15
high,heavy,seed_0005,Trend-volatility k-means,-0.3257876325949534,15
high,heavy,seed_0005,Trend-downside-deviation k-means,-0.29651724593005735,15
high,heavy,seed_0005,Trend-only union (CQI+slope+volatility+downside),-0.16641709927932632,15
high,heavy,seed_0005,"CQI+cost+regret-graph 3-way union (ablation, no switching)",-0.09950246370429391,15
high,heavy,seed_0005,CQI+cost+switching+regret-graph 4-way union (confirmatory-validated base),-0.09950246370429391,15
high,heavy,seed_0005,"CQI+cost+regret-graph+trend union (ablation, no switching)",-0.0883913525931828,15
