dispersion,load,method,mean_utility,std_utility_across_seeds,mean_diff_vs_cqi,seeds_win_vs_cqi,seeds_tie_vs_cqi,seeds_loss_vs_cqi,mean_diff_vs_base4way,seeds_win_vs_base4way,seeds_tie_vs_base4way,seeds_loss_vs_base4way
low,light,CQI k-means,0.529078111650274,0.0,0.0,0,10,0,0.0,0,10,0
low,light,Trend-slope k-means,0.529078111650274,0.0,0.0,0,10,0,0.0,0,10,0
low,light,Trend-volatility k-means,0.529078111650274,0.0,0.0,0,10,0,0.0,0,10,0
low,light,Trend-downside-deviation k-means,0.529078111650274,0.0,0.0,0,10,0,0.0,0,10,0
low,light,Trend-only union (CQI+slope+volatility+downside),0.529078111650274,0.0,0.0,0,10,0,0.0,0,10,0
low,light,"CQI+cost+regret-graph 3-way union (ablation, no switching)",0.529078111650274,0.0,0.0,0,10,0,0.0,0,10,0
low,light,CQI+cost+switching+regret-graph 4-way union (confirmatory-validated base),0.529078111650274,0.0,0.0,0,10,0,0.0,0,10,0
low,light,"CQI+cost+regret-graph+trend union (ablation, no switching)",0.529078111650274,0.0,0.0,0,10,0,0.0,0,10,0
low,light,CQI+cost+switching+regret-graph+trend union,0.529078111650274,0.0,0.0,0,10,0,0.0,0,10,0
low,medium,CQI k-means,0.44827609719823514,0.002183838228433477,0.0,0,10,0,0.0,0,10,0
low,medium,Trend-slope k-means,0.44827609719823514,0.002183838228433477,0.0,0,10,0,0.0,0,10,0
low,medium,Trend-volatility k-means,0.44827609719823514,0.002183838228433477,0.0,0,10,0,0.0,0,10,0
low,medium,Trend-downside-deviation k-means,0.44827609719823514,0.002183838228433477,0.0,0,10,0,0.0,0,10,0
low,medium,Trend-only union (CQI+slope+volatility+downside),0.44827609719823514,0.002183838228433477,0.0,0,10,0,0.0,0,10,0
low,medium,"CQI+cost+regret-graph 3-way union (ablation, no switching)",0.44827609719823514,0.002183838228433477,0.0,0,10,0,0.0,0,10,0
low,medium,CQI+cost+switching+regret-graph 4-way union (confirmatory-validated base),0.44827609719823514,0.002183838228433477,0.0,0,10,0,0.0,0,10,0
low,medium,"CQI+cost+regret-graph+trend union (ablation, no switching)",0.44827609719823514,0.002183838228433477,0.0,0,10,0,0.0,0,10,0
low,medium,CQI+cost+switching+regret-graph+trend union,0.44827609719823514,0.002183838228433477,0.0,0,10,0,0.0,0,10,0
low,heavy,CQI k-means,0.3552819649170176,0.0019632803264104212,0.0,0,10,0,0.0,0,10,0
low,heavy,Trend-slope k-means,0.35475756952423243,0.003536466504765934,-0.0005243953927851708,0,9,1,-0.0005243953927851708,0,9,1
low,heavy,Trend-volatility k-means,0.35475756952423243,0.003536466504765934,-0.0005243953927851708,0,9,1,-0.0005243953927851708,0,9,1
low,heavy,Trend-downside-deviation k-means,0.35475756952423243,0.003536466504765934,-0.0005243953927851708,0,9,1,-0.0005243953927851708,0,9,1
low,heavy,Trend-only union (CQI+slope+volatility+downside),0.3552819649170176,0.0019632803264104212,0.0,0,10,0,0.0,0,10,0
low,heavy,"CQI+cost+regret-graph 3-way union (ablation, no switching)",0.3552819649170176,0.0019632803264104212,0.0,0,10,0,0.0,0,10,0
low,heavy,CQI+cost+switching+regret-graph 4-way union (confirmatory-validated base),0.3552819649170176,0.0019632803264104212,0.0,0,10,0,0.0,0,10,0
low,heavy,"CQI+cost+regret-graph+trend union (ablation, no switching)",0.3552819649170176,0.0019632803264104212,0.0,0,10,0,0.0,0,10,0
low,heavy,CQI+cost+switching+regret-graph+trend union,0.3552819649170176,0.0019632803264104212,0.0,0,10,0,0.0,0,10,0
mid,light,CQI k-means,0.4424836430816034,0.009546364451323697,0.0,0,10,0,-0.006000100619876875,0,0,10
