dispersion,seed,usable_scenarios,users,bands,history_steps,cqi_mean,cqi_std,cqi_min,cqi_p05,cqi_median,cqi_p95,cqi_max,duration_s,radio_gzip_bytes,mobility_gzip_bytes,radio_uncompressed_sha256,mobility_uncompressed_sha256
low,1,15,24,25,5,14.713888888888889,0.6401617754641651,12,13.0,15.0,15.0,15,19,12473161,228744,f9e4368366e7112234709b2ef709fcf79eb016f0c8ef586925cdcad4f27c0851,2224d935f21ee68d14832b3475b66c1f53c56979fb973bc040361e3e83be014f
mid,1,15,24,25,5,12.408333333333333,2.2870256035101817,4,8.0,13.0,15.0,15,18,13446874,228744,1a968a355f83c3362dbe7b63973202de9cd5cbacd037dd1ddb85fda602efe012,2224d935f21ee68d14832b3475b66c1f53c56979fb973bc040361e3e83be014f
high,1,15,24,25,5,9.233333333333333,2.9042115013277603,2,4.0,9.0,13.0,15,18,13599350,228744,ca069789724aab14a145f48526cb3616103f1603526aa20628634a996311098d,2224d935f21ee68d14832b3475b66c1f53c56979fb973bc040361e3e83be014f
low,2,15,24,25,5,14.744444444444444,0.6335282351177082,10,13.0,15.0,15.0,15,19,12534290,229813,b4a3dfae36debffdf57e680956320381929a604a8d64b23ff34358f62b1cbc8b,54bbc69add59b37610f4dfd1908622662b0fd4e9063d70f201dbb5910e6e7355
mid,2,15,24,25,5,12.444444444444445,2.2128971011429592,4,8.0,13.0,15.0,15,17,13486722,229813,5c95fd3e48265f738e9e99c15d690fe4b58759e108c288319f388da39ca0b658,54bbc69add59b37610f4dfd1908622662b0fd4e9063d70f201dbb5910e6e7355
high,2,15,24,25,5,9.022222222222222,3.191056174086072,2,4.0,9.0,14.0,15,17,13634219,229813,74ab664a90cbfbfe52ee72ebbc32930edb0db18dc6adfc33008cf4f4b0d8aa33,54bbc69add59b37610f4dfd1908622662b0fd4e9063d70f201dbb5910e6e7355
low,3,15,24,25,5,14.786111111111111,0.5439836485378426,11,14.0,15.0,15.0,15,15,12382452,227580,c1f9b60bd6cac7cadf68d95c309838fc74fe99c097499de8061cad115fa81076,73f34bf97fe63d7ca0aed0337057b81fd8b8fd32c817d80af77b3bc3e16607a3
mid,3,15,24,25,5,12.347222222222221,2.253144236531981,3,8.0,13.0,15.0,15,17,13323223,227580,25099434ea3afb4ed2754f79432f9cb851281c04ec550a7316e3106a50e8032f,73f34bf97fe63d7ca0aed0337057b81fd8b8fd32c817d80af77b3bc3e16607a3
high,3,15,24,25,5,9.26388888888889,2.9832544475397054,2,4.0,9.5,14.0,15,16,13502054,227580,d5492a2ac46b8b3cbaa0ce795a1d4bcb3fb1d917dccbdd1366b1dabdf5e1f93e,73f34bf97fe63d7ca0aed0337057b81fd8b8fd32c817d80af77b3bc3e16607a3
low,4,15,24,25,5,14.766666666666667,0.5830951894845301,12,14.0,15.0,15.0,15,15,12579909,231416,9085f746e901ce8c3d0ec40f178874e1d7ea4b43e0ccbd12165db838c72888fc,046a83caa856fcd344ab541312285adfa0afdead8e448f248de70f5c504e41ec
mid,4,15,24,25,5,12.66388888888889,2.208777034391276,4,8.0,13.0,15.0,15,19,13491208,231416,a8d86ba80451b83289584d00325371d308f151bbdae1de7904396fe2d4040e43,046a83caa856fcd344ab541312285adfa0afdead8e448f248de70f5c504e41ec
high,4,15,24,25,5,9.088888888888889,2.905528999241291,2,4.0,9.0,14.0,14,19,13696166,231416,26cf0051d034949514d8ea40d62a41430a90718b10c7697ab5f8b909d9ff56df,046a83caa856fcd344ab541312285adfa0afdead8e448f248de70f5c504e41ec
low,5,15,24,25,5,14.827777777777778,0.48683279762101705,12,14.0,15.0,15.0,15,18,12533179,230892,e12b0e56415d223e2b72fc67a6098951ed7fe954a6ad037511c8b359b8259ac0,64b31015174f8fc64ab6cc2f0472a1eed84bd8d1fbdb32e57ce5cbdb5d005d88
mid,5,15,24,25,5,12.713888888888889,2.122322205323658,5,8.0,13.0,15.0,15,20,13509257,230892,5c38b5ef682c42ebf8e1d44e8013d69dfa2faa316c95f900e9e301e5559e526f,64b31015174f8fc64ab6cc2f0472a1eed84bd8d1fbdb32e57ce5cbdb5d005d88
high,5,15,24,25,5,9.01388888888889,3.054564233130642,2,4.0,9.0,14.0,15,19,13636110,230892,58b717c2a1543ec10b331f9f159107ed8a1ae348d1f1ab0f8a03b15374d64479,64b31015174f8fc64ab6cc2f0472a1eed84bd8d1fbdb32e57ce5cbdb5d005d88
low,6,15,24,25,5,14.741666666666667,0.6302005853518209,10,14.0,15.0,15.0,15,19,12574468,230898,91665bc6651d28574657f9ac3931f8cefb8ef6ac624ad44530a4063cba5b657c,e98538e893df2ba4a08c134ae5c2390e9a717f4649d47162704e8084b6e81e0a
mid,6,15,24,25,5,12.772222222222222,2.043500687968662,5,8.0,13.0,15.0,15,19,13496538,230898,914abda3cb575b4f3379d700be0b761db7fa45c848482e92bc3daecdeaf4ba80,e98538e893df2ba4a08c134ae5c2390e9a717f4649d47162704e8084b6e81e0a
high,6,15,24,25,5,9.38888888888889,2.9774875480454037,2,4.0,10.0,14.0,15,21,13732998,230898,006b09b5051eee78bfd78b702c51f5d9caee8b4a128fea580f32fe5ec2dba5ff,e98538e893df2ba4a08c134ae5c2390e9a717f4649d47162704e8084b6e81e0a
low,7,15,24,25,5,14.830555555555556,0.46745139048796913,11,14.0,15.0,15.0,15,17,12529626,231350,0128f757951ae3e34ebbe03e9eb2d6b839be13464b20adf1381d76ef2bff814e,3519db925991b2a6a2fa6c1777a97cc31595b22c20cd55a5c3aa6162ae494360
mid,7,15,24,25,5,12.683333333333334,2.145991094524341,4,8.0,13.0,15.0,15,18,13521671,231350,e6635ab3e2373d1ae66fc4b6f9fe4d0d597d5c3a36e5fcc83de1eacc372c2d87,3519db925991b2a6a2fa6c1777a97cc31595b22c20cd55a5c3aa6162ae494360
