dispersion,seed,usable_scenarios,users,bands,history_steps,cqi_mean,cqi_std,cqi_min,cqi_p05,cqi_median,cqi_p95,cqi_max,duration_s,radio_gzip_bytes,mobility_gzip_bytes,radio_uncompressed_sha256,mobility_uncompressed_sha256
low,11,15,24,25,5,14.755555555555556,0.6378977819736589,10,13.0,15.0,15.0,15,29,11952295,228093,24ae0a3d2d5fd83801bd62e377ad1491960982971db745892564d1b76543fa13,f244ede9c5ee5195c4c8a94d0a54df8908b599d6e81cbefe05efaa37b5ad525b
mid,11,15,24,25,5,12.411111111111111,2.3635869372368226,3,8.0,13.0,15.0,15,30,13177761,228093,f69281620aa29d0268eea5b524b2e2e6f678d60a40042766869337ec45b6d7b9,f244ede9c5ee5195c4c8a94d0a54df8908b599d6e81cbefe05efaa37b5ad525b
high,11,15,24,25,5,9.183333333333334,2.9860322987015544,2,4.0,9.0,14.0,15,29,13626022,228093,c997045a0b10f82556b531da445b835bb2c44eaa0294f58943579f508d89cd34,f244ede9c5ee5195c4c8a94d0a54df8908b599d6e81cbefe05efaa37b5ad525b
low,12,15,24,25,5,14.825,0.48869156371319167,11,14.0,15.0,15.0,15,28,12102263,230177,3fad6dc012d74375c88675c111babe78205c1027c7f08aff76debfb680e9ab0e,752f2d6442a8ab87bb3600c067023d05e4b71ead96ca9b97570acc12052bed4f
mid,12,15,24,25,5,12.677777777777777,2.125651679304113,5,8.0,13.0,15.0,15,29,13342141,230177,e7c832b6ee66c9a3e0b8eb96a30c9f9484e37a827e58824c3e46dc55a54fbe62,752f2d6442a8ab87bb3600c067023d05e4b71ead96ca9b97570acc12052bed4f
high,12,15,24,25,5,9.330555555555556,2.9663220253412628,3,4.0,9.0,14.0,15,30,13717405,230177,017857480622cffffa9024697f18416c82481f42091aaa4a2200d2f5388c3902,752f2d6442a8ab87bb3600c067023d05e4b71ead96ca9b97570acc12052bed4f
low,13,15,24,25,5,14.772222222222222,0.5145716185501139,12,14.0,15.0,15.0,15,28,12070147,229770,285aa43fae7cc6827f2aa6f552cced3452a2e2e65914d600d2fce71ff727e9cc,56ce903d8bac15e1e0e35b375e2c98b2de6592f2915e9ad79c458fb43a0788c6
mid,13,15,24,25,5,12.530555555555555,2.330750885735759,5,8.0,13.0,15.0,15,29,13228819,229770,bd3e4ee390367ab77efeb77d84f062de798569b312b3f0282a0b2a1deeba0ca3,56ce903d8bac15e1e0e35b375e2c98b2de6592f2915e9ad79c458fb43a0788c6
high,13,15,24,25,5,9.172222222222222,3.2056036969233106,2,3.9499999999999993,9.0,14.0,15,30,13665344,229770,4823001acd3d45bdb03c146c2c4a6cd9895de140c675591bb188c3f2f3c0d710,56ce903d8bac15e1e0e35b375e2c98b2de6592f2915e9ad79c458fb43a0788c6
low,14,15,24,25,5,14.702777777777778,0.8386451080665472,8,13.0,15.0,15.0,15,28,12052465,229905,b098e2c25e4a7a290318075ba7d23fd1886d2477cd4f8d9de476174f6f77e8c9,988ce05ccaa12ca384e648edf5db5234ac507c8430947ab20143469b6455f588
