dispersion,seed,usable_scenarios,users,bands,history_steps,cqi_mean,cqi_std,cqi_min,cqi_p05,cqi_median,cqi_p95,cqi_max,duration_s,radio_gzip_bytes,mobility_gzip_bytes,radio_uncompressed_sha256,mobility_uncompressed_sha256
low,31,15,24,25,5,14.669444444444444,0.7595025581276663,9,13.0,15.0,15.0,15,28,11992758,228171,4d7ecde3190657c39b632f11135f7539e000e831be51e37c9b82145fc5ace7d3,4a6a329fec9a204f5f877b85e6be4511a4948f45c3f4fd35e8514bbdd9f0af99
mid,31,15,24,25,5,12.730555555555556,2.251458717814895,3,8.0,13.0,15.0,15,28,13120162,228171,31fcc92c7bdd02bd7d58b2b387153b20c7e3fbd9e8f9ac88916eb7c66b669e52,4a6a329fec9a204f5f877b85e6be4511a4948f45c3f4fd35e8514bbdd9f0af99
high,31,15,24,25,5,9.433333333333334,3.169472441204617,2,4.0,10.0,14.0,15,28,13578641,228171,d71eee19e2c89616959e2622b75a910eb4802fb061f1434a3c75b405d322bd6e,4a6a329fec9a204f5f877b85e6be4511a4948f45c3f4fd35e8514bbdd9f0af99
low,32,15,24,25,5,14.85,0.45307590730227293,12,14.0,15.0,15.0,15,26,11865536,227635,2be270c84a70e46f003635349e484f1c839609d43e519127bc28d7938753d6b9,b26ae3c7df999fd6f35c6deb3b1ea2b54aefc948977c1ca2d429e29e7c6da1f7
mid,32,15,24,25,5,12.605555555555556,2.2705780522496966,5,8.0,13.0,15.0,15,27,13142122,227635,357c29acfe410a17ba75ad01a89749f61d90ac2b8df39ac104cc7d918cbc1f80,b26ae3c7df999fd6f35c6deb3b1ea2b54aefc948977c1ca2d429e29e7c6da1f7
high,32,15,24,25,5,9.216666666666667,3.1247666579549045,1,4.0,9.0,14.0,15,28,13496376,227635,8bc71c5cdeeacb9d4a995f62aa3887824da73fcff5049c14495c13e0b73b5812,b26ae3c7df999fd6f35c6deb3b1ea2b54aefc948977c1ca2d429e29e7c6da1f7
low,33,15,24,25,5,14.719444444444445,0.6295145592017023,11,13.0,15.0,15.0,15,27,12126297,229828,8bd7c79cba121a6c60480b241a7774cfeb8aa868360927967b2c19d3849bf555,ed3fe614ae4f22b2e4f57006f7f7cf544ae6552b0dbcfa605137df3443c10193
mid,33,15,24,25,5,12.616666666666667,2.1298800174866397,4,8.0,13.0,15.0,15,27,13212283,229828,f290c7944acd8ab4847106086b9aa9cb974d2bf38258370553ab1c0fb93fb9d1,ed3fe614ae4f22b2e4f57006f7f7cf544ae6552b0dbcfa605137df3443c10193
high,33,15,24,25,5,9.302777777777777,3.250639775585305,2,4.0,10.0,14.0,15,28,13688074,229828,91b5ac5febefe28ff8dcf3b9a961a2511aed30a2b6adf4e162046e622d5b2e11,ed3fe614ae4f22b2e4f57006f7f7cf544ae6552b0dbcfa605137df3443c10193
low,34,15,24,25,5,14.777777777777779,0.5730576425878945,10,14.0,15.0,15.0,15,29,12130250,230759,cdc8411267c83ae2336d0255b4156e242cbe0e977e95cd7f62150267bd022689,96839a67230222eb2dfd125a0202f5ba47819ce91dacc5a2b9e70eb2ea5504fe
mid,34,15,24,25,5,12.708333333333334,2.088576734950808,5,8.95,13.0,15.0,15,27,13299050,230759,0f8456def7d239f32621054d02722a3742aa8bc51b778b0118c64ecb13e4d13d,96839a67230222eb2dfd125a0202f5ba47819ce91dacc5a2b9e70eb2ea5504fe
high,34,15,24,25,5,9.530555555555555,2.974738031831491,3,5.0,10.0,14.0,15,28,13700615,230759,5f95f9a808045d977b624c6906b22590d0f4e7326559a4dcb08d7ece7f0c8c1c,96839a67230222eb2dfd125a0202f5ba47819ce91dacc5a2b9e70eb2ea5504fe
low,35,15,24,25,5,14.816666666666666,0.47110980083675225,13,14.0,15.0,15.0,15,27,12080427,230850,2841ddf120faf59058e735965349981e60a85a8b94e7d4b1ee7af8678b1f5d74,e79ff452ef9f4d084a31f0b20971a202961aaddd979da095f380b048321cf2a7
mid,35,15,24,25,5,12.591666666666667,2.1927753849605502,5,8.0,13.0,15.0,15,28,13301168,230850,c2b7d544038f2c4a3b303b1018f2e857991a833a820f6527f30bc5c6c3cc031d,e79ff452ef9f4d084a31f0b20971a202961aaddd979da095f380b048321cf2a7
high,35,15,24,25,5,9.202777777777778,2.8762423510073685,2,4.0,9.5,14.0,15,29,13734152,230850,1c3f5f757492545695379d5615ed17d5876e5cf186091118183123c3e2f370e7,e79ff452ef9f4d084a31f0b20971a202961aaddd979da095f380b048321cf2a7
low,36,15,24,25,5,14.733333333333333,0.6110100926607787,11,14.0,15.0,15.0,15,27,12176444,232120,53851505098f58c0bf3e404ba5c333b11411ed8b488e9ff636fda2e520db629f,1fbb13d1826b863550c3c2131d3a836fe99bf62f762b8e2b368ed77aa83eb1fb
mid,36,15,24,25,5,12.491666666666667,2.221095200320979,5,8.0,13.0,15.0,15,28,13431691,232120,9f9cedd4a18f598f64fe5f00f132ba1ffc7ab4685ef61121e2ac608486ced12b,1fbb13d1826b863550c3c2131d3a836fe99bf62f762b8e2b368ed77aa83eb1fb
