dispersion,seed,usable_scenarios,users,bands,history_steps,cqi_mean,cqi_std,cqi_min,cqi_p05,cqi_median,cqi_p95,cqi_max,duration_s,radio_gzip_bytes,mobility_gzip_bytes,radio_uncompressed_sha256,mobility_uncompressed_sha256
low,1,5,40,25,5,14.64,0.8946507698538017,9,13.0,15.0,15.0,15,46,18251186,334169,ff166115632ab4ab0867a83b90ed2ab91972bd333e4d5fa376cd62520bb49825,11a62aeadfe08189b7c34f7883f4633c145eaf31546540692eb603421cc54aea
mid,1,5,40,25,5,11.985,2.700884114507692,3,6.950000000000001,12.0,15.0,15,48,20931969,334169,6195f3d581aebddbdbbdb791f6a47cdfca05eda2094e051356057766b2f23e2d,11a62aeadfe08189b7c34f7883f4633c145eaf31546540692eb603421cc54aea
high,1,5,40,25,5,8.725,3.7695324643780426,2,3.0,9.0,15.0,15,46,21341490,334169,e32487a9b1127a9855c8b195a05cd08102eba4cc71b118db429f6a6f36771f24,11a62aeadfe08189b7c34f7883f4633c145eaf31546540692eb603421cc54aea
low,2,5,40,25,5,14.555,1.25178872019203,6,12.950000000000001,15.0,15.0,15,50,18730302,344754,b422ce4f26f4cbdbf7a12c6395797bbc5d8da084a6840f8bf889e3f3178a8089,feb863b40a3688af83e1869ba2dc862a7bd7e573d7b73aedf0d42ecde77bada5
mid,2,5,40,25,5,12.09,2.793188142606939,3,6.0,13.0,15.0,15,47,21463499,344754,f2bacb5e3b57830acbe7be078a4a54de9b0c54add38b85506cabecec9ce07d58,feb863b40a3688af83e1869ba2dc862a7bd7e573d7b73aedf0d42ecde77bada5
high,2,5,40,25,5,9.32,3.7212363536867694,2,4.0,9.0,15.0,15,50,21844518,344754,c7c65d323d54e45bb1436fea42e9872541d35f95d3f8ae1889b1a6cabfdfee42,feb863b40a3688af83e1869ba2dc862a7bd7e573d7b73aedf0d42ecde77bada5
low,3,5,40,25,5,14.635,0.8256966755413274,10,13.0,15.0,15.0,15,42,17722032,324127,bf456e6e680c9629c447bcab6066f39c91983e08c371d8da3979a70e8b281926,59685706f4c0b1a49470691c1c39e5324d42dec9830b0699fd9f2efa9185952d
mid,3,5,40,25,5,11.965,3.0354200697761753,2,6.0,13.0,15.0,15,43,20188912,324127,499cc5542fd074d9e28383173447c0a88571de579043676f381a415852827d08,59685706f4c0b1a49470691c1c39e5324d42dec9830b0699fd9f2efa9185952d
high,3,5,40,25,5,9.125,3.3599665176903177,2,4.0,9.0,14.049999999999983,15,44,20713310,324127,40fa2029fcee8ccd4046db44d20f4a6c25e6520eff0d908399d1d840138b9cf2,59685706f4c0b1a49470691c1c39e5324d42dec9830b0699fd9f2efa9185952d
low,4,5,40,25,5,14.615,0.909271686571181,7,13.0,15.0,15.0,15,41,18627293,343200,aa3b4318cf979c046bfef5c80b301649df2b876bc25042f03727bb2601301388,453c622481cf7cfaaf2986b55277c6af7ae61dfcfcc45858b0b2f4285bb4bc7c
mid,4,5,40,25,5,12.275,2.7293543192484186,4,7.0,13.0,15.0,15,42,21305540,343200,2100b29eb0bb15698f4cf3799336ac37b1931d504a75910ce03dca69452354b5,453c622481cf7cfaaf2986b55277c6af7ae61dfcfcc45858b0b2f4285bb4bc7c
high,4,5,40,25,5,9.26,3.5089029624656196,2,3.0,9.0,15.0,15,45,21837205,343200,bb6033158f53b8361e2e8e3cdea20a8356d57b5ac456817e99cd99b9b9d311a2,453c622481cf7cfaaf2986b55277c6af7ae61dfcfcc45858b0b2f4285bb4bc7c
low,5,5,40,25,5,14.66,0.8627861844049196,8,13.0,15.0,15.0,15,45,18876513,347976,c292e63a57b55beb16aed6b485a5080459e66fbdb98ca8eda1f8cc77c6319da8,3917ca6154680f6cd5ec6c6d9b88d1d9657fdb02259e4713f1e2af9f7a471786
mid,5,5,40,25,5,12.175,2.919653232834338,3,6.0,13.0,15.0,15,44,21461259,347976,a846eba87bc232b3fb364f411d226f4629d37dd480b5b319029245cfa364426d,3917ca6154680f6cd5ec6c6d9b88d1d9657fdb02259e4713f1e2af9f7a471786
high,5,5,40,25,5,9.59,3.7191262414712414,2,3.0,10.0,15.0,15,47,22024893,347976,c03260d9fe7531b82dd850a979dd22f6b2035dc441dc27dc7fe94a861226d104,3917ca6154680f6cd5ec6c6d9b88d1d9657fdb02259e4713f1e2af9f7a471786
low,6,5,40,25,5,14.505,1.0999886363049394,8,12.0,15.0,15.0,15,48,18583456,343085,25989728af2648d6f01766983491d22b2076694882e94d2596631e7b22a23f5f,27255414a83e9afa1a49c0e46d750110d800ed6fcca765f8d85cbf9671aca335
mid,6,5,40,25,5,12.315,2.7341863506352304,3,6.0,13.0,15.0,15,45,21350505,343085,09c23404bef98580bd7ef919a80350b750c4a98f7922507c5c10f3e3927e0979,27255414a83e9afa1a49c0e46d750110d800ed6fcca765f8d85cbf9671aca335
high,6,5,40,25,5,9.165,3.795757500157248,1,3.0,9.0,15.0,15,47,21854437,343085,4c248d038c15a24c98352bffd85d3ff27d6a5aae5f4b6459e52369c64fee70ad,27255414a83e9afa1a49c0e46d750110d800ed6fcca765f8d85cbf9671aca335
low,7,5,40,25,5,14.4,1.3266499161421599,6,11.950000000000001,15.0,15.0,15,43,18999409,349027,6d6c524a27d6884447b0d64ff66f57bd07b00b5cee4e1a6ded0ef6c2f5edd422,a6e045bd19a1a4b23377c21345dea7d808a99c2e6884cad6d51ffe0b88a95b5b
mid,7,5,40,25,5,12.145,2.581467605839748,3,7.0,13.0,15.0,15,45,21616054,349027,947d9040188ffce954edd9464d27f0b66001ef839c5a0c32acbb919fda1ece8b,a6e045bd19a1a4b23377c21345dea7d808a99c2e6884cad6d51ffe0b88a95b5b
high,7,5,40,25,5,8.75,3.3848929082025623,2,3.0,9.0,14.0,15,50,22148502,349027,2578cb4f005abf304712ee1cfeecffd988cbfe4e257993d0b5eee2c6c92d0067,a6e045bd19a1a4b23377c21345dea7d808a99c2e6884cad6d51ffe0b88a95b5b
low,8,5,40,25,5,14.605,0.8882426470283894,10,13.0,15.0,15.0,15,46,18416137,337511,cc268ecbeae73d683298bbdc98f210c174585e687bd6d858cec7eef78e7e930a,d9c7cc689b1fb62ca3a76d4c15adc1636bd1c0f2b643962470c6faadc63015aa
mid,8,5,40,25,5,12.185,2.724109946386158,3,6.950000000000001,13.0,15.0,15,46,21148631,337511,757a1b355934a4f311cfc55a51703cd32a128bd2a2c93092ffba8d9333b7b788,d9c7cc689b1fb62ca3a76d4c15adc1636bd1c0f2b643962470c6faadc63015aa
high,8,2,40,25,5,8.7875,3.477404743483278,2,3.95,9.0,14.0,15,44,21570069,337511,756c0630ab374a4414eb2c8fbeac627fa0bbed1f1498fff1f76af4dc7e161c68,d9c7cc689b1fb62ca3a76d4c15adc1636bd1c0f2b643962470c6faadc63015aa
low,9,5,40,25,5,14.575,0.9971835337589565,7,13.0,15.0,15.0,15,44,17939949,329144,d26bcd4af9b45178fa6386e96c1a6b5c8f074eacc4df335c7fe2131f24325a8a,13e8f42aec88508dcc1803b7c9fd3efab6e10b65a43f11a544f57100cd37c124
mid,9,5,40,25,5,12.01,2.675798946109367,4,6.0,12.5,15.0,15,45,20534716,329144,0858735cca5dbd307e1185121b8ddd96d0a39066edab70e612318716c433de72,13e8f42aec88508dcc1803b7c9fd3efab6e10b65a43f11a544f57100cd37c124
